ArcLength, Average, RelBeta4Exp, ExpCorreBetas, ExpBetas
-44.7134,0.4339919999999999,-0.2915712320846699,-0.12653958215489003,-0.0641681451089706
-44.2134,0.43727513333333334,-0.28743398941095294,-0.12568773604420638,-0.0637361744646077
-43.7134,0.4377471333333333,-0.2871167394287458,-0.12568452961694712,-0.0637345484872957
-43.2134,0.43820200000000004,-0.28943431238814943,-0.12683069455711188,-0.0643157680309898
-42.7134,0.4398964,-0.29316527480812876,-0.12896234899310655,-0.0653967286983299
-42.2134,0.4442495333333333,-0.29626997915964326,-0.1316177999823479,-0.0667433062790811
-41.7134,0.4496756,-0.29931599125602204,-0.13459509795764646,-0.0682530922706118
-41.2134,0.45792646666666664,-0.3019354254766518,-0.1382642225500198,-0.0701137031186713
-40.7134,0.47003459999999997,-0.3047383786144058,-0.14323758189667077,-0.072635690616973
-40.2134,0.4861436666666667,-0.3077809917464184,-0.1496257798579069,-0.0758751419157743
-39.7134,0.5034695333333333,-0.3108624620719691,-0.1565097787102253,-0.079366013544739
-39.2134,0.5171586,-0.3135346640066134,-0.1621471478891306,-0.0822247200249141
-38.7134,0.5235852,-0.3147494600531356,-0.164798158991813,-0.083569046141893
-38.2134,0.5211642666666667,-0.3137860827731241,-0.1635340937186612,-0.0829280394110858
-37.7134,0.5115051333333333,-0.30994276625434164,-0.15853731597862916,-0.0803941764597511
-37.2134,0.4972559333333333,-0.3034607401207115,-0.15089765355874848,-0.0765201082955114
-36.7134,0.48066200000000003,-0.29585006883452913,-0.14220388578614246,-0.0721115039483481
-36.2134,0.4634772666666667,-0.2893382347995548,-0.1341016942070559,-0.068002887528933
-35.7134,0.4463475333333334,-0.28633483219800243,-0.1278048460589923,-0.0648097596648034
-35.2134,0.4293364,-0.28808795192275416,-0.12368664416188836,-0.0627214219887872
-34.7134,0.4124734666666666,-0.29384580623205653,-0.12120359836199796,-0.061462270974644
-34.2134,0.3968012666666667,-0.3005478839157262,-0.11925778103174646,-0.0604755481905408
-33.7134,0.38357626666666655,-0.3045540155947959,-0.11681969230019355,-0.0592391948783943
-33.2134,0.37335440000000003,-0.30389013562830264,-0.11345871925342356,-0.0575348474915941
-32.7134,0.36569793333333334,-0.2994460101179699,-0.10950678704505401,-0.0555308250735568
-32.2134,0.3593115333333333,-0.2944977230898082,-0.10581642844657438,-0.0536594464739221
-31.7134,0.3531520666666666,-0.29245879751610226,-0.1032824287576597,-0.0523744567736611
-31.2134,0.3469230666666666,-0.2949787732433888,-0.1023349406151677,-0.0518939861131682
-30.7134,0.34067373333333334,-0.30123119609962984,-0.10262155617172633,-0.052039328687488
-30.2134,0.33361213333333334,-0.30903605667793393,-0.10309817814524645,-0.0522810234002264
-29.7134,0.3248008,-0.3156718983500561,-0.1025304851216169,-0.051993146613396
-29.2134,0.3132751333333334,-0.3196069679615784,-0.10012491550242589,-0.0507732837233397
-28.7134,0.29940273333333334,-0.32034365755656635,-0.09591176667843329,-0.0486367985184753
-28.2134,0.2843744,-0.3187044961369387,-0.09063139986624426,-0.0459591277212192
-27.7134,0.2696018666666667,-0.316212709076015,-0.08525153663061727,-0.0432310023481832
-27.2134,0.2564209333333334,-0.31404750635730505,-0.08052835469114611,-0.0408358796608246
-26.7134,0.24584460000000002,-0.3127928002917431,-0.07689842087060347,-0.0389951424293121
-26.2134,0.2384646,-0.3130617612369112,-0.07465414766865554,-0.0378570728542878
-25.7134,0.23388553333333334,-0.31679916297264965,-0.07409474119141175,-0.0375733981700871
-25.2134,0.23156513333333334,-0.3255135993614321,-0.07537760003794328,-0.0382239351105189
-24.7134,0.23140466666666668,-0.33781950378762876,-0.07817300966747498,-0.0396414856325938
-24.2134,0.23423253333333338,-0.3482689524650866,-0.0815759190172435,-0.0413670988931255
-23.7134,0.24124453333333334,-0.3502945614268226,-0.08450664800061848,-0.0428532697771899
-23.2134,0.2524118,-0.34189432601343606,-0.08629816223883822,-0.0437617455572202
-22.7134,0.2663110666666667,-0.32650728817017466,-0.08695250418703994,-0.0440935619609736
-22.2134,0.2803558666666666,-0.30975132791026033,-0.08684060198743188,-0.044036816423647
-21.7134,0.29174400000000006,-0.29559841437883083,-0.08623906380453764,-0.0437317767771489
-21.2134,0.29930213333333333,-0.28494506136996817,-0.08528466475082906,-0.0432478015977835
-20.7134,0.3028134,-0.2784874811177715,-0.08432974101470819,-0.0427635603522861
-20.2134,0.3041422666666667,-0.2765618923985872,-0.08411416082772909,-0.0426542397706537
-19.7134,0.30508260000000004,-0.27994318377328115,-0.08540579435783044,-0.0433092263477842
-19.2134,0.3063452666666668,-0.288727010651695,-0.08845015307196304,-0.0448530187991699
-18.7134,0.30939673333333334,-0.2999536501648369,-0.09280467951240999,-0.0470611965073073
-18.2134,0.3162609333333333,-0.3087906085781555,-0.09765840607349546,-0.0495225182928476
-17.7134,0.32860586666666675,-0.3111148063381461,-0.10223415056957869,-0.0518428755423827
-17.2134,0.3450400666666667,-0.30726284652179015,-0.10601799304806825,-0.0537616597606837
-16.7134,0.36064793333333334,-0.3019929024777361,-0.1089131161599304,-0.0552297749289708
-16.2134,0.3699385333333333,-0.3007177993604933,-0.1112471016426485,-0.056413337546982
-15.7134,0.3704971333333333,-0.3061375277227955,-0.11342307642704959,-0.0575167730360292
-15.2134,0.3641709333333333,-0.3168110781725004,-0.11537338602841908,-0.0585057738480827
-14.7134,0.3543850666666667,-0.32859973070568704,-0.11645083747278363,-0.05905214881987
-14.2134,0.3441510666666666,-0.3375952533160725,-0.11618376653032986,-0.0589167173074695
-13.7134,0.3364597333333334,-0.34206451537812643,-0.11509093562692034,-0.0583625434213592
-13.2134,0.33418726666666665,-0.3425335635085818,-0.114470355330526,-0.0580478475306927
-12.7134,0.337584,-0.3415415770623687,-0.11529897175102267,-0.0584680384132975
-12.2134,0.34299419999999997,-0.3420325413313491,-0.117315177887913,-0.0594904553184143
-11.7134,0.3456898666666666,-0.3447827084923383,-0.1191878885276886,-0.060440105744264
-11.2134,0.3427977333333333,-0.34879559230785834,-0.11956633843979127,-0.0606320174643972
-10.7134,0.33454500000000004,-0.3527633649016678,-0.11801521991102848,-0.0598454462023471
-10.2134,0.32262779999999996,-0.35717694579270653,-0.11523521223182015,-0.0584357059999088
-9.71343,0.30852606666666665,-0.3651902082343754,-0.1126706985317328,-0.0571352426631505
-9.21343,0.29742199999999996,-0.376076464198934,-0.11185341413497533,-0.0567207982428881
-8.71343,0.296269,-0.38423959842746547,-0.11383828158650677,-0.0577273233197296
-8.21343,0.3102293333333333,-0.383124656856874,-0.11885650688027011,-0.0602720623125102
-7.71343,0.33766166666666664,-0.3736467540197868,-0.12616618570691124,-0.0639787959974195
-7.21343,0.37126733333333334,-0.3616247505341319,-0.13425945679813905,-0.0680828888428697
-6.71343,0.4029562,-0.3510425546852759,-0.14145477387427097,-0.0717316297536871
-6.21343,0.42597493333333336,-0.3440973591162664,-0.14657684960972764,-0.0743290312422554
-5.71343,0.4383778000000001,-0.34062396791402527,-0.14932198568142102,-0.0757210880737429
-5.21343,0.4407128666666667,-0.3404886937070666,-0.15005774827122995,-0.0760941928353093
-4.71343,0.4362048666666667,-0.34197883122825884,-0.14917283047874516,-0.0756454515612298
-4.21343,0.4267709333333334,-0.3431573171342243,-0.14644956851353558,-0.0742644870758294
-3.71343,0.41259039999999997,-0.3421932244374728,-0.14118563934794667,-0.0715951517991616
-3.21343,0.39342873333333334,-0.3386292857098049,-0.13322649094637998,-0.0675590724880223
-2.71343,0.37056820000000007,-0.33422982314766453,-0.1238549439501484,-0.0628067667090002
-2.21343,0.34885093333333345,-0.33050970221796516,-0.11529861809445925,-0.0584678590742694
-1.71343,0.33251813333333324,-0.328155741916132,-0.10911773474456728,-0.0553335368887258
-1.21343,0.3235174,-0.32467698674043544,-0.10503865459010016,-0.0532650378245944
-0.713433,0.3192130666666666,-0.3177643033071154,-0.1014345177358611,-0.0514373822189965
-0.213433,0.3112218666666667,-0.31205412500938745,-0.09711806728645492,-0.0492485128227459
0.286567,0.2965855333333333,-0.31213005803911403,-0.09257325973289492,-0.0469438436779386
0.786567,0.2804214,-0.3185687681078119,-0.08933349994906795,-0.0453009634630162
1.28657,0.2709115333333333,-0.326927304516324,-0.08856837735505091,-0.044912970261182
1.78657,0.2677586,-0.33800428176208375,-0.09050355327862109,-0.0458942967944326
2.28657,0.2726212666666667,-0.34754099411192807,-0.09474706603338638,-0.0480461795301148
2.78657,0.2833691333333333,-0.355322977825489,-0.10068756427982802,-0.0510586025759777
3.28657,0.2976952666666666,-0.3612790262767438,-0.1075510560685289,-0.0545390750854609
3.78657,0.31228246666666665,-0.3656113127930201,-0.11417400260024253,-0.0578975672415023
4.28657,0.32285686666666663,-0.36834995684818367,-0.11892431290480644,-0.0603064467062913
4.78657,0.3249967333333333,-0.3702862609098961,-0.12034182519393057,-0.0610252663255226
5.28657,0.3171098666666667,-0.37289642207438495,-0.11824913468448528,-0.0599640642416254
5.78657,0.3015844666666666,-0.37838800107628956,-0.11411594349765886,-0.0578681255059122
6.28657,0.283934,-0.38749126233784104,-0.11002194408063257,-0.0557920608928157
6.78657,0.2697353333333334,-0.397561571078704,-0.10723640289543794,-0.054379514652859
7.28657,0.2630826,-0.4024632165851411,-0.10588106942358204,-0.0536922258740274
7.78657,0.2662956,-0.39666911834062407,-0.1056312408699875,-0.0535655379665251
8.28657,0.27857719999999997,-0.38164177121673554,-0.10631669602859876,-0.0539131318603442
8.78657,0.2962366,-0.36405904924049365,-0.10784761494623643,-0.0546894599118846
9.28657,0.3136718666666667,-0.3504269569529358,-0.10991907771774702,-0.0557398974227926
9.78657,0.3266112666666666,-0.34353656336121396,-0.11220291210571967,-0.0568980284511763
10.2866,0.33468933333333334,-0.3427748543640386,-0.1147230874905305,-0.0581760078552386
10.7866,0.33865006666666664,-0.3475425143282235,-0.11769529564675382,-0.0596832128026135
11.2866,0.3397176666666667,-0.35630650464337876,-0.12104361437560447,-0.0613811431924972
11.7866,0.33937253333333334,-0.3659485324857088,-0.12419288053929063,-0.0629781341477133
12.2866,0.3397036,-0.37208818864560145,-0.12639969720038993,-0.0640972095336663
12.7866,0.3438965333333333,-0.3706357489425024,-0.12746034919073024,-0.0646350655125407
13.2866,0.3536742666666666,-0.36216815581113676,-0.12808955691652285,-0.0649541363674051
13.7866,0.36797726666666664,-0.35135318007654065,-0.12928998283920654,-0.0655628716223157
14.2866,0.3826830666666667,-0.3423210313817244,-0.13100046207365454,-0.0664302546012447
14.7866,0.39072399999999996,-0.3361826079529314,-0.13135461330980117,-0.0666098444775868
15.2866,0.3864852666666667,-0.33039021500991655,-0.12769095035216496,-0.064752003221179
15.7866,0.3675966,-0.3230628953365228,-0.11875682191186165,-0.0602215121256905
16.2866,0.33933160000000007,-0.3128344316920777,-0.10615460824116346,-0.0538309372419693
16.7866,0.3110998,-0.3006786628317927,-0.09354107187123813,-0.0474346206243601
17.2866,0.29011620000000005,-0.2902272445397674,-0.08419962532234808,-0.0426975787638682
17.7866,0.278649,-0.284252482408358,-0.07920666997060653,-0.0401656541433096
18.2866,0.2735479333333333,-0.28336624510129527,-0.07751425072388611,-0.0393074293731674
18.7866,0.2712358000000001,-0.2851136616373862,-0.07733303210514579,-0.0392155335218792
19.2866,0.26971566666666663,-0.2869784848671656,-0.07740259336493747,-0.0392508079943902
19.7866,0.2689742,-0.28747044564074964,-0.07732213313986412,-0.0392100066632171
20.2866,0.2686374666666667,-0.2871665065127288,-0.07714368282109631,-0.0391195146151604
20.7866,0.2676647333333334,-0.2871754836542903,-0.07686674925219666,-0.0389790817708908
21.2866,0.26343506666666666,-0.28926323481838884,-0.07620207954859791,-0.0386420281686602
21.7866,0.25451453333333335,-0.29326369206519776,-0.07463987172958418,-0.0378498335342719
22.2866,0.24200686666666665,-0.2963734844616917,-0.07172441833765603,-0.0363714088933347
22.7866,0.2285922,-0.2945127596680079,-0.0673233196605812,-0.0341396144323434
23.2866,0.217678,-0.28337655169167775,-0.061684841019141026,-0.031280345344392
23.7866,0.2112864,-0.2620626188411432,-0.055370267309517315,-0.0280782288587816
24.2866,0.2096532,-0.23530396814559484,-0.04933222989442203,-0.0250163437598489
24.7866,0.2128734,-0.21163162930248589,-0.045050744477159795,-0.0228452051101216
25.2866,0.2213824666666667,-0.19988943252108043,-0.04425201563211701,-0.0224401701988423
25.7866,0.23599313333333335,-0.20351728041005313,-0.04802868069144706,-0.0243553147522551
26.2866,0.2561676666666666,-0.2185995864346334,-0.055998145991258345,-0.0283966257562162
26.7866,0.2781562,-0.23869311146941344,-0.06639396885250846,-0.0336683412030976
27.2866,0.29710926666666665,-0.25945440108904055,-0.07708630684100404,-0.03909041929057
27.7866,0.31031793333333335,-0.2790665185983061,-0.08659934531395459,-0.043914475311336
28.2866,0.318699,-0.29595471651015637,-0.09432047219707033,-0.0478298540553095
28.7866,0.3254338666666667,-0.307432929548627,-0.10004908700367061,-0.050734831137764
29.2866,0.33250019999999997,-0.3117885926781983,-0.10366976942321945,-0.0525708769894622
29.7866,0.34002920000000003,-0.3095334641265667,-0.10525041618018517,-0.0533724219980655
30.2866,0.3472228666666667,-0.3030069230323511,-0.10521093243513897,-0.0533523998149792
30.7866,0.35337453333333335,-0.2950931456639809,-0.10427840263887463,-0.0528795145227559
31.2866,0.35837913333333327,-0.28797938985116356,-0.10320580415272211,-0.0523356004831248
31.7866,0.36206373333333336,-0.28306927380190433,-0.10248911806467301,-0.0519721694039924
32.2866,0.36493713333333333,-0.2805391526023681,-0.10237915413847075,-0.0519164067639304
32.7866,0.3679142666666666,-0.28017225808098,-0.10307937087220782,-0.0522714862435131
33.2866,0.37237886666666664,-0.2815452042651625,-0.10484148407969637,-0.0531650527787507
33.7866,0.3803818666666666,-0.28375649614630666,-0.10793582568292492,-0.0547341915227814
34.2866,0.3933812666666667,-0.2862785139821263,-0.1126166044497399,-0.0571078115870892
34.7866,0.4116642666666666,-0.289386851298724,-0.1191302259228649,-0.0604108650724467
35.2866,0.43330079999999993,-0.29461950442917884,-0.12765886696476672,-0.0647357337549527
35.7866,0.45569946666666666,-0.3028746012219037,-0.13801979424370087,-0.0699897536732763
36.2866,0.47650626666666673,-0.31331398129124405,-0.14929607551956056,-0.0757079490464303
36.7866,0.4950848666666666,-0.3228770035419877,-0.1598515182483178,-0.0810606076309928
37.2866,0.5112266,-0.3282947528378794,-0.16783301029114941,-0.085108017389021
37.7866,0.5234242000000001,-0.3283384585952134,-0.17186029501943273,-0.0871502510240531
38.2866,0.5292299333333333,-0.3239404885267324,-0.17143900314697003,-0.0869366141718915
38.7866,0.5253603333333334,-0.3175202688087354,-0.16681255426144687,-0.084590544757326
39.2866,0.5095136666666666,-0.31110214830089394,-0.15851079628866557,-0.0803807283411083
39.7866,0.481256,-0.30573887561433816,-0.14713866832265393,-0.0746139291697028
40.2866,0.44201660000000004,-0.30230667659725424,-0.1336245693468179,-0.067760937802646
40.7866,0.39714293333333334,-0.3010867641902515,-0.11957448071835809,-0.0606361464089037
41.2866,0.3563372666666666,-0.30060518652335133,-0.10711683051155449,-0.0543188795697538
41.7866,0.3255658,-0.3014606431885885,-0.09814527546820737,-0.0497694094666366
42.2866,0.30598580000000003,-0.3061675443504709,-0.09368292099211432,-0.0475065522272385
42.7866,0.29903726666666663,-0.31344143153844983,-0.09373066894734515,-0.0475307651862805
43.2866,0.30386266666666667,-0.320188545886936,-0.09729334538932674,-0.0493373962420521
43.7866,0.3162617333333333,-0.32506046885892403,-0.10280418731946933,-0.0521319408313739
44.2866,0.32938786666666664,-0.3308369590013572,-0.1089736801399445,-0.0552604868863816
44.7866,0.3385363333333334,-0.34024681647224186,-0.11518590967685238,-0.0584107047042862
