ArcLength, Average, RelBeta4Exp, ExpCorreBetas, ExpBetas
-29.464,0.44146062500000005,-6.07614676732346,-2.6823795494943448,-0.12748952231437
-28.964,0.4429385625,-5.824127066638938,-2.579730470714393,-0.122610763817224
-28.464,0.43218868750000006,-5.594706848602901,-2.4179690098449496,-0.114922481456509
-27.964,0.4074701875000001,-5.380492818905106,-2.1923904177616675,-0.104201065482969
-27.464,0.3703301875,-5.183394388142274,-1.919567415647176,-0.0912341927588962
-26.964,0.324050875,-5.035855107449319,-1.6318732539421712,-0.0775605158717762
-26.464,0.27636,-4.957592601196278,-1.3700802912666032,-0.0651178845659032
-25.964,0.23662931250000002,-4.933820150873259,-1.1674864702997856,-0.0554889006796476
-25.464,0.21072437500000002,-4.907997675762297,-1.0342347427264627,-0.0491556436657064
-24.964,0.19894725000000002,-4.81812404496957,-0.9585525289055725,-0.0455585802711774
-24.464,0.19873806249999998,-4.631501674211799,-0.9204556691983591,-0.0437478930227357
-23.964,0.20573881249999998,-4.3922011085175425,-0.9036462403275827,-0.0429489657950372
-23.464,0.215959125,-4.160322057813224,-0.8984595113235433,-0.0427024482568224
-22.964,0.22683937499999998,-3.9668366444057015,-0.8998347451440865,-0.0427678110809927
-22.464,0.236843875,-3.8289076849020636,-0.9068533331094838,-0.043101394159196
-21.964,0.24604243749999996,-3.7531729396395637,-0.9234398184279584,-0.0438897252104543
-21.464,0.2547765,-3.746837786948026,-0.9546062174263639,-0.0453710179385154
-20.964,0.2632815,-3.787604374668078,-0.9972061611691736,-0.0473957300935919
-20.464,0.27155581249999994,-3.8206443789171045,-1.037518188590392,-0.0493117009786308
-19.964,0.278994,-3.8090193042082103,-1.0626935317582655,-0.0505082477071419
-19.464,0.28521087500000003,-3.761458652820053,-1.0728089136471286,-0.0509890168083236
-18.964,0.2892474375,-3.733342600163302,-1.0798597804068222,-0.0513241340497539
-18.464,0.290216125,-3.7678915051043216,-1.0935028720317939,-0.0519725699634883
-17.964,0.2869783125,-3.8582847375772586,-1.107244043134427,-0.0526256674493549
-17.464,0.278547375,-3.9621965007209874,-1.1036594345100166,-0.052455296317016
-16.964,0.2656566875,-4.035488418641727,-1.0720544857409744,-0.0509531599686775
-16.464,0.25071024999999997,-4.053778816126773,-1.016323900435847,-0.0483043678914376
-15.964,0.23749199999999998,-4.000203425175281,-0.9500163118517277,-0.0451528665328768
-15.464,0.2289344375,-3.867481474373671,-0.8853996958774071,-0.0420817345949338
-14.964,0.225331875,-3.675654578479281,-0.828242138021071,-0.0393651206283779
-14.464,0.22466181250000003,-3.491631189204201,-0.7844361915481464,-0.0372830889519081
-13.964,0.22469568750000002,-3.3953591845497346,-0.7629225662818421,-0.0362605782453347
-13.464,0.22418706249999998,-3.4211923022595983,-0.7669870524911914,-0.0364537572476802
-12.964,0.223026125,-3.5395907458988796,-0.7894212081436868,-0.0375200193984642
-12.464,0.22265325,-3.682259595711591,-0.8198670663288717,-0.0389670658901555
-11.964,0.224051875,-3.810521748973972,-0.8537545425858978,-0.0405776873852613
-11.464,0.22724550000000002,-3.9273177551110887,-0.892465286919097,-0.0424175516596529
-10.964,0.23193975,-4.030289957471635,-0.9347844451634817,-0.0444289184963632
-10.464,0.23679893750000003,-4.100763729993029,-0.9710564942008864,-0.0461528751996619
-9.96398,0.24020668749999996,-4.10238438408927,-0.9854201637538113,-0.0468355591137743
-9.46398,0.24002393749999998,-4.018619148803018,-0.9645647914085987,-0.0458443341924239
-8.96398,0.2350755625,-3.848090380539874,-0.90459201075625,-0.0429939168610385
-8.46398,0.22594931250000003,-3.6071803316699396,-0.8150399160043449,-0.0387376385933624
-7.96398,0.214195125,-3.3661598095683076,-0.7210150211804598,-0.0342687747709344
-7.46398,0.202087,-3.233675906216846,-0.6534838628596437,-0.0310591189572074
-6.96398,0.19241631250000002,-3.305091533380692,-0.6359535253280835,-0.0302259280098899
-6.46398,0.1884586875,-3.5748454684488973,-0.6737106849992018,-0.0320204698193537
-5.96398,0.19298574999999998,-3.874884273617659,-0.747797447707309,-0.0355417037883702
-5.46398,0.20564131250000003,-4.009755757070552,-0.8245714366884196,-0.0391906576372823
