ArcLength, Average, RelBeta4Exp, ExpCorreBetas, ExpBetas
-28.7688,0.3035661875,-3.6757643167845884,-1.1158377597948397,-0.0530341140586901
-28.2688,0.3203134375,-3.7626674556502637,-1.2052329468887149,-0.0572829347380568
-27.7688,0.3320955625,-3.8478822913910977,-1.2778646339933155,-0.0607350111213553
-27.2688,0.34395499999999996,-3.8533420709112667,-1.3253762720002846,-0.0629931688213063
-26.7688,0.3512758125,-3.8117074158750603,-1.3389606195237873,-0.0636388127150089
-26.2688,0.35360131249999993,-3.73082958822605,-1.3192262391105656,-0.0627008668778786
-25.7688,0.3539008125,-3.619248339373191,-1.280854927943448,-0.0608771353585289
-25.2688,0.3540003125,-3.51426892825998,-1.244052298813073,-0.0591279609702031
-24.7688,0.3544558125,-3.45021786761638,-1.2229497775679814,-0.058124989428136
-24.2688,0.35385087499999995,-3.446156402445098,-1.2194254583920499,-0.0579574837638807
-23.7688,0.351829375,-3.480648212727116,-1.2245942852786482,-0.0582031504410004
-23.2688,0.347276,-3.530419696804972,-1.2260300306276435,-0.0582713892883861
-22.7688,0.3394704375,-3.5857023484248445,-1.2172399449645595,-0.0578536095515475
-22.2688,0.32757487499999993,-3.6790154590163127,-1.205153029110336,-0.0572791363645597
-21.7688,0.312077,-3.873237492386036,-1.208748336911357,-0.0574500160128972
-21.2688,0.296859,-4.199783427414546,-1.2467435084788545,-0.0592558701748505
-20.7688,0.28795600000000005,-4.593651284143126,-1.3227694491767183,-0.062869270398133
-20.2688,0.290432375,-4.887343571765922,-1.4194428009889597,-0.0674640114538479
-19.7688,0.303626125,-4.956338430958074,-1.5048738319803803,-0.0715244216720713
-19.2688,0.319434,-4.8412771345942325,-1.5464685202119741,-0.0735013555233828
-18.7688,0.32698650000000007,-4.664025465840811,-1.5250733629861566,-0.0724844754270987
-18.2688,0.3191597500000001,-4.519890563314361,-1.442567142214771,-0.0685630771014625
-17.7688,0.29582425,-4.459900056623336,-1.319346589325556,-0.062706586945131
-17.2688,0.26470525,-4.47669181173843,-1.1850038251991741,-0.0563214745817098
-16.7688,0.23383068749999997,-4.561700143437244,-1.0666654807087794,-0.0506970285507975
-16.2688,0.208098125,-4.707043414446712,-0.9795269088399587,-0.0465554614467661
-15.7688,0.1886325,-4.89637150761353,-0.9236147984099092,-0.0438980417495204
-15.2688,0.17192641875,-5.157076672338794,-0.8866377234943762,-0.0421405762117099
-14.7688,0.1561912625,-5.452855168510251,-0.8516883329992664,-0.0404794835075697
-14.2688,0.14059178749999998,-5.739108351520753,-0.8068715017964809,-0.0383494059789202
-13.7688,0.12558815625,-5.977704947201608,-0.7507289429255536,-0.0356810334090092
-13.2688,0.11192033750000001,-6.165973528898202,-0.6900978383703528,-0.032799326918743
-12.7688,0.10050247500000001,-6.308205383822074,-0.6339902538824435,-0.0301326166293937
-12.2688,0.09221666249999999,-6.383928461201942,-0.5887045763308038,-0.0279802555290306
-11.7688,0.08673870625,-6.414703016289691,-0.5564030406109405,-0.0264450114358812
-11.2688,0.08394112499999999,-6.392093673395724,-0.5365595340502196,-0.0255018789947823
-10.7688,0.08365900625,-6.31273144650949,-0.528116839538109,-0.0251006102442067
-10.2688,0.08589626875000002,-6.178613064608722,-0.5307198082998921,-0.0252243254895386
-9.7688,0.09035873125,-6.022190157695263,-0.5441574619955815,-0.025862997243136
-9.2688,0.09628695000000002,-5.886733442973395,-0.5668156086869073,-0.0269399053558416
-8.7688,0.10295072499999999,-5.785291930399686,-0.5955999985712972,-0.0283079847229704
-8.2688,0.11003330625,-5.704755388675252,-0.6277130967634418,-0.0298342726598594
-7.7688,0.11753174375,-5.630050382180501,-0.6617096388180282,-0.0314500778905907
-7.2688,0.12552674375,-5.5491689348662,-0.69656910691241,-0.0331068967163693
-6.7688,0.13390181875,-5.45514861092405,-0.7304543205542665,-0.0347174106727313
-6.2688,0.14224531875,-5.350474122447358,-0.761079897011151,-0.0361729989073741
-5.7688,0.15037428125,-5.234062192908562,-0.7870683402764238,-0.0374081910777768
-5.2688,0.1587149875,-5.091773734034599,-0.8081408045501297,-0.0384097340565651
-4.7688,0.16793260624999998,-4.911126771846728,-0.82473831842037,-0.0391985892785347
-4.2688,0.1790835375,-4.683772116360882,-0.8387864794417683,-0.039866277540008
-3.7688,0.19199906249999998,-4.444379036104864,-0.8533166083267874,-0.040556873019334
-3.2688,0.20488556250000006,-4.237754363444152,-0.8682546864910847,-0.0412668577229603
-2.7688,0.212593875,-4.121062318716885,-0.8761126074525075,-0.0416403330538264
-2.2688,0.20984981249999998,-4.120995983381339,-0.8647902344258269,-0.041102197453699
-1.7688,0.1971829375,-4.202681068719835,-0.8286969985058164,-0.0393867394727099
-1.2688,0.18199493749999998,-4.274012485842368,-0.7778486352351014,-0.0369699921689687
-0.768799,0.17234925,-4.259698353236409,-0.7341558164065303,-0.0348933372816792
-0.268799,0.1739899375,-4.129115423686241,-0.7184245344974551,-0.0341456527802973
0.231201,0.1885309375,-3.910602876826515,-0.7372696265582999,-0.0350413320607557
0.731201,0.20711800000000002,-3.7597222382007454,-0.778706150531662,-0.0370107485994136
1.2312,0.22041887500000001,-3.730043168266935,-0.8221719188508335,-0.0390766121126822
1.7312,0.2303356875,-3.696900361048466,-0.8515280862810967,-0.0404718672186833
2.2312,0.2350565,-3.65752087583319,-0.8597240557502842,-0.0408614094938348
2.7312,0.23268837499999998,-3.647606994595203,-0.8487557442109915,-0.0403401019111688
3.2312,0.225068875,-3.6648892684726135,-0.824852504654704,-0.039204016380927
3.7312,0.2134005625,-3.7046937022731754,-0.7905837199553032,-0.0375752718609935
4.2312,0.19841778750000003,-3.7452314621763003,-0.7431205404004115,-0.0353194173194112
4.7312,0.18062884999999998,-3.762153950023102,-0.6795535415156303,-0.0322981721252676
5.2312,0.16070486875,-3.7500927180581756,-0.6026581580558699,-0.0286434485767999
5.7312,0.13994769375000005,-3.723688003627601,-0.5211215483522246,-0.0247681344273871
6.2312,0.12172602500000002,-3.650271745364476,-0.4443330697330299,-0.0211184919074634
6.7312,0.10842915624999999,-3.4950333480157303,-0.3789635169909582,-0.0180115740014714
7.2312,0.1012985625,-3.2568185524266684,-0.32991103768415236,-0.0156801823994369
7.7312,0.09898548125000001,-3.0322724376480203,-0.30015094652169994,-0.0142657293974192
8.2312,0.09873383124999999,-2.9230651647861725,-0.28860542271275136,-0.0137169877715186
8.7312,0.09858805000000001,-2.9515651537030436,-0.2909890529515334,-0.0138302781821071
9.2312,0.09877223749999998,-3.0730931390177645,-0.3035362853866831,-0.0144266295335876
9.7312,0.10049028125000001,-3.237636241515379,-0.3253509764950734,-0.0154634494531879
10.2312,0.10448291875000001,-3.4289956827626487,-0.35827147731619063,-0.0170281120397429
10.7312,0.11103740000000001,-3.646217522377239,-0.40486651351921044,-0.0192427050151716
11.2312,0.12063835625000001,-3.853462123285599,-0.46487533642480955,-0.0220948353814073
11.7312,0.1335629375,-3.9882789966343264,-0.5326862583600332,-0.0253177879448685
12.2312,0.14920239375,-4.021336270593376,-0.5999929976462294,-0.0285167774546687
12.7312,0.16590730625000003,-3.990491370073804,-0.6620516738228168,-0.0314663343071681
13.2312,0.18132218749999998,-3.967025842775636,-0.7193098036811093,-0.0341877283118398
13.7312,0.193985,-3.9815355208105725,-0.7723581680044389,-0.0367090384032528
14.2312,0.203861375,-4.014607450074773,-0.8184233948574872,-0.0388984503259262
14.7312,0.2107925,-4.052913051967189,-0.8543236745067937,-0.0406047373815016
15.2312,0.214544125,-4.103899924863375,-0.8804676184673786,-0.0418473202693621
15.7312,0.21594443749999997,-4.162597316261167,-0.8988897359990273,-0.0427228961976724
16.2312,0.21627568749999998,-4.196430744584119,-0.9075859443310672,-0.0431362140841762
16.7312,0.2176178125,-4.140314251610021,-0.9010061304979474,-0.0428234852898264
17.2312,0.22089493749999997,-3.9789952931214274,-0.8789399165868518,-0.0417747108643941
17.7312,0.22638837499999998,-3.767682456434154,-0.8529595088281363,-0.0405399006097023
18.2312,0.2339044375,-3.598621111198637,-0.8417334467905422,-0.0400063425280676
18.7312,0.24290093750000002,-3.5392492260517203,-0.8596869550541124,-0.040859646152762
19.2312,0.2531549375,-3.5911574801439166,-0.9091192474384907,-0.0432090897071526
19.7312,0.264933625,-3.701617914711639,-0.9806830525094954,-0.0466104112409456
20.2312,0.278269625,-3.811418936259703,-1.0606021181108864,-0.0504088459178178
20.7312,0.29279425,-3.8896797920165924,-1.138875877443654,-0.0541290816275501
21.2312,0.30913399999999996,-3.919792909049555,-1.211741261146125,-0.0575922652635991
21.7312,0.32538225000000004,-3.9284784173799197,-1.2782571465235175,-0.060753666659863
22.2312,0.3404955,-3.927722280164969,-1.3373717616459113,-0.0635632966561745
22.7312,0.35308112500000005,-3.9314224143852687,-1.388111048921367,-0.0659748597396087
23.2312,0.36288481249999993,-3.9425031208077876,-1.4306745057749986,-0.0679978377269486
23.7312,0.36934981249999993,-3.9683149970376963,-1.465696400096811,-0.0696623764304568
24.2312,0.37285274999999996,-4.000187687761177,-1.491480979897896,-0.0708878792727137
24.7312,0.3726681250000001,-4.030873236596473,-1.5021779711950891,-0.0713962914066107
25.2312,0.3672435000000001,-4.057785011653138,-1.4901951699270397,-0.0708267666315133
25.7312,0.3557074375,-4.083403592734677,-1.4524970282499456,-0.0690350298597883
26.2312,0.33950574999999994,-4.1094127000681855,-1.395169240796174,-0.066310325132898
26.7312,0.32174549999999996,-4.1366983931688885,-1.3309640928593205,-0.0632587496606141
27.2312,0.30664668749999996,-4.1461926700511365,-1.2714162480079614,-0.0604285288977168
27.7312,0.2933425,-4.163892500667435,-1.221446635877037,-0.0580535473325588
28.2312,0.2808336875,-4.203554809710731,-1.1804997978194254,-0.0561074048393263
