ArcLength, Average, RelBeta, ExpCorreBetas, ExpBetas
-11.0665,0.16932474999999997,-1.1635952138005994,-0.197025468677983,-0.0374573134368789
-10.5665,0.1779606875,-1.0980874363633495,-0.19541639511033418,-0.0371514059145122
-10.0665,0.18409593749999995,-1.0500738085392363,-0.19331432222722617,-0.0367517722865449
-9.56653,0.188899625,-1.0134752528468123,-0.191445095209543,-0.0363964059333732
-9.06653,0.1933790625,-0.9857567891403702,-0.19062472373697498,-0.0362404417750903
-8.56653,0.1968034375,-0.9724823736963372,-0.19138787405159874,-0.0363855273862355
-8.06653,0.19985743750000004,-0.9690648297837677,-0.19367481365195754,-0.0368203067779387
-7.56653,0.20449612499999997,-0.9630312844564628,-0.19693616592511934,-0.037440335727209
-7.06653,0.2132440625,-0.9413680371181058,-0.20074114454271566,-0.0381637156925315
-6.56653,0.2276668125,-0.9027671162600163,-0.20553011178873484,-0.0390741657393032
-6.06653,0.24765168750000002,-0.8615451905562415,-0.21336312029876228,-0.040563330855278
-5.56653,0.271035625,-0.8375377281787811,-0.22700256161801605,-0.0431563805357445
-5.06653,0.29566925,-0.8378567712526236,-0.24772848316368476,-0.0470966698029819
-4.56653,0.32165362500000005,-0.851092787695652,-0.2737570803736619,-0.0520450723143844
-4.06653,0.3515029375,-0.855454409360855,-0.30069473778766803,-0.0571662999596327
-3.56653,0.3861695,-0.8397152451228421,-0.32427241635146536,-0.0616487483557919
-3.06653,0.42405031249999997,-0.8090351986419239,-0.3430716288076074,-0.065222743119317
-2.56653,0.45912856249999995,-0.7818565160162108,-0.35897265827978103,-0.0682457525246732
-2.06653,0.48826637500000003,-0.7700351401715742,-0.3759822665141914,-0.0714795183487056
-1.56653,0.5091031250000001,-0.7800987987121986,-0.39715073623312636,-0.0755039422496438
-1.06653,0.5185695,-0.8089606351208648,-0.4195023120743093,-0.0797532912688801
-0.566528,0.5139853125,-0.8442512162964457,-0.4339327252366338,-0.0824967158244551
-0.0665279,0.4965375625000001,-0.8714348533856338,-0.43270013797764756,-0.0822623836459406
0.433472,0.47295812500000006,-0.8795348800173306,-0.4159831677250967,-0.0790842524192199
0.933472,0.4553504375,-0.8639308298772332,-0.3933912813543362,-0.0747892169875164
1.43347,0.45017437500000007,-0.8334706773902356,-0.375207141274976,-0.071332156135927
1.93347,0.45211881249999997,-0.8049218927295494,-0.36392033029613624,-0.0691863745810145
2.43347,0.454051875,-0.787273895197719,-0.35746318825307777,-0.0679587810367068
2.93347,0.44713987499999996,-0.7889359209961943,-0.35276470909724816,-0.0670655340489065
3.43347,0.42828362499999995,-0.8111772026919324,-0.3474139128862605,-0.0660482724118366
3.93347,0.39956468749999996,-0.8466477545736497,-0.338290545478797,-0.0643137919161211
4.43347,0.36446681249999996,-0.8793423620232355,-0.32049110778282963,-0.0609298683997775
4.93347,0.32716918750000007,-0.8909177350246066,-0.2914808314973409,-0.0554146067485439
5.43347,0.28943281249999997,-0.8790835886899214,-0.2544356354971171,-0.0483717938207447
5.93347,0.2544635,-0.8551248830257672,-0.21759807067182732,-0.0413684545003474
6.43347,0.22607343749999997,-0.8419142854614309,-0.19033445659462192,-0.0361852579077228
6.93347,0.20639162499999997,-0.8633999661046656,-0.17819852202928682,-0.0338780460131724
7.43347,0.19550162499999998,-0.9211465317799071,-0.18008564382608597,-0.0342368144156057
7.93347,0.1911068125,-0.9920510776985344,-0.18958771929615675,-0.0360432926418549
8.43347,0.1897901875,-1.0516711913978392,-0.19959687260374429,-0.0379461734988107
8.93347,0.189125,-1.0892220475938914,-0.2059991197511947,-0.0391633307511777
9.43347,0.188291625,-1.104941191590607,-0.20805117249403174,-0.0395534548467741
9.93347,0.186758375,-1.1081445316077665,-0.2069552719882026,-0.0393451087430043
10.4335,0.1843186875,-1.1090593892723293,-0.2044203709902273,-0.0388631884011839
10.9335,0.18034774999999997,-1.117224249759206,-0.20148887968951082,-0.0383058706634051
