ArcLength, Average, RelBeta4Exp, ExpCorreBetas, ExpBetas
-19.028,0.20642018750000002,-4.567319742707633,-0.9427869976621615,-0.0448092679497225
-18.528,0.21328275,-4.538500540115571,-0.9679838760723343,-0.0460068382163657
-18.028,0.22140775,-4.483520411600327,-0.9926861664115021,-0.0471809014454136
-17.528,0.229816,-4.410634445891974,-1.0136343658171099,-0.0481765382992923
-17.028,0.23354918750000003,-4.381587535473242,-1.0233162088699033,-0.0486367019424859
-16.528,0.21727012500000004,-4.653808531822968,-1.0111335614352428,-0.0480576787754393
-16.028,0.1863411875,-5.216101035140285,-0.9719744610080199,-0.0461965048007614
-15.528,0.16615631250000001,-5.508408357279162,-0.9152568203896881,-0.0435007994481791
-15.028,0.1568925,-5.456958663857968,-0.8561558871693362,-0.0406918197323829
-14.528,0.15453000000000003,-5.23463651034782,-0.8089083799440487,-0.0384462157768084
-14.028,0.1576870625,-5.006411169550673,-0.7894462709936351,-0.0375212105985568
-13.528,0.1660784375,-4.885020674125258,-0.8112966007139195,-0.0385597243685323
-13.028,0.1791149375,-4.890521390052612,-0.8759654331216867,-0.0416333380761258
-12.528,0.19607118750000002,-4.947916220718396,-0.970143809046768,-0.0461094966276981
-12.028,0.2165515,-4.961412663107714,-1.0744013543149702,-0.0510647031518522
-11.528,0.240846125,-4.877839591266666,-1.1748087639281601,-0.0558369184376502
-11.028,0.26839899999999994,-4.712956128845965,-1.264952712026128,-0.0601213266172114
-10.528,0.297639125,-4.504242645681595,-1.3406388398483549,-0.0637185760384199
-10.028,0.32581668750000004,-4.285861387953951,-1.396405160507309,-0.0663690665640356
-9.52798,0.350672875,-4.070401134129975,-1.427379268108619,-0.0678412199671397
-9.02798,0.3716834375,-3.855958175672191,-1.4331957895900687,-0.068117670607893
-8.52798,0.38777825,-3.6627803957753247,-1.4203465720080628,-0.0675069663501931
-8.02798,0.39924675,-3.510655675214599,-1.4016178686984841,-0.0666168188544907
-7.52798,0.406761125,-3.419379455050948,-1.3908706339384107,-0.0661060187233085
-7.02798,0.412239125,-3.3858809489857205,-1.395792599764043,-0.0663399524602682
-6.52798,0.4180774375,-3.3808318255935474,-1.4134495062625971,-0.0671791590428991
-6.02798,0.42549800000000004,-3.3787538709325022,-1.437653014574038,-0.0683295159018079
-5.52798,0.4367393125000001,-3.372474420602126,-1.4728921598776086,-0.0700043802223198
-5.02798,0.4554886875,-3.3586694949579408,-1.5298359600046803,-0.0727108346009829
-4.52798,0.48430712499999995,-3.313930160978285,-1.60495998871418,-0.0762813682848945
-4.02798,0.521718,-3.2152325097810905,-1.677444674537971,-0.0797264579153028
-3.52798,0.5611963750000001,-3.0824795075638867,-1.7298763256566385,-0.0822184565426159
-3.02798,0.5958363124999999,-2.955290772020493,-1.7608695559659684,-0.0836915188196753
-2.52798,0.6208317499999999,-2.8575952615649194,-1.7740858670290565,-0.0843196704861719
-2.02798,0.6354995625000002,-2.7883279857312915,-1.7719812150387424,-0.0842196394980391
-1.52798,0.6437278124999999,-2.7379991334179534,-1.7625261927820344,-0.0837702563109332
-1.02798,0.647749625,-2.715031628163514,-1.7586607190060555,-0.0835865360744323
-0.527979,0.6500668124999999,-2.7192658524837383,-1.7677044850641985,-0.084016372864268
-0.0279793,0.654284375,-2.7165653956636393,-1.7774062920484122,-0.0844774853635177
0.472021,0.6559548125,-2.6950569578111025,-1.7678355814378022,-0.0840226036805039
0.972021,0.6538036874999998,-2.6515415400032682,-1.7335876364135652,-0.082394849639428
1.47202,0.6467076875000001,-2.596705558748214,-1.6793094470164531,-0.0798150877859531
1.97202,0.6289763125,-2.5613398837510464,-1.6110221151409116,-0.076569492164492
2.47202,0.599227375,-2.5713777668613678,-1.5408399493696994,-0.0732338378977994
2.97202,0.5596949375,-2.6608895553078953,-1.4892864133524553,-0.0707835747791091
3.47202,0.5176313125,-2.8474315862408566,-1.4739197492398117,-0.0700532200209036
3.97202,0.4835205625,-3.086430254707613,-1.4923524928732432,-0.0709293009920743
4.47202,0.4615886875,-3.304424840188101,-1.5252851249248227,-0.0724945401580239
4.97202,0.4487355,-3.462464130567886,-1.5537305728624458,-0.0738465101170364
5.47202,0.4397168125,-3.5640102209738207,-1.567155214084029,-0.0744845634070356
5.97202,0.4320148125000001,-3.624083189199162,-1.5656576194662783,-0.0744133849556216
6.47202,0.4252670625,-3.664991646305773,-1.558600231511495,-0.0740779577714589
6.97202,0.4192551874999999,-3.7138285578588484,-1.5570418883679658,-0.074003892032698
