ArcLength, Average, RelBeta, ExpCorreBetas, ExpBetas
-30.2452,0.113506925,-1.1312778168388764,-0.12840786631009407,-0.0244121418840483
-29.7452,0.1261086625,-1.1029105931666048,-0.13908657976132216,-0.0264423155439776
-29.2452,0.13948774375,-1.0697446156103216,-0.1492162628201948,-0.0283681108023184
-28.7452,0.1490510625,-1.0491414254531486,-0.15637564417655633,-0.0297292099194974
-28.2452,0.15784875000000004,-1.012477042479641,-0.15981823555910826,-0.0303836949732145
-27.7452,0.16560493750000002,-0.9729440950428484,-0.161124346050565,-0.0306320049525789
-27.2452,0.173003375,-0.9458826404457082,-0.16364088915101901,-0.0311104351998135
-26.7452,0.18210743749999997,-0.9424101585459167,-0.17161989904676558,-0.0326273572332254
-26.2452,0.19461350000000005,-0.9672614236866827,-0.18824213107864826,-0.035787477391378
-25.7452,0.21371843749999997,-0.9993637673168471,-0.2135824628450701,-0.0406050309591388
-25.2452,0.23957187500000002,-1.0218981382230878,-0.24481805303311435,-0.0465433560899457
-24.7452,0.2723409375,-1.0236694582093957,-0.27878709993886386,-0.0530013497982631
-24.2452,0.30947225,-1.0117730468893593,-0.3131156813102055,-0.059527696066579
-23.7452,0.3485120625,-0.9915417488062196,-0.3455642599313125,-0.0656966273633674
-23.2452,0.3869598125,-0.9651630027368195,-0.37347929457097667,-0.0710036681693872
-22.7452,0.42382649999999994,-0.930646730615988,-0.394432746573417,-0.0749872141774557
-22.2452,0.45698775,-0.8928264887370544,-0.40801076822834687,-0.0775685871156553
-21.7452,0.48583618749999996,-0.8581071398608618,-0.41689950129653036,-0.0792584603225343
-21.2452,0.509941125,-0.8331980721414881,-0.4248819622556616,-0.0807760384516467
-20.7452,0.527729625,-0.8210000300762527,-0.43326603799712954,-0.0823699692009752
-20.2452,0.5361475625,-0.8205655116736638,-0.4399441989554001,-0.0836395815504563
-19.7452,0.53309375,-0.8284835005301606,-0.44165937611075035,-0.0839656608575571
-19.2452,0.519419,-0.8404447091254867,-0.43654295036925117,-0.0829929563439641
-18.7452,0.4994809375,-0.8511440333602089,-0.4251302197302884,-0.0808232356901689
-18.2452,0.47886500000000004,-0.8544325023965057,-0.4091578202601027,-0.077786657844126
-17.7452,0.4614045,-0.8459255105110235,-0.3903138372145835,-0.0742041515617079
-17.2452,0.4478259999999999,-0.8269881017357186,-0.3703467736478998,-0.0704081318722243
-16.7452,0.43610037499999993,-0.8048550034814803,-0.3509975688388998,-0.0667295758248859
-16.2452,0.4237090625,-0.7883659117542364,-0.33403778137634527,-0.0635052816304839
-15.7452,0.41069281249999995,-0.7831459464752929,-0.3216324113559125,-0.0611468462653826
-15.2452,0.400129375,-0.7895737407259837,-0.3159316473930999,-0.0600630508351901
-14.7452,0.3964921874999999,-0.8015234430063792,-0.3177977832501308,-0.060417829515234
-14.2452,0.4010375,-0.8107898317608229,-0.325157127154781,-0.061816944326004
-13.7452,0.40960406250000003,-0.8122977512749469,-0.3327204588818328,-0.0632548400916032
-13.2452,0.41450775,-0.8070488038979061,-0.3345279838439123,-0.0635984760159529
-12.7452,0.4086785,-0.8010042052625852,-0.32735319710040545,-0.0622344481179478
-12.2452,0.3904804375,-0.8021219629899046,-0.31321293503665676,-0.0595461853681857
-11.7452,0.36568899999999993,-0.8177707743260352,-0.2990497766925134,-0.0568535697134056
-11.2452,0.34560756249999997,-0.8481998604659777,-0.29314428628848666,-0.0557308529065564
-10.7452,0.3416310624999999,-0.880573799129447,-0.3008313626062545,-0.0571922742597442
-10.2452,0.3584005,-0.897951902332937,-0.3218264107720758,-0.0611837282836646
-9.74516,0.39255468749999994,-0.8936460340190058,-0.35080493961994513,-0.0666929543003698
-9.24516,0.43351799999999996,-0.8775437324244044,-0.3804310037931629,-0.0723252858922363
-8.74516,0.46978400000000003,-0.860907326330386,-0.4044404873927941,-0.0768898265005312
-8.24516,0.49388137499999996,-0.8486337288177882,-0.4191243928599063,-0.0796814435094879
-7.74516,0.5048735625,-0.83996087252248,-0.42407403807103283,-0.080622440697915
-7.24516,0.5069806875,-0.8317539478938442,-0.4216831883340603,-0.0801679065273879
-6.74516,0.5061706874999999,-0.8203054421906192,-0.4152145696336172,-0.0789381311090527
-6.24516,0.5068433125,-0.8021858784380064,-0.4065825478682415,-0.0772970623323653
-5.74516,0.5097514375,-0.7753305296857033,-0.3952258520449236,-0.0751379946853467
-5.24516,0.513530625,-0.7399059920636911,-0.37996438654571235,-0.0722365753889187
-4.74516,0.5168976875,-0.7006154020247073,-0.362146481133454,-0.0688491408998962
-4.24516,0.5193146250000001,-0.6671064128764412,-0.3464381166380243,-0.0658627598171149
-3.74516,0.520515375,-0.6482402035276436,-0.3374189926292677,-0.0641480974580357
-3.24516,0.5189711875000002,-0.6461927774180561,-0.33535543305057186,-0.0637557857510593
-2.74516,0.5131750625,-0.6549297433010222,-0.336093611951611,-0.0638961239451732
-2.24516,0.5032599375,-0.6662947495589889,-0.3353194540196349,-0.0637489456311093
-1.74516,0.4906874375,-0.6777429094492451,-0.3325599315214446,-0.0632243215820237
-1.24516,0.4776501875,-0.691613253937763,-0.3303492004208576,-0.0628040304982619
-0.745162,0.4654834375,-0.7099444037430881,-0.3304673614882205,-0.0628264945795096
-0.245162,0.45194956250000007,-0.7344697135995158,-0.3319432657308015,-0.0631070847396961
0.254838,0.43759643749999994,-0.7591842664065924,-0.33221633038557574,-0.0631589981721627
0.754838,0.42346756250000006,-0.7766459285110544,-0.32888435827212553,-0.0625255433977425
1.25484,0.4102733125,-0.7801906097441489,-0.32009138584112673,-0.0608538756351952
1.75484,0.395645375,-0.7701154185049439,-0.30469260354767047,-0.057926350484348
2.25484,0.3786083125,-0.7477129804005639,-0.28309034974380304,-0.0538194581261983
2.75484,0.3583251875,-0.7201005342044923,-0.25803015893767484,-0.0490551632961359
3.25484,0.3360406875,-0.6954205742920241,-0.2336896078867366,-0.0444276821077446
3.75484,0.3148925,-0.6781778914070897,-0.21355313166990703,-0.0405994546900964
4.25484,0.297548875,-0.6689226033089004,-0.1990371680766346,-0.037839765794037
4.75484,0.28481493750000003,-0.6643251487678798,-0.18920972572600192,-0.0359714307463882
5.25484,0.275616625,-0.6590794456047037,-0.1816532524044395,-0.0345348388601596
5.75484,0.26915556250000006,-0.6482624487028525,-0.1744834440282437,-0.0331717574198182
6.25484,0.2655505,-0.6332943182400853,-0.1681716228558138,-0.0319717914174551
