ArcLength, Average, RelBeta4Exp, ExpCorreBetas, ExpBetas
-30.0979,0.19241575,-4.711666361044032,-0.9065988166100581,-0.0430892973673982
-29.5979,0.14090168124999997,-4.963013140223389,-0.6992968955233173,-0.033236544464036
-29.0979,0.10687597500000001,-5.234768280608199,-0.5594709638890749,-0.026590825279899
-28.5979,0.10683874374999999,-4.793414995634018,-0.5121224364059502,-0.0243404199812714
-28.0979,0.1171083625,-4.572059164910734,-0.5354263620558135,-0.0254480210102573
-27.5979,0.1321562625,-4.44147723630196,-0.5869690315284964,-0.0278977676581985
-27.0979,0.14873281250000003,-4.307676263095517,-0.6406928059496863,-0.0304511789900041
-26.5979,0.1639129375,-4.19789295611601,-0.6880889657475338,-0.032703848181917
-26.0979,0.17719431249999998,-4.128589156518591,-0.7315625171842666,-0.0347700816152218
-25.5979,0.19110537500000002,-4.089820441701738,-0.7815866691940764,-0.0371476553799466
-25.0979,0.20891925,-4.052762594807304,-0.8467001217351959,-0.0402424012231557
-24.5979,0.23019875000000004,-4.015638546082169,-0.9243949737599327,-0.043935122326993
-24.0979,0.2569328125,-3.9056413411181774,-1.0034874143897652,-0.0476942687447607
-23.5979,0.28771450000000004,-3.7209580768173414,-1.070573592592463,-0.05088277531333
-23.0979,0.32076081250000005,-3.487883767801455,-1.1187764312655561,-0.0531737847559675
-22.5979,0.3564031875,-3.237949009539435,-1.1540153479623225,-0.054848638211137
-22.0979,0.39742406249999995,-2.9954776335986533,-1.1904748902726632,-0.0565815061916665
-21.5979,0.4411579375,-2.8032953208036218,-1.2366959819291266,-0.0587783261373159
-21.0979,0.48265081249999997,-2.670612325841072,-1.2889732089397081,-0.0612629852157656
-20.5979,0.5181262500000001,-2.579615195357325,-1.3365663476135086,-0.0635250165215546
-20.0979,0.5448678749999999,-2.518452755784466,-1.3722240013321756,-0.0652197719264342
-19.5979,0.5610115,-2.4942559875987818,-1.399306292986774,-0.066506953088725
-19.0979,0.56545025,-2.521563197218415,-1.4258185402579522,-0.0677670408867848
-18.5979,0.5579686875,-2.6042750489544066,-1.4531039309540883,-0.0690638750453464
-18.0979,0.5411022499999999,-2.727444958874001,-1.4758266039978791,-0.0701438499998992
-17.5979,0.5208873125,-2.8660860750832096,-1.4929078730437662,-0.0709556973880117
-17.0979,0.5040389999999999,-2.998953429966394,-1.5115894878868308,-0.0718436068387277
-16.5979,0.49254193749999997,-3.1185929520896445,-1.536037814896078,-0.0730055995673041
-16.0979,0.48292925,-3.219945727080017,-1.5550059750194574,-0.0739071280902784
-15.5979,0.46932675,-3.293852899090466,-1.5458932761082063,-0.0734740150241543
-15.0979,0.4491221875,-3.328622307743628,-1.4949581322151164,-0.0710531431661177
-14.5979,0.4264029375,-3.316939472656361,-1.4143527346503733,-0.067222088148782
-14.0979,0.410053,-3.258126054184005,-1.3360043628963139,-0.0634983062213077
-13.5979,0.40651081249999993,-3.164977678790312,-1.2865976477494134,-0.0611500783150862
-13.0979,0.416098875,-3.0492789041272164,-1.2688015215685675,-0.0603042548274034
-12.5979,0.43229987499999994,-2.923794863889814,-1.2639561541852085,-0.0600739617008179
-12.0979,0.4450624375,-2.808948532549243,-1.2501574807084141,-0.0594181312123771
-11.5979,0.447294125,-2.7256250515565443,-1.2191560725140644,-0.0579446802525696
-11.0979,0.43829756249999996,-2.691335618569341,-1.1796058414883719,-0.05606491642055
-10.5979,0.4238014375,-2.7152879858939247,-1.150742951648325,-0.0546931060669356
-10.0979,0.4149945,-2.7852930028038045,-1.1558812770520634,-0.0549373230538053
-9.59786,0.423215375,-2.8688046335379678,-1.2141222287845086,-0.057705429124739
-9.09786,0.45135406249999993,-2.9387492743048043,-1.3264164236264,-0.0630426056856654
-8.59786,0.49206675,-2.982987962373959,-1.4678291919344761,-0.0697637448638059
-8.09786,0.531671375,-3.007746451918161,-1.5991326917427,-0.0760044055010789
-7.59786,0.5591331249999999,-3.025344243740228,-1.691570181203235,-0.080397822300534
-7.09786,0.5728908125000001,-3.042968481352797,-1.743288685694095,-0.0828559261261452
-6.59786,0.5773235624999999,-3.0636894017304095,-1.7687400798004935,-0.0840655931464113
-6.09786,0.5778679375,-3.076915632531067,-1.7780508904322356,-0.0845081221688325
-5.59786,0.5781228749999999,-3.06689884875838,-1.7730443797783846,-0.0842701701415582
-5.09786,0.5789409375,-3.0347899115825165,-1.7569641165271241,-0.0835058990744831
-4.59786,0.5791086874999999,-3.0015038081588807,-1.738196930869141,-0.0826139225698261
-4.09786,0.5770155625,-2.984193804074358,-1.7219262664669803,-0.0818406020183926
-3.59786,0.5719376875,-2.9817726554695936,-1.7053881572200136,-0.0810545702100767
-3.09786,0.5649641249999999,-2.9826788821939143,-1.6851065648346626,-0.0800906161993661
-2.59786,0.5577173125,-2.9867478752307055,-1.6657609980887544,-0.0791711500992754
-2.09786,0.5507113125,-3.0109450156817434,-1.6581614814514263,-0.0788099563427484
-1.59786,0.5437615,-3.0640477764152916,-1.6661112149752435,-0.0791877953885572
-1.09786,0.5361021875,-3.132397588710269,-1.6792851994273008,-0.0798139353339972
-0.59786,0.5266205,-3.1978742743600184,-1.6840661493006102,-0.0800411667918541
-0.0978603,0.517566125,-3.238474815407705,-1.676124861120656,-0.0796637291407156
0.40214,0.509365,-3.257054789680452,-1.659029712945583,-0.0788512220981741
0.90214,0.5023213125,-3.2592499699172643,-1.6371907226544258,-0.0778132472744499
1.40214,0.49521112500000003,-3.2548349416290123,-1.6118304731334125,-0.0766079122211698
1.90214,0.4853586874999999,-3.26227854817978,-1.5833752344039431,-0.0752554769203395
