ArcLength, Average, RelBeta4Exp, ExpCorreBetas, ExpBetas
-20.2523,0.13019914666666665,-0.21941090187177567,-0.028567112193068924,-0.014486365209467
-19.7523,0.13010684,-0.2270739137065035,-0.02954386935878586,-0.0149816781738265
-19.2523,0.12455519333333334,-0.24166435460298594,-0.030100550409350137,-0.0152639707958165
-18.7523,0.11816977999999999,-0.2575828792249052,-0.030438512169773613,-0.015435350998871
-18.2523,0.11173008666666666,-0.2763518110399523,-0.03087681179798416,-0.0156576124736228
-17.7523,0.10636749333333334,-0.2989618567583437,-0.03179982330566408,-0.016125671047497
-17.2523,0.10551864666666667,-0.3180970317781648,-0.03356516830191561,-0.0170208764208497
-16.7523,0.10973141999999998,-0.3316427460143579,-0.036391629452854825,-0.0184541731505349
-16.2523,0.11820940666666667,-0.3406641211002728,-0.04026970362788473,-0.0204207422048097
-15.7523,0.1295341,-0.3466789400093138,-0.044906744483060465,-0.0227721828007406
-15.2523,0.14198203333333334,-0.35044709256321604,-0.049757190777880295,-0.0252318411652537
-14.7523,0.15369713333333335,-0.35287094829188503,-0.05423525318907763,-0.0275026638889846
-14.2523,0.1628092,-0.35664726329147695,-0.058065455618674724,-0.0294449572102813
-13.7523,0.16996546666666668,-0.36170602790840894,-0.061477533829599085,-0.0311752199947257
-13.2523,0.17832493333333335,-0.36434079146401516,-0.06497104734843441,-0.0329467785742568
-12.7523,0.19104300000000002,-0.3600981167019923,-0.06879422450909872,-0.0348855093859527
-12.2523,0.20797966666666665,-0.34928388846153396,-0.072643946694267,-0.0368377011634214
-11.7523,0.2255198666666667,-0.3365342832228582,-0.07589516668118124,-0.0384863928403556
-11.2523,0.238404,-0.32761275401492457,-0.07810419100817408,-0.0396065877323398
-10.7523,0.2431295333333333,-0.32612169448265915,-0.07928981538944481,-0.0402078171346069
-10.2523,0.2407474,-0.33161754964149803,-0.07983606287056158,-0.0404848188998791
-9.75233,0.2345609333333334,-0.3422886621917083,-0.08028754807310516,-0.0407137667713515
-9.25233,0.22752866666666668,-0.3572642499152896,-0.08128785843089263,-0.0412210235450774
-8.75233,0.22165453333333335,-0.3769391728217641,-0.0835502764468608,-0.0423682943442499
-8.25233,0.21874006666666668,-0.4004534502870251,-0.08759521441268056,-0.0444194799252944
-7.75233,0.2208239333333334,-0.422427823325715,-0.09328217349622282,-0.0473033334159345
-7.25233,0.22805713333333333,-0.43644885697505253,-0.09953527516834049,-0.0504742774687325
-6.75233,0.23715666666666665,-0.4411232707423835,-0.1046153244783612,-0.0530503673825361
-6.25233,0.2428422666666666,-0.44003908892556065,-0.10686008977661803,-0.0541886864992992
-5.75233,0.2414319333333333,-0.43678076919050124,-0.10545282554848313,-0.0534750636655594
-5.25233,0.23253513333333334,-0.43335836185319565,-0.10077104445464777,-0.0511009353218295
-4.75233,0.21824653333333335,-0.43134987471499214,-0.0941406148103147,-0.0477386484839324
-4.25233,0.20134913333333332,-0.43294328071151966,-0.08717275435375453,-0.0442052506864881
-3.75233,0.18402533333333335,-0.4406542638609579,-0.0810915477917674,-0.0411214745394358
-3.25233,0.16836135333333332,-0.4538537559605514,-0.07641143256893483,-0.0387481909578777
-2.75233,0.15601416000000004,-0.4681236684515665,-0.07303392090958967,-0.0370354568507047
-2.25233,0.14812044666666668,-0.4763795290113777,-0.07056154862002156,-0.0357817183671509
