ArcLength, Average, RelBeta4Exp, ExpCorreBetas, ExpBetas
-15.2645,0.18926473333333338,-2.3421494493168176,-0.4432862909517611,-0.0210687400642472
-14.7645,0.20852833333333332,-2.6678367857283716,-0.5563195585332944,-0.0264410436565254
-14.2645,0.2514562,-3.172471065543988,-0.7977375187516422,-0.0379152813094887
-13.7645,0.31862019999999996,-3.65299514378427,-1.1639180433115728,-0.0553192986364816
-13.2645,0.4036743333333333,-3.773931976194605,-1.5234394745357063,-0.0724068191319252
-12.7645,0.5249924375,-3.344508422144746,-1.7558416287810492,-0.0834525488964377
-12.2645,0.6462271875000001,-2.949334485796248,-1.9059401297528682,-0.0905865080681021
-11.7645,0.7593468125,-2.701533460295058,-2.051400821937148,-0.0975000390654538
-11.2645,0.8117614375,-2.6790911023051653,-2.1747828444007005,-0.103364203631212
-10.7645,0.7761765,-2.819564866315635,-2.1884799894598377,-0.104015208624517
-10.2645,0.69274875,-2.920594339696658,-2.0232380780819352,-0.0961615056122593
-9.76446,0.5922397499999998,-2.8692056623408377,-1.6992576441633216,-0.080763196015367
-9.26446,0.49930674999999997,-2.637109891748527,-1.3167267694418088,-0.0625820707909605
-8.76446,0.43234837500000006,-2.2964327995412614,-0.9928589891783652,-0.0471891154552455
-8.26446,0.3903063125,-2.0284929385420005,-0.7917335987746172,-0.037629923896132
-7.76446,0.3716913125000001,-1.9227834772000347,-0.7146819142937949,-0.0339677715919104
-7.26446,0.3741011249999999,-1.9591079159590223,-0.7329044753566756,-0.0348338628971804
-6.76446,0.3906321875,-2.056303007968071,-0.8032581421653975,-0.0381776683538687
-6.26446,0.40947481249999995,-2.1315275353362906,-0.8728068378704146,-0.0414832147276813
-5.76446,0.418192625,-2.1516424144220165,-0.899800989348481,-0.0427662067180837
-5.26446,0.41107162500000005,-2.144434232499661,-0.8815160646592635,-0.0418971513621323
-4.76446,0.39070649999999996,-2.189897004895648,-0.8556069941432615,-0.0406657316608014
-4.26446,0.36582368750000005,-2.358381825256055,-0.8627519358481509,-0.0410053201448741
-3.76446,0.34306306250000007,-2.6360410317943614,-0.9043283092430338,-0.0429813835191556
-3.26446,0.32426900000000003,-2.89987715934545,-0.9403402665837899,-0.0446929784497999
-2.76446,0.309492,-3.0042816649737265,-0.9298011410560485,-0.0441920694418274
-2.26446,0.2983363124999999,-2.9209539946505725,-0.8714266437461963,-0.0414176161476329
-1.76446,0.290089125,-2.761198519396556,-0.8009936624430424,-0.0380700409906389
-1.26446,0.282378,-2.6661882062313844,-0.7528728932992059,-0.0357829321910269
-0.764459,0.273828125,-2.664337927105786,-0.729570658945764,-0.0346754115468519
-0.264459,0.2627389375,-2.7022413143337713,-0.7099840117966586,-0.0337444872526929
0.235541,0.2543366875,-2.702415188083424,-0.6873233271868275,-0.0326674585164842
0.735541,0.25546599999999997,-2.6881477754075327,-0.6867303595922607,-0.03263927564602
1.23554,0.26718831249999997,-2.76258919444189,-0.7381315449936628,-0.0350822977658585
1.73554,0.2854664375,-2.944307092101997,-0.8405008564883415,-0.0399477593387995
2.23554,0.30084268749999993,-3.176734687921044,-0.9556974009886404,-0.0454228802751255
2.73554,0.3057650625,-3.3965618682535244,-1.0385499519316557,-0.0493607391602498
3.23554,0.3025511875,-3.540545039865544,-1.071196106208555,-0.0509123624623838
3.73554,0.29923431249999993,-3.5612077462824687,-1.0656355516285088,-0.0506480775488835
4.23554,0.30157187499999993,-3.459537003489259,-1.0432990607741373,-0.0495864572611282
4.73554,0.30847631249999996,-3.2835955157582077,-1.0129114364426275,-0.0481421785381477
5.23554,0.3128871875,-3.0948195069339923,-0.9683293713447136,-0.0460232590943305
5.73554,0.3095083125,-2.9253177857914885,-0.90541017140656,-0.0430328028235057
6.23554,0.29830087499999997,-2.796916732750157,-0.8343227086815129,-0.0396541211350529
6.73554,0.28240243749999994,-2.761845490117472,-0.7799518984075561,-0.0370699571486481
7.23554,0.265231,-2.8876064513577666,-0.7658827467000717,-0.036401271230992
7.73554,0.24806937500000004,-3.1879438316575794,-0.790831233854401,-0.0375870358295818
8.23554,0.229944375,-3.5737126124751732,-0.821755113105221,-0.0390568019536702
8.73554,0.2104268,-3.8750456075847186,-0.815413447058108,-0.0387553919704424
9.23554,0.18509553333333334,-4.058280926417733,-0.7511696724917843,-0.0357019806317388
9.73554,0.15957467333333333,-4.033642085772653,-0.6436671181807565,-0.0305925436397698
10.2355,0.1373637666666667,-3.837537733493849,-0.527138637798178,-0.0250541177660731
10.7355,0.12036009333333335,-3.5668221022317668,-0.4293030411280117,-0.020404136935742
11.2355,0.10810734000000001,-3.321681305801928,-0.35909813029797305,-0.0170674016301318
11.7355,0.09992118124999999,-3.1153087810084044,-0.3112853333568573,-0.0147949302926263
12.2355,0.09185059375,-3.0086186487569324,-0.27634340925564693,-0.0131341924551163
