ArcLength, Average, RelBeta, ExpCorreBetas, ExpBetas
-20.1154,0.19057093750000004,-0.8592811932027857,-0.16375402256477353,-0.031131943453379
-19.6154,0.1950415,-0.7410825701352015,-0.14454185610302492,-0.027479440323769
-19.1154,0.1979983125,-0.6841777579314806,-0.13546604152046665,-0.0257540002890621
-18.6154,0.2007529375,-0.6831077052015055,-0.13713587844808628,-0.026071459781005
-18.1154,0.202142875,-0.7236320425068323,-0.1462770615144533,-0.0278093272841166
-17.6154,0.2034291875,-0.771478939006168,-0.15694133373538682,-0.0298367554630013
-17.1154,0.19671500000000003,-0.8331398435195877,-0.16389110431795573,-0.0311580046231855
-16.6154,0.19997693333333333,-0.8223646251395306,-0.16445395581721955,-0.0312650106116387
-16.1154,0.20296513333333335,-0.7802793954245166,-0.15836951152958975,-0.0301082721539144
-15.6154,0.20350626666666666,-0.7240587797920981,-0.14735049912271198,-0.0280134028750403
-15.1154,0.20122373333333335,-0.6690629940226731,-0.13463135349241998,-0.0255953143521711
-14.6154,0.1953302666666667,-0.6342495085738832,-0.1238881256429389,-0.0235528755975169
-14.1154,0.189383375,-0.6209310249169964,-0.11759401314098986,-0.0223562762625456
-13.6154,0.1847361875,-0.6283850018743364,-0.11608544952844527,-0.0220694770966626
-13.1154,0.18852156249999996,-0.6271361509389456,-0.11822868707524584,-0.0224769367063205
-12.6154,0.1997779375,-0.614113286104586,-0.12268628568932162,-0.0233243889143197
-12.1154,0.21616037500000002,-0.5950617697846802,-0.12862877530482014,-0.0244541397917909
-11.6154,0.2334885625,-0.5814070484138619,-0.1357518959615205,-0.0258083452398328
-11.1154,0.2502958125,-0.5752123075563478,-0.14397323187981595,-0.0273713368592806
-10.6154,0.2664345625,-0.5753767309393311,-0.1533002475805009,-0.0291445337605515
-10.1154,0.28142243749999996,-0.5820509137809621,-0.16380218690534065,-0.031141100172118
-9.61538,0.2950405,-0.5943586785130835,-0.17535988168783942,-0.0333383805490189
-9.11538,0.3054109374999999,-0.6130696622904609,-0.187238180312938,-0.0355966122267943
-8.61538,0.31145925,-0.6362150901423653,-0.19815507481442352,-0.0376720674552136
-8.11538,0.31169375000000005,-0.6641899269396744,-0.20702384904005317,-0.0393581462053333
-7.61538,0.30465737499999995,-0.700679314932671,-0.2134671208041858,-0.040583102814484
-7.11538,0.2905108125,-0.7500383886932703,-0.21789426170547277,-0.0414247645827895
-6.61538,0.271952375,-0.8137595336444018,-0.2213038378534875,-0.0420729729759482
-6.11538,0.2526498125,-0.8890910957792719,-0.2246286986440526,-0.0427050757878427
-5.61538,0.2375580625,-0.9602806593910569,-0.2281224129011619,-0.0433692800192323
-5.11538,0.2297284375,-1.007508283569933,-0.23145330375282763,-0.0440025292305756
-4.61538,0.2294058125,-1.0224531185759613,-0.23455668841007724,-0.0445925263137029
-4.11538,0.2338349375,-1.0202484529816476,-0.23856973323743527,-0.0453554625926683
-3.61538,0.24110900000000002,-1.0206778989274883,-0.24609462753250777,-0.0467860508616935
-3.11538,0.24966656249999997,-1.044468550750857,-0.26076887270532323,-0.0495758313127991
-2.61538,0.25826049999999995,-1.1062296779027605,-0.28569542973000583,-0.0543147204809897
-2.11538,0.2687354375,-1.1923053835262851,-0.3204147088755415,-0.0609153438926885
-1.61538,0.28195775,-1.2737214394009702,-0.35913563118025893,-0.0682767359658287
-1.11538,0.29859531249999993,-1.318151723302147,-0.393593925741818,-0.0748277425364673
-0.615376,0.319525875,-1.308306302005635,-0.41803771591636474,-0.0794748509346701
-0.115376,0.34405275,-1.252910102179462,-0.4310671661576249,-0.0819519327295865
0.384624,0.37132462499999996,-1.1702733108945127,-0.43455129831541334,-0.08261431526909
0.884624,0.39773593749999997,-1.0870676868857767,-0.4323658855694708,-0.0821988375607359
1.38462,0.42089943750000003,-1.0186080171568281,-0.4287315414542993,-0.0815078976148858
1.88462,0.43869168750000004,-0.9728854947243281,-0.42679677942488786,-0.0811400721340091
2.38462,0.45102137500000006,-0.9478618065177881,-0.4275059352856368,-0.0812748926398549
2.88462,0.462291625,-0.9280409236416055,-0.4290255466567787,-0.081563792140072
3.38462,0.4775455625000001,-0.8989516633957662,-0.42929037775664186,-0.0816141402579167
3.88462,0.5007112499999999,-0.8556673167057075,-0.4284422517318606,-0.0814528995687948
4.38462,0.5297771874999999,-0.8070497388492172,-0.42755654082014766,-0.0812845134639064
4.88462,0.558094375,-0.7644585662902298,-0.4266400257671419,-0.081110271058392
5.38462,0.5779133750000001,-0.7348631673257107,-0.4246872531923912,-0.080739021519466
5.88462,0.5897022499999999,-0.7139799286391223,-0.4210355703733298,-0.0800447852420779
6.38462,0.5892058124999999,-0.7064833686653198,-0.41626410725218677,-0.0791376629757009
6.88462,0.5777289999999999,-0.7120306989457996,-0.41136078367125783,-0.0782054721808475
7.38462,0.5575044375,-0.7281946927356842,-0.40597177256409295,-0.0771809453543903
7.88462,0.528394625,-0.7532108549307786,-0.39799256723707815,-0.0756639861667449
8.38462,0.49693568749999995,-0.7745651977302366,-0.38490908904764853,-0.0731766328987925
8.88462,0.46730475,-0.7821387087655824,-0.3654971337650233,-0.0694861471036166
9.38462,0.4437861875,-0.768002859200918,-0.3408290608738747,-0.0647963994056796
9.88462,0.42901125,-0.7329940445759041,-0.31446269130606436,-0.0597837816171225
10.3846,0.42276725,-0.6904014180068477,-0.2918791088868555,-0.0554903248834326
10.8846,0.423163375,-0.6585382839137522,-0.27866928278765163,-0.052978951100314
11.3846,0.427360375,-0.6489964833444183,-0.27735538049575187,-0.0527291597900669
11.8846,0.43231893750000006,-0.6589618598091306,-0.2848816910857073,-0.0541600173166744
12.3846,0.435772,-0.6744985328772748,-0.2939275746689958,-0.0558797670473376
12.8846,0.43547968750000005,-0.6843879210753455,-0.29803703799866615,-0.0566610338400506
13.3846,0.4302290625,-0.6885742017997029,-0.296244633301972,-0.0563202724908692
13.8846,0.4198715625000001,-0.6968791669719924,-0.29259974471022887,-0.0556273278916785
14.3846,0.40491831250000004,-0.7191344456814811,-0.29119070620596826,-0.0553594498490434
14.8846,0.3866595625,-0.7553176034959439,-0.29205077411629016,-0.0555229608586103
15.3846,0.36625256250000005,-0.7957881435754051,-0.29145944679161007,-0.055410541215135
15.8846,0.34607600000000005,-0.8246549148091209,-0.28539327429748135,-0.0542572764824109
16.3846,0.32981168749999995,-0.8268453131085128,-0.27270324801778445,-0.0518447239577537
16.8846,0.32099625000000004,-0.7963689131644719,-0.25563143474237116,-0.0485991320802987
17.3846,0.32154762499999995,-0.7402627570841996,-0.2380297314163763,-0.0452528006495012
17.8846,0.33017006250000003,-0.6759199577408873,-0.22316853469230613,-0.0424274780783852
18.3846,0.3434355625,-0.6181447072941242,-0.2122928752559554,-0.0403598622159611
18.8846,0.3574173125000001,-0.5725900365409242,-0.204653592024734,-0.0389075270009
19.3846,0.36900068750000004,-0.5388371664281497,-0.1988312848625392,-0.0378006244985816
