ArcLength, AverageFA, Beta, RelBeta, HighExposureBeta
-10.6204,0.10727871249999998,-0.0282338413091247,-0.33231406398052077,-0.5074851846380696
-10.1204,0.11034112499999998,-0.0313459064121255,-0.3574706657940234,-0.5459024654575179
-9.62041,0.11502672500000001,-0.0341354009644796,-0.3711269170479707,-0.5667572710172354
-9.12041,0.123322975,-0.0364219070859234,-0.3712886512769896,-0.5670042594356395
-8.62041,0.1350540125,-0.0381182764346432,-0.35944319274881376,-0.5489147610969646
-8.12041,0.14835068749999997,-0.0393041470617999,-0.340117951159397,-0.5194026974824818
-7.62041,0.16414528750000001,-0.0402125232309936,-0.3186350861872211,-0.48659567280717797
-7.12041,0.18154356249999998,-0.0411018528682172,-0.2986663164021371,-0.4561008610619475
-6.62041,0.19840281249999997,-0.0420844991058474,-0.2811752028954853,-0.42938974068044927
-6.12041,0.21567575000000003,-0.0430600814295237,-0.265304658239366,-0.40515343184463193
-5.62041,0.233524375,-0.0438039718106285,-0.25011879412829124,-0.3819627159297343
-5.12041,0.24860918749999994,-0.0441066762503884,-0.23556339081081562,-0.3597347925864608
-4.62041,0.25816593749999994,-0.0438536106138881,-0.2221974736533335,-0.3393233635446868
-4.12041,0.26149424999999993,-0.0430409726266328,-0.21052376670552622,-0.3214961513741963
-3.62041,0.25881481250000005,-0.041787909611134,-0.2007517094194008,-0.3065729963420522
-3.12041,0.252660375,-0.0403624599510216,-0.19307911438527467,-0.2948559830417218
-2.62041,0.24616274999999996,-0.0391623929262512,-0.18804593903881817,-0.28716969408537474
-2.12041,0.2417255625,-0.038596415881503,-0.18649105513032715,-0.28479519167058204
-1.62041,0.240581875,-0.038908391713911,-0.18907109871188477,-0.28873524126606886
-1.12041,0.24204299999999998,-0.0400633955395228,-0.1958157473278839,-0.2990351641980392
-0.620412,0.24443981250000002,-0.0417711912189315,-0.20614920460015973,-0.3148156473017513
-0.120412,0.24535262499999996,-0.0436090519498481,-0.2192063687234474,-0.3347555718014397
0.379588,0.24201775,-0.0451527771590058,-0.23397881439179746,-0.3573149459903032
0.879588,0.23411125000000002,-0.0460705698457411,-0.24919536605565124,-0.3805525256406733
1.37959,0.22368256250000004,-0.0461875368934472,-0.26327302496309135,-0.40205087345159474
1.87959,0.2120879375,-0.0455164994565306,-0.27465864080265096,-0.41943813442799366
2.37959,0.20208399999999999,-0.0442206435839282,-0.2824631001743646,-0.43135652108251266
2.87959,0.19389075,-0.0425063613752055,-0.2868578819244222,-0.4380679030840963
3.37959,0.18631331250000002,-0.040517212438379,-0.2888014978980697,-0.44103604803540297
3.87959,0.17673706250000001,-0.0383113612588142,-0.2893319009419267,-0.44184603989497157
4.37959,0.16507325000000003,-0.0359234536138857,-0.289054514022323,-0.44142243533720754
4.87959,0.15267180625000001,-0.0334287523713652,-0.2880687049620702,-0.439916981469358
5.37959,0.1411507625,-0.0309412124173203,-0.2860942144699703,-0.4369016872625856
5.87959,0.1314566875,-0.0285632104398282,-0.28258228532657126,-0.4315385317330677
6.37959,0.12359507499999998,-0.0263529772792703,-0.2768545094845211,-0.4227915008492389
6.87959,0.11705464999999998,-0.02434245023421,-0.26838210873765433,-0.4098530840821307
7.37959,0.11196463124999999,-0.0225827693824183,-0.25719575384131454,-0.3927701195154288
7.87959,0.10891611875000003,-0.021176310870977,-0.2442617399647782,-0.3730182608621334
8.37959,0.10836405625,-0.0202688796060256,-0.23149155874168895,-0.35351659518408696
8.87959,0.11097028749999999,-0.0199992068826863,-0.22106905764057383,-0.3376001310045874
9.37959,0.11633395625000001,-0.020432717399069,-0.21437338804031536,-0.3273750051623003
9.87959,0.12367135625,-0.0215265238151135,-0.21139880439160236,-0.322832443484029
10.3796,0.13219603750000003,-0.0231456251558855,-0.21108683065618955,-0.32235602052792
10.8796,0.14167562499999997,-0.0251094002566729,-0.2120734994575783,-0.32386278732813206
11.3796,0.15128875,-0.0272435849107489,-0.213274293968386,-0.3256965508972398
