ArcLength, Average, RelBeta4Exp, ExpCorreBetas, ExpBetas
-26.8123,0.16561025,-4.279124396385,-0.7086668610664189,-0.0336818850316739
-26.3123,0.165370125,-4.135494802175548,-0.6838872923726207,-0.0325041488770257
-25.8123,0.152049875,-4.291157128588851,-0.6524699050072937,-0.0310109270440729
-25.3123,0.142901,-4.398198875775411,-0.6285070175471821,-0.0298720065374136
-24.8123,0.14075883125,-4.429228902348684,-0.6234530836333211,-0.0296318005529145
-24.3123,0.14566216875,-4.383507273395103,-0.6385111761741298,-0.0303474893618883
-23.8123,0.15597793750000002,-4.268251789670525,-0.6657531108834924,-0.031642258121839
-23.3123,0.168061,-4.137414978258674,-0.6953380986611309,-0.0330483887196355
-22.8123,0.1803546875,-3.9990028030907467,-0.7212389008630556,-0.0342794154402593
-22.3123,0.194267875,-3.8294182770748253,-0.7439329511734876,-0.0353580299987399
-21.8123,0.2124401875,-3.6281080814291906,-0.7707559610890825,-0.0366328878844621
-21.3123,0.233547,-3.4755753280239783,-0.8117101911340161,-0.0385793817078905
-20.8123,0.25476468750000003,-3.415952941995872,-0.870264183782284,-0.0413623661493481
-20.3123,0.2724405,-3.438619089462286,-0.9368191040426499,-0.0445256228157153
-19.8123,0.2835711249999999,-3.5012720839036535,-0.9928596637636532,-0.0471891475172839
-19.3123,0.28694787499999996,-3.566047887775227,-1.0232698635453397,-0.0486344992179344
-18.8123,0.28447606249999996,-3.6062638788625256,-1.0258957485947882,-0.0487593036404367
-18.3123,0.2791520625,-3.6171918827229854,-1.0097465745203795,-0.0479917573441245
-17.8123,0.27372199999999997,-3.6036865964621376,-0.9864083025568091,-0.0468825238857799
-17.3123,0.270430625,-3.573505069242537,-0.9663852093159274,-0.0459308559560802
-16.8123,0.270982375,-3.548630326947915,-0.9616162739933726,-0.0457041955320044
-16.3123,0.27651099999999995,-3.562064799967564,-0.984950099903831,-0.0468132176760376
-15.8123,0.28626762499999997,-3.6424464232597122,-1.0427144867763025,-0.0495586733258699
-15.3123,0.29825962500000003,-3.7788863683234677,-1.1270892311337695,-0.0535688798067381
-14.8123,0.30927993750000005,-3.932898239183874,-1.2163665216086488,-0.0578120970346316
-14.3123,0.316779125,-4.056106400164169,-1.2848898363509054,-0.0610689085718111
-13.8123,0.319585,-4.118565856497507,-1.3162318692487558,-0.0625585489186671
-13.3123,0.3177879375,-4.1203449025338195,-1.309395908364861,-0.0622336458348318
-12.8123,0.31242337499999995,-4.0803855318690605,-1.2748078191677017,-0.0605897252456132
-12.3123,0.30574518749999996,-4.011085220413563,-1.2263700027938236,-0.0582875476613034
-11.8123,0.30043937499999995,-3.9152684931624826,-1.1763008190429278,-0.0559078336047019
-11.3123,0.29830431250000006,-3.804171337989729,-1.1348007156112314,-0.0539353952286707
-10.8123,0.30077693750000006,-3.6944284018029436,-1.111198860507309,-0.0528136340545299
-10.3123,0.3085534375000001,-3.6017590888463795,-1.1113351479104185,-0.0528201115927005
-9.81229,0.3215726875,-3.5241672143911913,-1.1332759223311641,-0.0538629240651694
-9.31229,0.33801425,-3.4553499930235345,-1.1679575363793553,-0.0555112897518705
-8.81229,0.3551133125,-3.3965511740758614,-1.2061605385018432,-0.0573270217919127
-8.31229,0.36950225000000003,-3.3729482348093036,-1.246311961895566,-0.0592353594056828
-7.81229,0.38018124999999997,-3.4068738893720343,-1.2952295738538215,-0.0615603409626341
-7.31229,0.389059625,-3.4975240191257724,-1.360745383309566,-0.0646742102333444
-6.81229,0.3984638125,-3.6210673195550607,-1.4428642894690653,-0.0685772000698225
-6.31229,0.41092131249999997,-3.724980909863107,-1.530674044518392,-0.0727506675151327
-5.81229,0.42633718749999994,-3.7721344286856953,-1.6082011831977785,-0.0764354174523659
-5.31229,0.44295856250000004,-3.7567289559548174,-1.6640752580318718,-0.0790910293741384
-4.81229,0.4589045,-3.6951810205905726,-1.6957351986636064,-0.0805957794041638
-4.31229,0.47320043749999996,-3.6068632133669003,-1.7067692505678729,-0.0811202115288913
-3.81229,0.48624518749999995,-3.502200433333533,-1.7029281063688448,-0.0809376476411048
-3.31229,0.49841925000000004,-3.391286885675756,-1.690282666093346,-0.0803366286166039
-2.81229,0.5089993125,-3.2914588508902645,-1.6753502922251846,-0.0796269150297141
-2.31229,0.5159345000000001,-3.2243799136698312,-1.6635688385692877,-0.079066960008046
-1.81229,0.5181759375,-3.192483109143077,-1.6542679280331287,-0.0786249015224871
-1.31229,0.516201875,-3.1762185778500758,-1.6395699852960426,-0.0779263300996218
-0.812289,0.5092848750000001,-3.1678411418097263,-1.613333579926424,-0.0766793526581
-0.312289,0.49654556250000004,-3.182211004129077,-1.5801127530389625,-0.0751004160189621
0.187711,0.47837931250000004,-3.2472721147127315,-1.5534278017366978,-0.0738321198544058
0.687711,0.45873824999999996,-3.368180361563754,-1.5451131647481238,-0.0734369374880287
1.18771,0.44025174999999994,-3.5326822666375506,-1.555269550081148,-0.0739196554221078
1.68771,0.428225375,-3.6780846870485413,-1.5750491943931193,-0.0748597525852243
2.18771,0.4217382500000001,-3.7827728938092866,-1.5953400203825647,-0.0758241454554451
2.68771,0.41948137500000005,-3.834974860347399,-1.60870052750896,-0.0764591505470038
3.18771,0.42098437499999997,-3.8218002988027813,-1.608918210166302,-0.0764694966809079
3.68771,0.424465375,-3.7522798462451323,-1.5927128720413823,-0.07569928099056
4.18771,0.42893518750000004,-3.641515833840159,-1.5619742769724476,-0.0742383211488806
4.68771,0.43413368750000003,-3.509363729570504,-1.5235330166971959,-0.0724112650521481
5.18771,0.4398434375,-3.374810091373325,-1.4843880714993323,-0.070550763854531
5.68771,0.44521025,-3.249217732942705,-1.4465850391878547,-0.068754041786495
6.18771,0.449710375,-3.1313413552855374,-1.4081966951384672,-0.0669295007195089
6.68771,0.4538874375,-3.012141246979713,-1.3671730719796764,-0.0649797087442812
7.18771,0.45620775,-2.8995661568907725,-1.3228045524112864,-0.0628709388028178
7.68771,0.4550246875,-2.806880976038003,-1.2772001389713874,-0.0607034286583359
8.18771,0.45010474999999994,-2.7493240479599996,-1.2374838132760235,-0.0588157705929669
8.68771,0.44358349999999996,-2.738905684280639,-1.2149333696031008,-0.0577439814450143
9.18771,0.440062625,-2.7689375011435455,-1.2185059052141691,-0.057913778764932
9.68771,0.4432294375,-2.8095180837097034,-1.2452611198887298,-0.0591854144433807
10.1877,0.45362899999999995,-2.813520635114065,-1.276294552186158,-0.0606603874613193
10.6877,0.4678819375,-2.7492837703544235,-1.2863402172107328,-0.0611378430233238
11.1877,0.48116525,-2.6219961751192487,-1.261613445100297,-0.0599626162119913
11.6877,0.487571375,-2.4791623704887473,-1.2087686058274578,-0.0574509793644229
12.1877,0.48464112500000006,-2.3671759786023108,-1.1472308293428,-0.0545261801018441
12.6877,0.4723506250000001,-2.3165523564633377,-1.0942249534206805,-0.052006889421135
13.1877,0.45154875,-2.338891070276847,-1.0561233391696723,-0.0501959761962772
13.6877,0.4263191875,-2.4181579671856035,-1.030907139817218,-0.0489974876338982
14.1877,0.40008281250000005,-2.5372864455628648,-1.0151246972589192,-0.0482473715427243
14.6877,0.3771934375000001,-2.668976320225579,-1.0067203528319872,-0.0478479255148283
15.1877,0.3605829375,-2.7801738720115123,-1.00248326153066,-0.0476465428484154
15.6877,0.35009962499999997,-2.845637754934296,-0.9962567108883389,-0.0473506041296739
16.1877,0.34403868750000005,-2.8570813761764016,-0.9829465267404232,-0.0467179908146589
16.6877,0.33956262500000006,-2.8396069288206744,-0.9642243827185366,-0.0458281550721738
17.1877,0.3349818750000001,-2.8300347561214707,-0.9480103489207382,-0.0450575260893887
17.6877,0.33078187500000006,-2.845248809964432,-0.9411567362015537,-0.0447317840399978
18.1877,0.3281365,-2.8735639287245167,-0.9429212100979123,-0.0448156468677715
18.6877,0.32741462499999996,-2.888808973538613,-0.9458383067677798,-0.0449542921467576
19.1877,0.32731537499999996,-2.876711816398342,-0.9415920069513544,-0.0447524718132773
19.6877,0.32558987500000003,-2.8388029749428196,-0.9242855057612609,-0.0439299194753451
20.1877,0.31974081249999997,-2.7837425794389783,-0.8900761141406647,-0.0423039978203738
20.6877,0.30846318749999996,-2.716686798958606,-0.8379978694459432,-0.0398287960763281
21.1877,0.2926975625,-2.6368516088333753,-0.7718000385797325,-0.0366825113393409
21.6877,0.2750379375,-2.5405855658212806,-0.6987574140657555,-0.0332109037103496
22.1877,0.2578500625,-2.4226598749807025,-0.6246830001800162,-0.0296902566625483
22.6877,0.24245775,-2.2683174526860683,-0.5499711458639955,-0.0261393130163496
23.1877,0.22795681249999997,-2.0801678987639782,-0.4741884436670591,-0.0225374735583203
23.6877,0.21347112499999998,-1.905627883375698,-0.40679652809557904,-0.0193344357459876
24.1877,0.20271181249999995,-1.8209669955755987,-0.369131520175809,-0.0175442737726145
24.6877,0.1944536875,-1.9660472605174253,-0.3823051396068865,-0.0181703963691486
25.1877,0.189001375,-2.360709480341999,-0.44617733776017326,-0.0212061472319474
25.6877,0.18230793750000002,-2.870757900566833,-0.5233619519141695,-0.0248746174864149
26.1877,0.17582181249999998,-3.23363213917945,-0.568543063668783,-0.0270220087295049
26.6877,0.17173762499999998,-3.3399791719780194,-0.5736000905449715,-0.0272623617179169
27.1877,0.16737912500000002,-3.3312759699697034,-0.5575860569870553,-0.0265012384499551
