ArcLength, Average, RelBeta4Exp, ExpCorreBetas, ExpBetas
-25.5673,0.2120693125,-3.227708335520729,-0.6844978876644003,-0.0325331695657985
-25.0673,0.22666512499999997,-3.5062986606991418,-0.7947556242147035,-0.0377735562839688
-24.5673,0.294155875,-3.1911070588768005,-0.9386828891225818,-0.0446142057567767
-24.0673,0.3696466875,-2.9625470771677707,-1.0950957136378734,-0.0520482753630168
-23.5673,0.41588418749999995,-2.98385905597431,-1.2409397991083928,-0.0589800284747335
-23.0673,0.44736331249999994,-3.042690730726553,-1.361188204210876,-0.0646952568541291
-22.5673,0.46916431250000007,-3.08822002147628,-1.4488826232246543,-0.0688632425487003
-22.0673,0.4828211875,-3.1070300688425347,-1.5001399474367594,-0.0712994271595418
-21.5673,0.48416368749999994,-3.128546948916453,-1.5147288273042638,-0.0719928149859441
-21.0673,0.47489312499999997,-3.1575400662441853,-1.499494069371408,-0.0712687295328616
-20.5673,0.46327343749999994,-3.1643639801316854,-1.4659657785767874,-0.0696751795901515
-20.0673,0.452528875,-3.1466089275877245,-1.4239313980662294,-0.067677347816836
-19.5673,0.4434176875,-3.1124226428415596,-1.3801032508114428,-0.0655942609701256
-19.0673,0.436638125,-3.073175168810937,-1.341865443506166,-0.0637768746913577
-18.5673,0.431880375,-3.0497725291988926,-1.3171369035751161,-0.0626015638581329
-18.0673,0.4282948750000001,-3.0537531838140897,-1.3079068381425079,-0.0621628725352903
-17.5673,0.4253703750000001,-3.0683023379646435,-1.3051649161133974,-0.0620325530472147
-17.0673,0.4225001875,-3.0602969873045125,-1.2929760509418418,-0.0614532343603537
-16.5673,0.41826706250000006,-3.0151976605547643,-1.2611578683371136,-0.0599409633240073
-16.0673,0.4119915624999999,-2.951804229336728,-1.2161184366385467,-0.0578003059238853
-15.5673,0.40321375000000004,-2.921208620301903,-1.1778714823242566,-0.055982484901343
-15.0673,0.392717125,-2.9656467863799727,-1.164660279712632,-0.0553545760319692
-14.5673,0.3808475,-3.0981006926838086,-1.1799039035568968,-0.0560790828686738
-14.0673,0.3663413125,-3.3103685144141854,-1.212724746429168,-0.0576390088607019
-13.5673,0.34821312500000007,-3.588688360866236,-1.24962838878836,-0.0593929842580019
-13.0673,0.3274576875,-3.9261720527452906,-1.2856552211191008,-0.0611052861748622
-12.5673,0.3084905625,-4.299227834716347,-1.3262712130473029,-0.0630357040421722
-12.0673,0.2959785625,-4.665554093688235,-1.380903993915834,-0.0656323191024636
-11.5673,0.291834125,-4.980169568197785,-1.4533834282866283,-0.0690771591390983
-11.0673,0.29579774999999997,-5.1895577978471,-1.535059520098127,-0.0729591026662608
-10.5673,0.30666375,-5.240159356756345,-1.6069669189404885,-0.0763767547024947
-10.0673,0.3236951874999999,-5.101608721617757,-1.6513661916956948,-0.0784869862973239
-9.56728,0.34595024999999996,-4.806831328795892,-1.6629244999047708,-0.0790363355468047
-9.06728,0.37117756249999995,-4.443206993173884,-1.649218741409236,-0.0783849211696405
-8.56728,0.39578175,-4.095822025400106,-1.6210516089013984,-0.0770461791302946
-8.06728,0.41654737500000005,-3.7998370697405957,-1.5828121568281373,-0.0752287146781434
-7.56728,0.43120275,-3.551227804210965,-1.5312991950522297,-0.0727803799929767
-7.06728,0.4388158749999999,-3.331895716881843,-1.462088734412258,-0.0694909094302404
-6.56728,0.44020168750000005,-3.128848189960003,-1.377324253151714,-0.0654621793323058
-6.06728,0.43691293750000004,-2.951291315265073,-1.2894573579707018,-0.0612859961012691
-5.56728,0.4308914375000001,-2.825205343898009,-1.2173567918648953,-0.0578591631114494
-5.06728,0.4237675,-2.7725896987524616,-1.1749334051660838,-0.0558428424508595
-4.56728,0.4164809375000001,-2.7831248767433223,-1.159118457845631,-0.0550911814565414
-4.06728,0.41005506249999996,-2.800295114919995,-1.148275188366963,-0.0545758169375933
-3.56728,0.4050595,-2.755091414102664,-1.115975950650718,-0.0530406820651482
-3.06728,0.39819843750000006,-2.6354085181199576,-1.0494155540895578,-0.049877165118325
-2.56728,0.3829834375,-2.4930015751591696,-0.9547783129473735,-0.0453791973834303
