Arc_length vs Data,RAh13_18months_up_DTI_manualBM_centered,RBf13_18months_up_DTI_manualBM_centered,RHm13_18months_up_DTI_manualBM_centered,RJe13_18months_up_DTI_manualBM_centered,RMe14_18months_up_DTI_manualBM_centered,RNc14_18months_up_DTI_manualBM_centered,RNe14_18months_up_DTI_manualBM_centered,RNn13_18months_up_DTI_manualBM_centered,RSb14_18months_up_DTI_manualBM_centered,RTm13_18months_up_DTI_manualBM_centered,RUf14_18months_up_DTI_manualBM_centered,RVm14_18months_up_DTI_manualBM_centered,RYh13_18months_up_DTI_manualBM_centered,RZh13_18months_up_DTI_manualBM_centered,RZk13_18months_up_DTI_manualBM_centered,Atlas
-15.728,0.374133,0.193271,0.201111,0.176569,0.155738,0.162155,0.162769,0.267815,0.140781,0.186153,0.182725,0.187941,0.238185,0.335863,0.2229,0.280685
-15.228,0.392307,0.197642,0.207611,0.187518,0.168102,0.172375,0.1703,0.280863,0.150577,0.194366,0.188047,0.198121,0.240133,0.357547,0.231709,0.286295
-14.728,0.40229,0.198975,0.21113,0.196557,0.177284,0.178618,0.17628,0.290307,0.157265,0.200369,0.189003,0.205076,0.241397,0.370545,0.236616,0.290828
-14.228,0.407473,0.197667,0.21296,0.205107,0.185628,0.183093,0.182288,0.299595,0.163849,0.205587,0.188004,0.210568,0.240162,0.379587,0.238754,0.294319
-13.728,0.406674,0.193497,0.213709,0.212109,0.194509,0.185945,0.189093,0.309812,0.171007,0.210405,0.187541,0.21492,0.237691,0.38569,0.237819,0.295076
-13.228,0.397746,0.188873,0.213844,0.216469,0.206152,0.187055,0.197296,0.322017,0.179246,0.214731,0.1907,0.218852,0.236661,0.389377,0.233092,0.289099
-12.728,0.385305,0.188493,0.215269,0.217956,0.221503,0.187578,0.206497,0.335551,0.188399,0.21862,0.202218,0.223817,0.239551,0.394352,0.227508,0.273997
-12.228,0.378106,0.195841,0.220401,0.219309,0.240169,0.190237,0.216486,0.349377,0.19721,0.224821,0.222358,0.231351,0.248888,0.403912,0.227391,0.255448
-11.728,0.380251,0.209607,0.228298,0.222875,0.255738,0.195595,0.22577,0.361075,0.203264,0.233824,0.244666,0.239427,0.261816,0.415027,0.235236,0.245578
-11.228,0.383686,0.222825,0.234155,0.225974,0.260586,0.200817,0.232149,0.365159,0.203628,0.241063,0.260786,0.243894,0.271575,0.417689,0.245801,0.250411
-10.728,0.377869,0.228103,0.232972,0.222797,0.253173,0.201742,0.233237,0.358122,0.197595,0.241366,0.265194,0.241385,0.273134,0.407164,0.250012,0.261991
-10.228,0.359049,0.222235,0.222399,0.210389,0.239341,0.195411,0.228424,0.340997,0.187431,0.231628,0.259009,0.23151,0.26544,0.387285,0.243268,0.266045
-9.72801,0.334435,0.206137,0.204568,0.191331,0.22858,0.182286,0.21829,0.31908,0.17714,0.214756,0.246992,0.217457,0.252809,0.367533,0.229609,0.252141
-9.22801,0.320324,0.186526,0.186013,0.173746,0.22713,0.166435,0.20554,0.30084,0.171518,0.197324,0.235786,0.204083,0.244297,0.359813,0.218073,0.224467
-8.72801,0.322496,0.171811,0.172612,0.163958,0.23336,0.151774,0.194622,0.291478,0.173078,0.182479,0.228549,0.193507,0.24697,0.364133,0.212875,0.195982
-8.22801,0.337335,0.16741,0.167703,0.164289,0.241916,0.141981,0.190402,0.293573,0.181041,0.172197,0.226979,0.187784,0.262408,0.376412,0.211716,0.174922
-7.72801,0.354636,0.174392,0.17077,0.172681,0.248296,0.138675,0.196159,0.305646,0.19096,0.166984,0.232853,0.187848,0.286631,0.393212,0.210151,0.162578
-7.22801,0.366724,0.188151,0.177557,0.184836,0.250268,0.140531,0.209237,0.322668,0.199105,0.165281,0.244987,0.192802,0.312496,0.411343,0.205248,0.155464
-6.72801,0.375945,0.203782,0.183548,0.197831,0.248958,0.145942,0.223605,0.338643,0.203367,0.165842,0.259691,0.201227,0.332968,0.431293,0.197901,0.149987
-6.22801,0.384988,0.218284,0.186281,0.210483,0.24816,0.152938,0.233641,0.348129,0.204038,0.167672,0.269951,0.209747,0.342821,0.452045,0.191691,0.14561
-5.72801,0.397658,0.229402,0.186741,0.223372,0.2498,0.160916,0.235944,0.348445,0.202809,0.171009,0.270956,0.217732,0.33981,0.469931,0.190404,0.143836
-5.22801,0.411903,0.235469,0.189428,0.236537,0.252943,0.169334,0.231973,0.34081,0.200195,0.176035,0.264064,0.226011,0.327639,0.482327,0.195386,0.145916
-4.72801,0.422895,0.235481,0.196582,0.248475,0.256884,0.176544,0.225592,0.328881,0.198145,0.181778,0.254707,0.236831,0.313888,0.487966,0.20491,0.151664
-4.22801,0.428128,0.230598,0.206818,0.256861,0.261623,0.17964,0.220562,0.319142,0.199767,0.186684,0.248922,0.249389,0.306469,0.488232,0.215889,0.160134
-3.72801,0.425822,0.224429,0.216556,0.261519,0.268352,0.176654,0.219667,0.317641,0.206912,0.191292,0.248834,0.258887,0.308374,0.486165,0.226237,0.1702
-3.22801,0.422656,0.22063,0.222558,0.263826,0.278079,0.168927,0.223248,0.325386,0.21888,0.197305,0.252846,0.263933,0.31626,0.485506,0.236112,0.18085
-2.72801,0.427048,0.220474,0.226007,0.266138,0.289175,0.159644,0.230109,0.338967,0.232554,0.204926,0.25758,0.266001,0.32521,0.490061,0.246685,0.191687
-2.22801,0.442095,0.22258,0.229706,0.270243,0.299088,0.151771,0.239426,0.352938,0.243594,0.212992,0.259111,0.268309,0.331413,0.498936,0.258759,0.202336
-1.72801,0.462717,0.225329,0.234914,0.276531,0.306722,0.147273,0.250892,0.362941,0.249258,0.220144,0.257293,0.272639,0.334607,0.508704,0.272365,0.212724
-1.22801,0.480045,0.227656,0.240153,0.28412,0.311309,0.145852,0.263073,0.368005,0.249834,0.225431,0.255681,0.27687,0.336322,0.516486,0.285183,0.221484
-0.728009,0.490487,0.229196,0.244316,0.290782,0.313402,0.146322,0.273683,0.370219,0.248109,0.228991,0.255781,0.279436,0.337495,0.520982,0.294968,0.227629
-0.228009,0.500252,0.232065,0.251378,0.300388,0.314598,0.151277,0.291574,0.372525,0.245172,0.234584,0.267866,0.278396,0.343284,0.528997,0.305135,0.235871
0.271991,0.515711,0.237936,0.26507,0.30946,0.314021,0.161401,0.313154,0.379406,0.244343,0.242577,0.297793,0.273443,0.357883,0.543859,0.313698,0.248025
0.771991,0.5309,0.245927,0.280692,0.312345,0.309872,0.171986,0.325864,0.390283,0.248473,0.250374,0.331022,0.270775,0.373693,0.559274,0.321026,0.260864
1.27199,0.539876,0.253667,0.291812,0.311972,0.303951,0.1796,0.328144,0.397,0.256327,0.257246,0.354317,0.273416,0.384118,0.570606,0.32895,0.270705
1.77199,0.549507,0.264272,0.302924,0.31063,0.294411,0.188283,0.324968,0.39899,0.26881,0.266649,0.37662,0.280701,0.394539,0.583085,0.339958,0.281854
2.27199,0.559413,0.276041,0.308799,0.308845,0.282217,0.195946,0.312359,0.392893,0.284083,0.277236,0.387436,0.293333,0.402176,0.592904,0.351918,0.292397
2.77199,0.569866,0.286117,0.305861,0.30777,0.270217,0.202155,0.294242,0.379894,0.297814,0.287463,0.379555,0.306561,0.407858,0.597146,0.36155,0.301247
3.27199,0.576947,0.292478,0.294137,0.305557,0.258657,0.210735,0.280628,0.367361,0.306964,0.297076,0.357511,0.315006,0.413141,0.596684,0.365317,0.309569
3.77199,0.574018,0.293413,0.275368,0.300049,0.248294,0.225203,0.279187,0.360753,0.310744,0.305134,0.331458,0.315889,0.416686,0.592547,0.361383,0.318204
4.27199,0.558893,0.290156,0.254036,0.290617,0.240237,0.244167,0.289433,0.360728,0.307948,0.308851,0.309391,0.310414,0.41424,0.584045,0.352033,0.326841
4.77199,0.53681,0.285177,0.236325,0.279353,0.233985,0.260584,0.303487,0.367152,0.297409,0.304648,0.29567,0.302751,0.400351,0.569932,0.343034,0.335874
5.27199,0.515491,0.281116,0.226741,0.268981,0.227692,0.26659,0.312975,0.378873,0.280596,0.291672,0.288712,0.296446,0.373343,0.548448,0.339777,0.345567
5.77199,0.496404,0.278467,0.224315,0.260178,0.220511,0.258146,0.314229,0.392717,0.260959,0.272385,0.283683,0.294044,0.339676,0.519296,0.342766,0.355919
6.27199,0.477135,0.275154,0.222513,0.251552,0.213405,0.239048,0.308199,0.403972,0.243969,0.251102,0.277687,0.296568,0.307029,0.483859,0.347116,0.366894
6.77199,0.458655,0.269816,0.216038,0.240812,0.208755,0.21816,0.296927,0.408521,0.234045,0.232086,0.270538,0.304073,0.281753,0.44625,0.347252,0.376028
7.27199,0.444497,0.262787,0.205379,0.227391,0.20879,0.202887,0.282772,0.404249,0.232742,0.217011,0.263786,0.311995,0.266978,0.414366,0.341989,0.380514
7.77199,0.438333,0.255676,0.196094,0.213727,0.213421,0.196509,0.268278,0.391228,0.236975,0.204605,0.258129,0.313538,0.263126,0.394509,0.33268,0.379112
8.27199,0.442277,0.250601,0.195075,0.203738,0.222406,0.196921,0.256718,0.371416,0.241721,0.192856,0.253926,0.304308,0.26957,0.389185,0.321384,0.37217
8.77199,0.457509,0.248132,0.204948,0.201425,0.234373,0.200494,0.249379,0.350057,0.243352,0.181941,0.251958,0.285339,0.281228,0.396864,0.310296,0.362195
9.27199,0.485568,0.247929,0.222581,0.207933,0.245953,0.204349,0.24409,0.333137,0.241672,0.174334,0.252649,0.26326,0.289969,0.408481,0.300061,0.351919
9.77199,0.515034,0.247748,0.240371,0.221552,0.253205,0.207567,0.23789,0.324026,0.239987,0.17286,0.255545,0.24448,0.290399,0.414039,0.290881,0.341617
10.272,0.527781,0.245108,0.250621,0.23637,0.252839,0.210346,0.22894,0.323065,0.239792,0.177705,0.259023,0.231298,0.283847,0.407102,0.28362,0.329665
10.772,0.515844,0.240639,0.252131,0.245176,0.245011,0.211349,0.219319,0.33012,0.238949,0.185953,0.261692,0.222215,0.275976,0.389516,0.280441,0.315119
11.272,0.481862,0.235444,0.247918,0.244837,0.235491,0.208043,0.212606,0.346926,0.234119,0.193137,0.263601,0.214379,0.270023,0.370228,0.283986,0.296794
11.772,0.439944,0.231348,0.238447,0.23502,0.231001,0.200368,0.21016,0.368305,0.224564,0.19679,0.265372,0.207506,0.266334,0.356988,0.294207,0.275216
12.272,0.405537,0.228695,0.224576,0.218969,0.2346,0.191712,0.210097,0.382967,0.21072,0.196895,0.266538,0.204621,0.265517,0.35186,0.308039,0.252873
12.772,0.385515,0.226276,0.207848,0.202616,0.244181,0.186312,0.210458,0.381105,0.194483,0.195372,0.266261,0.209792,0.267392,0.354433,0.322034,0.234734
13.272,0.380571,0.223727,0.192977,0.190555,0.252111,0.186708,0.211912,0.364959,0.178517,0.196256,0.263354,0.222769,0.270266,0.368172,0.332609,0.226248
13.772,0.387006,0.221287,0.185805,0.18428,0.254174,0.190076,0.214336,0.346032,0.166909,0.199772,0.258286,0.237174,0.271403,0.388645,0.33713,0.2277
14.272,0.393339,0.218364,0.182901,0.182221,0.25156,0.192876,0.216019,0.332083,0.160402,0.202439,0.252149,0.246142,0.270453,0.406151,0.336146,0.234458
14.772,0.393781,0.214014,0.180806,0.18227,0.244374,0.194563,0.216655,0.323077,0.157948,0.20372,0.243731,0.248224,0.266716,0.420609,0.329296,0.24453
