Arc_length vs Data,RAh13_18months_up_DTI_manualBM_centered,RBf13_18months_up_DTI_manualBM_centered,RHm13_18months_up_DTI_manualBM_centered,RJe13_18months_up_DTI_manualBM_centered,RMe14_18months_up_DTI_manualBM_centered,RNc14_18months_up_DTI_manualBM_centered,RNe14_18months_up_DTI_manualBM_centered,RNn13_18months_up_DTI_manualBM_centered,RSb14_18months_up_DTI_manualBM_centered,RTm13_18months_up_DTI_manualBM_centered,RUf14_18months_up_DTI_manualBM_centered,RVm14_18months_up_DTI_manualBM_centered,RYh13_18months_up_DTI_manualBM_centered,RZh13_18months_up_DTI_manualBM_centered,RZk13_18months_up_DTI_manualBM_centered,Atlas
-13.5243,0.252458,0.125857,0.106372,0.109637,0.105898,0.115785,0.101418,0.159963,0.0975814,0.10666,0.146506,0.102023,0.144133,0.19508,0.137096,0.124024
-13.0243,0.237982,0.118667,0.100095,0.1061,0.0971292,0.110699,0.094796,0.156433,0.0929667,0.0978881,0.14678,0.0934726,0.142454,0.181853,0.128471,0.124928
-12.5243,0.222836,0.111699,0.0943736,0.102636,0.0875327,0.10328,0.0871493,0.153643,0.0876907,0.0897046,0.143665,0.08392,0.141192,0.16991,0.11969,0.126276
-12.0243,0.205418,0.102821,0.0867357,0.0979596,0.0752132,0.0926907,0.0781283,0.150147,0.0817214,0.0793535,0.138296,0.0724765,0.137905,0.151716,0.110798,0.127611
-11.5243,0.190069,0.0920485,0.0781245,0.0930911,0.0616167,0.0792205,0.0696232,0.148317,0.0756715,0.0673391,0.130521,0.0596386,0.131367,0.128832,0.102827,0.129257
-11.0243,0.184015,0.0811222,0.068442,0.0905408,0.0535465,0.0707624,0.0653031,0.146196,0.071739,0.0580823,0.12237,0.050534,0.122413,0.110269,0.095991,0.131253
-10.5243,0.185855,0.0705759,0.0575657,0.0909974,0.0517385,0.071921,0.0613956,0.141846,0.0701688,0.0538791,0.112537,0.0465698,0.116182,0.0996562,0.0908429,0.133628
-10.0243,0.191846,0.0623366,0.0478295,0.0957539,0.0554935,0.0784706,0.0555522,0.137031,0.070843,0.0570719,0.101269,0.047008,0.116335,0.0946681,0.0886014,0.135933
-9.52426,0.199405,0.0589992,0.0414893,0.10404,0.0637298,0.0838808,0.0483218,0.131942,0.0739847,0.0661714,0.0908312,0.0501478,0.120586,0.0930744,0.0908002,0.138193
-9.02426,0.20744,0.0599756,0.0425384,0.111041,0.073892,0.0827961,0.0426055,0.128077,0.0792807,0.07692,0.0834346,0.0549954,0.125882,0.0943209,0.0957338,0.138894
-8.52426,0.21337,0.0636408,0.0479892,0.112891,0.0830061,0.0754596,0.0405733,0.123339,0.0842033,0.0832245,0.0795925,0.0604321,0.127404,0.0993825,0.0987086,0.139479
-8.02426,0.213227,0.0673531,0.0559318,0.109435,0.0891852,0.0678469,0.0423736,0.116353,0.0876346,0.0818659,0.0783426,0.0664235,0.12483,0.10723,0.0969886,0.139271
-7.52426,0.206231,0.0690515,0.064439,0.105884,0.093519,0.0643584,0.0475345,0.110684,0.0903753,0.0766448,0.0790804,0.0730824,0.122444,0.117652,0.0913127,0.138449
-7.02426,0.192522,0.0708796,0.0721076,0.107256,0.0979439,0.0661239,0.0570201,0.10854,0.0941583,0.0714071,0.0823518,0.0786568,0.122918,0.132079,0.0857758,0.139061
-6.52426,0.176446,0.0733173,0.0807945,0.111083,0.103191,0.0703733,0.068719,0.112084,0.0992959,0.069777,0.0867454,0.0824717,0.125163,0.150258,0.0868102,0.139549
-6.02426,0.164681,0.0752992,0.0877202,0.111939,0.108814,0.073815,0.0775094,0.121367,0.103406,0.0728345,0.0897979,0.0857273,0.125964,0.171724,0.0987182,0.140286
-5.52426,0.161314,0.0768529,0.0901167,0.10584,0.115577,0.0767559,0.0833988,0.134308,0.105331,0.0787267,0.0905042,0.089434,0.125572,0.191065,0.118098,0.141733
-5.02426,0.166601,0.0778835,0.0896761,0.0950072,0.124222,0.0804852,0.0890392,0.150268,0.105538,0.0852171,0.0905982,0.0936157,0.126512,0.203007,0.137691,0.144585
