Arc_length vs Data,RAh13_18months_up_DTI_manualBM_centered,RBf13_18months_up_DTI_manualBM_centered,RHm13_18months_up_DTI_manualBM_centered,RJe13_18months_up_DTI_manualBM_centered,RMe14_18months_up_DTI_manualBM_centered,RNc14_18months_up_DTI_manualBM_centered,RNe14_18months_up_DTI_manualBM_centered,RNn13_18months_up_DTI_manualBM_centered,RSb14_18months_up_DTI_manualBM_centered,RTm13_18months_up_DTI_manualBM_centered,RUf14_18months_up_DTI_manualBM_centered,RVm14_18months_up_DTI_manualBM_centered,RYh13_18months_up_DTI_manualBM_centered,RZh13_18months_up_DTI_manualBM_centered,RZk13_18months_up_DTI_manualBM_centered,Atlas
-13.997,0.123506,0.0911867,0.0913211,0.108299,0.12693,0.101374,0.109989,0.281891,0.0937325,0.102933,0.162479,0.109813,0.125314,0.218882,0.121522,0.127612
-13.497,0.130009,0.0978079,0.0915949,0.114119,0.132013,0.094316,0.117046,0.290466,0.0926057,0.106766,0.170412,0.118567,0.129109,0.230099,0.135853,0.135947
-12.997,0.137657,0.103443,0.0934416,0.118345,0.132527,0.09327,0.126725,0.279846,0.0941467,0.111447,0.169085,0.12595,0.129285,0.238746,0.143373,0.143454
-12.497,0.144043,0.107824,0.0951952,0.120927,0.129357,0.0948014,0.135311,0.262669,0.0964925,0.115339,0.161592,0.13086,0.129078,0.245335,0.147642,0.149808
-11.997,0.14895,0.109138,0.0962017,0.119702,0.121538,0.0972999,0.139993,0.239666,0.0991742,0.116798,0.147841,0.131314,0.12927,0.247145,0.144715,0.153674
-11.497,0.157718,0.106421,0.0984315,0.11534,0.109865,0.0997243,0.137503,0.21462,0.101015,0.114907,0.129893,0.126038,0.129594,0.240451,0.135995,0.153225
-10.997,0.172846,0.103829,0.1018,0.110863,0.10108,0.103436,0.131448,0.197433,0.102202,0.111932,0.1195,0.120872,0.131942,0.232043,0.126291,0.152526
-10.497,0.194367,0.108371,0.108726,0.114962,0.10372,0.109343,0.134338,0.194381,0.108472,0.115659,0.124507,0.126769,0.138738,0.23755,0.125007,0.159431
-9.99704,0.222828,0.119327,0.12281,0.129821,0.115309,0.117872,0.146979,0.201508,0.121644,0.126965,0.13912,0.142286,0.150294,0.260229,0.135477,0.173372
-9.49704,0.255968,0.133981,0.143678,0.152152,0.132153,0.131508,0.16508,0.214819,0.139721,0.14303,0.158691,0.16046,0.166225,0.295641,0.15375,0.191696
-8.99704,0.29282,0.151376,0.169782,0.179782,0.152158,0.150212,0.18639,0.231953,0.160951,0.162759,0.181192,0.177185,0.186416,0.340544,0.17737,0.212722
-8.49704,0.329521,0.169971,0.1969,0.207406,0.172421,0.171669,0.207394,0.251047,0.181675,0.183882,0.203692,0.189984,0.208459,0.387897,0.202447,0.233017
-7.99704,0.358555,0.186786,0.218801,0.228163,0.190066,0.191204,0.224518,0.269099,0.197851,0.202818,0.223124,0.199602,0.228393,0.425921,0.223134,0.248834
-7.49704,0.377688,0.199935,0.234018,0.240515,0.204102,0.20513,0.237432,0.284986,0.20941,0.218833,0.238491,0.209724,0.243872,0.449956,0.238022,0.259448
-6.99704,0.388228,0.207838,0.245051,0.246052,0.21462,0.21391,0.246246,0.298011,0.217755,0.231416,0.249646,0.22124,0.253793,0.461771,0.248001,0.266089
-6.49704,0.393573,0.21113,0.254391,0.24841,0.222023,0.220927,0.251709,0.308148,0.22468,0.241222,0.257476,0.23207,0.258919,0.468255,0.254407,0.271006
-5.99704,0.398898,0.212979,0.26274,0.25149,0.226709,0.228444,0.2558,0.317576,0.231999,0.249916,0.263834,0.240727,0.262474,0.47724,0.259035,0.276564
-5.49704,0.410203,0.218137,0.271657,0.258305,0.230451,0.237766,0.262506,0.330473,0.24255,0.260312,0.27179,0.249295,0.26981,0.493446,0.264683,0.284236
-4.99704,0.430682,0.23036,0.283537,0.269872,0.235901,0.249124,0.275251,0.35193,0.258686,0.274996,0.283609,0.259689,0.284728,0.519256,0.274149,0.293705
-4.49704,0.459273,0.248352,0.299885,0.283691,0.245407,0.263007,0.293822,0.381688,0.280501,0.292838,0.298848,0.271862,0.306254,0.554724,0.288752,0.304098
-3.99704,0.491806,0.267793,0.318665,0.295317,0.259191,0.279631,0.314541,0.412974,0.304203,0.31065,0.314024,0.283265,0.328006,0.594875,0.306112,0.314974
-3.49704,0.52024,0.283924,0.333299,0.301029,0.274987,0.295867,0.330806,0.437847,0.321354,0.325411,0.324091,0.29067,0.342961,0.626681,0.320437,0.326123
-2.99704,0.53903,0.294945,0.3389,0.30076,0.290005,0.307523,0.33814,0.451737,0.326685,0.335062,0.326657,0.292803,0.348197,0.637842,0.327058,0.337721
-2.49704,0.546616,0.301712,0.336073,0.29762,0.30279,0.312986,0.337026,0.454423,0.321897,0.338855,0.32312,0.290683,0.345844,0.626973,0.32496,0.349433
-1.99704,0.545623,0.304823,0.329275,0.2941,0.314366,0.31444,0.331797,0.450058,0.313564,0.33746,0.318107,0.287603,0.341162,0.604012,0.31745,0.361152
-1.49704,0.542216,0.30538,0.323246,0.292315,0.325549,0.316742,0.327639,0.443448,0.309573,0.332774,0.317122,0.286818,0.338934,0.584419,0.31037,0.373602
-0.99704,0.538686,0.304164,0.319586,0.293916,0.334722,0.322081,0.326931,0.437793,0.311684,0.327437,0.321264,0.289662,0.340894,0.574819,0.308641,0.386294
-0.49704,0.537111,0.304691,0.320107,0.300273,0.343283,0.331883,0.33096,0.437404,0.318695,0.326339,0.330678,0.297732,0.347539,0.574767,0.315505,0.402347
0.00296022,0.537922,0.310899,0.323991,0.312177,0.352134,0.347709,0.340406,0.444441,0.32814,0.331048,0.342471,0.310127,0.356765,0.579061,0.329531,0.425642
0.50296,0.538094,0.32145,0.326679,0.326887,0.359272,0.365754,0.353375,0.455669,0.336512,0.337226,0.350979,0.321567,0.364733,0.578113,0.343582,0.453905
1.00296,0.53451,0.330958,0.324563,0.339036,0.362317,0.378177,0.364474,0.465518,0.341348,0.34027,0.35367,0.326347,0.367778,0.566791,0.351433,0.483919
1.50296,0.522394,0.332202,0.314646,0.343542,0.356643,0.377062,0.366306,0.46586,0.339307,0.334732,0.348072,0.320815,0.362361,0.543361,0.350629,0.511498
2.00296,0.500432,0.320223,0.296898,0.335954,0.340462,0.358137,0.354089,0.449927,0.328155,0.318424,0.333475,0.304966,0.347532,0.51126,0.34057,0.534873
2.50296,0.471115,0.294576,0.273123,0.31339,0.315342,0.323615,0.327299,0.416407,0.306671,0.292407,0.309809,0.282175,0.323414,0.475634,0.321487,0.550933
3.00296,0.439003,0.260288,0.245184,0.27964,0.284673,0.281787,0.29143,0.371558,0.276766,0.260452,0.279997,0.257479,0.292773,0.439648,0.294573,0.556632
3.50296,0.408717,0.225481,0.216281,0.244641,0.25163,0.240722,0.254815,0.326177,0.243084,0.228255,0.249038,0.234717,0.260734,0.406938,0.263453,0.549545
4.00296,0.382119,0.197091,0.191374,0.217173,0.219928,0.20691,0.225554,0.290076,0.210459,0.201789,0.221751,0.215912,0.232562,0.380108,0.23442,0.528967
4.50296,0.35895,0.17891,0.173666,0.200121,0.193207,0.18382,0.207799,0.266948,0.182935,0.183915,0.200954,0.201221,0.211871,0.358314,0.212887,0.496545
5.00296,0.338521,0.170775,0.16319,0.19083,0.174277,0.170553,0.199977,0.254917,0.162805,0.173519,0.186989,0.189553,0.198894,0.339065,0.201175,0.455894
5.50296,0.321028,0.16953,0.157832,0.185257,0.163688,0.164119,0.196262,0.249508,0.150698,0.167594,0.179591,0.180241,0.190168,0.320717,0.197411,0.4117
6.00296,0.308344,0.171247,0.154126,0.181387,0.157912,0.160345,0.190637,0.245647,0.145572,0.162592,0.175306,0.172533,0.181997,0.303364,0.197392,0.369071
6.50296,0.301348,0.171798,0.149566,0.17735,0.153109,0.156263,0.182741,0.239579,0.145377,0.157741,0.168482,0.165621,0.173427,0.290913,0.198284,0.332961
7.00296,0.298832,0.16974,0.145216,0.172922,0.149783,0.152816,0.17716,0.232861,0.149261,0.155259,0.158016,0.160808,0.166609,0.288272,0.200584,0.306138
7.50296,0.306305,0.168392,0.144867,0.169458,0.150325,0.15299,0.17792,0.230486,0.155454,0.157165,0.147424,0.159843,0.16501,0.295217,0.204631,0.288217
8.00296,0.332356,0.173191,0.150651,0.170291,0.156922,0.159005,0.184256,0.235921,0.159163,0.163974,0.141603,0.162937,0.170345,0.306322,0.209068,0.276337
