Arc_length vs Data,RAh13_18months_up_DTI_manualBM_centered,RBf13_18months_up_DTI_manualBM_centered,RHm13_18months_up_DTI_manualBM_centered,RMe14_18months_up_DTI_manualBM_centered,RNc14_18months_up_DTI_manualBM_centered,RNe14_18months_up_DTI_manualBM_centered,RNn13_18months_up_DTI_manualBM_centered,RSb14_18months_up_DTI_manualBM_centered,RTm13_18months_up_DTI_manualBM_centered,RUf14_18months_up_DTI_manualBM_centered,RVm14_18months_up_DTI_manualBM_centered,RYh13_18months_up_DTI_manualBM_centered,RZh13_18months_up_DTI_manualBM_centered,RZk13_18months_up_DTI_manualBM_centered
-26.6533,0.152038,0.105634,0.139837,0.167989,0.143189,0.162023,0.250386,0.163435,0.181329,0.212274,0.145349,0.162965,0.24581,0.147541
-26.1533,0.156991,0.109304,0.138188,0.168441,0.144488,0.167682,0.259162,0.16396,0.179726,0.216523,0.148647,0.161328,0.247335,0.14561
-25.6533,0.166983,0.115281,0.137362,0.170052,0.147317,0.175474,0.273281,0.166203,0.178799,0.223003,0.154958,0.16141,0.251963,0.143301
-25.1533,0.182147,0.124011,0.13716,0.172107,0.151945,0.184995,0.292744,0.169792,0.177518,0.230679,0.164497,0.164202,0.259292,0.140255
-24.6533,0.20419,0.136837,0.138388,0.174681,0.15845,0.195929,0.318143,0.174799,0.17611,0.238846,0.178158,0.170949,0.270968,0.136753
-24.1533,0.230045,0.152536,0.141321,0.17651,0.164865,0.205028,0.343374,0.179664,0.174326,0.243494,0.193875,0.18099,0.286701,0.1333
-23.6533,0.253333,0.167377,0.144413,0.176319,0.167819,0.209132,0.359354,0.181186,0.171742,0.24049,0.208153,0.189759,0.304474,0.130599
-23.1533,0.272314,0.179205,0.145222,0.174811,0.165885,0.209471,0.363656,0.17812,0.167961,0.230557,0.22007,0.192963,0.32443,0.128343
-22.6533,0.287512,0.186628,0.142099,0.172979,0.159847,0.207672,0.356703,0.171383,0.163236,0.216244,0.228865,0.190502,0.346126,0.126476
-22.1533,0.300596,0.189764,0.136512,0.171303,0.152395,0.20425,0.340077,0.163778,0.159406,0.20067,0.232604,0.186227,0.367174,0.126073
-21.6533,0.313538,0.189894,0.132675,0.169414,0.147328,0.198927,0.315851,0.159008,0.158772,0.186527,0.229021,0.184856,0.383368,0.128703
-21.1533,0.329333,0.188513,0.135997,0.166778,0.148892,0.191456,0.286061,0.159543,0.162534,0.174908,0.217535,0.188901,0.391186,0.136368
-20.6533,0.351181,0.187451,0.149332,0.164264,0.158866,0.183427,0.256446,0.164499,0.168489,0.166472,0.201523,0.196784,0.388323,0.149432
-20.1533,0.376116,0.187785,0.167713,0.162971,0.171129,0.177227,0.235214,0.170048,0.172889,0.161374,0.187753,0.204258,0.377342,0.163881
-19.6533,0.403588,0.189284,0.188703,0.162742,0.18116,0.173139,0.222917,0.175196,0.174732,0.15794,0.178429,0.210003,0.358701,0.178084
-19.1533,0.429602,0.190256,0.209817,0.162121,0.185551,0.170172,0.21729,0.180866,0.17403,0.154061,0.173948,0.213691,0.331525,0.190116
-18.6533,0.446922,0.188222,0.228475,0.158723,0.18378,0.166463,0.213844,0.188444,0.171606,0.147596,0.173076,0.215502,0.296639,0.198233
-18.1533,0.448822,0.18296,0.240891,0.152006,0.180052,0.160722,0.207508,0.196012,0.169,0.138634,0.172719,0.216508,0.262945,0.202164
-17.6533,0.437813,0.177609,0.246864,0.144257,0.177583,0.152825,0.198095,0.200062,0.167543,0.129251,0.170497,0.217914,0.237047,0.204534
-17.1533,0.418458,0.175488,0.245457,0.13937,0.177367,0.144457,0.190544,0.197315,0.169413,0.123467,0.166657,0.221057,0.227735,0.206777
-16.6533,0.396567,0.177029,0.238302,0.140539,0.179076,0.138218,0.190128,0.187884,0.175704,0.124178,0.162831,0.226905,0.239348,0.209935
