Arc_length vs Data,RAh13_18months_up_DTI_manualBM_centered,RBf13_18months_up_DTI_manualBM_centered,RHm13_18months_up_DTI_manualBM_centered,RJe13_18months_up_DTI_manualBM_centered,RMe14_18months_up_DTI_manualBM_centered,RNc14_18months_up_DTI_manualBM_centered,RNn13_18months_up_DTI_manualBM_centered,RSb14_18months_up_DTI_manualBM_centered,RTm13_18months_up_DTI_manualBM_centered,RUf14_18months_up_DTI_manualBM_centered,RZh13_18months_up_DTI_manualBM_centered,RZk13_18months_up_DTI_manualBM_centered
-28.7101,0.323207,0.177433,0.160509,0.173876,0.180471,0.170366,0.206605,0.171622,0.166175,0.172751,0.362332,0.201589
-28.2101,0.348335,0.188954,0.170374,0.188812,0.19156,0.179814,0.220935,0.185957,0.175742,0.186352,0.38808,0.216768
-27.7101,0.369777,0.197545,0.17688,0.19986,0.199297,0.187955,0.231269,0.196953,0.182062,0.196028,0.41214,0.230967
-27.2101,0.393248,0.206813,0.183486,0.211858,0.20661,0.199003,0.242596,0.208852,0.188572,0.206795,0.441586,0.246938
-26.7101,0.408054,0.212776,0.187413,0.219823,0.211112,0.210149,0.250797,0.218267,0.192579,0.213808,0.467585,0.259053
-26.2101,0.407453,0.213647,0.189171,0.221826,0.21243,0.217301,0.254401,0.222109,0.19404,0.214758,0.478601,0.262371
-25.7101,0.398035,0.211569,0.1904,0.220623,0.212741,0.218468,0.255926,0.222199,0.193603,0.211229,0.473599,0.259221
-25.2101,0.38688,0.208321,0.191401,0.218476,0.212567,0.214356,0.256307,0.218961,0.192096,0.205823,0.456599,0.254707
-24.7101,0.378198,0.204437,0.191296,0.215695,0.210513,0.207717,0.25456,0.212785,0.190829,0.201484,0.433742,0.252175
-24.2101,0.371896,0.200764,0.189485,0.211996,0.206657,0.202646,0.250091,0.20618,0.18938,0.199765,0.411907,0.252797
-23.7101,0.365324,0.197797,0.185356,0.207313,0.202922,0.200157,0.242593,0.200411,0.18696,0.199213,0.394023,0.254036
-23.2101,0.35811,0.196634,0.179844,0.202365,0.200604,0.199256,0.233816,0.195873,0.182767,0.196914,0.379472,0.252876
-22.7101,0.353053,0.197513,0.174354,0.197987,0.198913,0.198513,0.22595,0.19164,0.177695,0.192159,0.367758,0.247807
-22.2101,0.350341,0.198708,0.169551,0.193428,0.195566,0.197505,0.219531,0.186251,0.174613,0.186713,0.35855,0.237754
-21.7101,0.347732,0.19754,0.165122,0.186967,0.188773,0.197087,0.213722,0.179157,0.174334,0.182281,0.353062,0.223606
-21.2101,0.342542,0.192768,0.159458,0.178402,0.178515,0.19595,0.208298,0.169917,0.174863,0.178613,0.351309,0.207908
-20.7101,0.336219,0.186583,0.153271,0.170927,0.167814,0.193355,0.205901,0.160295,0.173716,0.175451,0.353684,0.19537
-20.2101,0.333597,0.182138,0.149062,0.168942,0.159659,0.188319,0.210218,0.153011,0.170765,0.173383,0.358805,0.191144
-19.7101,0.340998,0.182704,0.150702,0.174769,0.156979,0.183663,0.22365,0.151308,0.16931,0.175418,0.366731,0.197603
-19.2101,0.358004,0.188358,0.159052,0.186209,0.160432,0.182353,0.242774,0.154665,0.17214,0.182796,0.377209,0.210763
-18.7101,0.377593,0.196944,0.171233,0.199014,0.167722,0.184084,0.260368,0.158967,0.178129,0.19207,0.38772,0.224348
-18.2101,0.386851,0.203613,0.179201,0.207776,0.17495,0.186078,0.26947,0.160142,0.183428,0.198016,0.39234,0.231419
-17.7101,0.379431,0.203157,0.177749,0.207852,0.17831,0.184589,0.26699,0.15678,0.184026,0.197127,0.384792,0.227888
-17.2101,0.358404,0.194199,0.167149,0.198429,0.175348,0.179306,0.255865,0.150358,0.178496,0.190309,0.365145,0.215285
-16.7101,0.333053,0.181698,0.152186,0.183195,0.166918,0.172175,0.243293,0.143178,0.169568,0.181403,0.339729,0.198643
-16.2101,0.313015,0.172475,0.140346,0.167852,0.156823,0.16606,0.234314,0.136848,0.161722,0.174747,0.318244,0.183842
-15.7101,0.298732,0.168839,0.13335,0.157158,0.148498,0.162497,0.230138,0.13181,0.157074,0.171471,0.30587,0.175909
-15.2101,0.289177,0.170065,0.130875,0.152627,0.144089,0.16039,0.228482,0.128712,0.15362,0.169563,0.301658,0.175375
-14.7101,0.282949,0.171332,0.131077,0.152193,0.142701,0.158303,0.224947,0.127316,0.149724,0.166908,0.300421,0.177583
-14.2101,0.278488,0.1698,0.131737,0.153373,0.141875,0.156093,0.217325,0.126147,0.144601,0.162767,0.296243,0.17837
-13.7101,0.273092,0.166211,0.130714,0.153654,0.140428,0.15403,0.206048,0.124141,0.1391,0.158118,0.287893,0.175056
-13.2101,0.263567,0.161542,0.126015,0.150631,0.137492,0.152037,0.192745,0.121586,0.134137,0.153613,0.277336,0.16851
-12.7101,0.249281,0.15719,0.118126,0.144126,0.13196,0.148514,0.179207,0.118125,0.12797,0.147997,0.266176,0.160678
-12.2101,0.233864,0.153754,0.109028,0.136029,0.124241,0.141896,0.166231,0.113477,0.120651,0.141571,0.25466,0.151839
-11.7101,0.220233,0.150082,0.100523,0.128551,0.115804,0.134068,0.154004,0.107121,0.113864,0.135563,0.241573,0.142446
-11.2101,0.21063,0.145524,0.0935091,0.123018,0.108652,0.128964,0.142801,0.0986132,0.11091,0.13249,0.227854,0.133724
-10.7101,0.205124,0.140954,0.0877418,0.118872,0.103678,0.128335,0.132621,0.0896295,0.112712,0.133248,0.216436,0.127489
-10.2101,0.204342,0.137777,0.0833301,0.115112,0.101173,0.130687,0.123841,0.0830929,0.1182,0.136554,0.210793,0.12558
-9.71011,0.211385,0.138049,0.0808884,0.112323,0.101197,0.133974,0.117415,0.0819813,0.125901,0.142988,0.214326,0.12856
-9.21011,0.224683,0.141123,0.080174,0.111343,0.102735,0.136046,0.11384,0.0856357,0.132585,0.151707,0.226821,0.135593
-8.71011,0.240095,0.146551,0.0814585,0.113804,0.105664,0.137207,0.114827,0.0924139,0.138421,0.162173,0.247271,0.146641
-8.21011,0.251726,0.153221,0.0849259,0.119642,0.109326,0.138674,0.121491,0.0996489,0.144594,0.172155,0.273522,0.159376
-7.71011,0.256624,0.160613,0.0906362,0.127662,0.113836,0.140231,0.133843,0.105207,0.151906,0.179814,0.30284,0.171793
-7.21011,0.256146,0.168209,0.0975163,0.135352,0.118406,0.141457,0.148722,0.108732,0.159006,0.18413,0.329089,0.181369
-6.71011,0.253526,0.174874,0.103316,0.140499,0.122067,0.142113,0.160508,0.109511,0.163616,0.185349,0.347044,0.186226
-6.21011,0.250575,0.179383,0.106384,0.143674,0.124068,0.142055,0.16604,0.108051,0.165269,0.185374,0.356428,0.186743
-5.71011,0.244854,0.180717,0.106088,0.145909,0.123653,0.141116,0.165587,0.105024,0.164423,0.184887,0.35944,0.183105
-5.21011,0.235976,0.179902,0.103905,0.147704,0.121418,0.139251,0.163679,0.102017,0.161898,0.183857,0.358862,0.178284
-4.71011,0.226354,0.178992,0.102509,0.149063,0.118889,0.136665,0.165497,0.100958,0.158055,0.182494,0.355336,0.174797
-4.21011,0.221716,0.178855,0.10386,0.149622,0.118224,0.134503,0.172865,0.102742,0.155043,0.18178,0.349168,0.174469
-3.71011,0.226395,0.180072,0.110911,0.151733,0.121636,0.133778,0.187283,0.107169,0.156537,0.18271,0.343786,0.1796
-3.21011,0.241692,0.185048,0.12604,0.157005,0.129462,0.135436,0.208789,0.113731,0.164455,0.186009,0.346186,0.190439
-2.71011,0.267173,0.193124,0.145464,0.163824,0.14109,0.139866,0.233224,0.122586,0.176104,0.191329,0.363514,0.201135
-2.21011,0.291068,0.200715,0.160761,0.16817,0.153581,0.144453,0.252929,0.131758,0.184918,0.196315,0.388767,0.205825
-1.71011,0.299414,0.201986,0.165936,0.164918,0.159617,0.145311,0.260302,0.136333,0.18434,0.196399,0.40561,0.200134
-1.21011,0.284495,0.194085,0.160617,0.155235,0.155993,0.1399,0.254629,0.134034,0.173877,0.188478,0.398614,0.186064
-0.71011,0.255689,0.183189,0.153269,0.145037,0.145106,0.131223,0.244627,0.126992,0.160802,0.175906,0.371738,0.173827
-0.21011,0.229612,0.174952,0.15002,0.138858,0.131627,0.124238,0.236931,0.119392,0.152338,0.163859,0.343258,0.166055
0.28989,0.226931,0.1763,0.155442,0.143845,0.127893,0.123953,0.240576,0.118498,0.15503,0.161724,0.333959,0.168239
0.78989,0.249788,0.187603,0.170693,0.157539,0.137821,0.129366,0.254386,0.123429,0.16645,0.170707,0.348765,0.18038
1.28989,0.284806,0.20491,0.189926,0.172432,0.156911,0.136534,0.271572,0.130564,0.179263,0.185133,0.37422,0.200299
1.78989,0.315315,0.223586,0.207137,0.183437,0.177385,0.144543,0.284044,0.136971,0.191216,0.199932,0.403328,0.225103
2.28989,0.328172,0.236809,0.214593,0.187886,0.18916,0.15185,0.283232,0.139248,0.202341,0.208991,0.426101,0.24423
2.78989,0.326643,0.244021,0.214109,0.188968,0.192463,0.158124,0.273751,0.137974,0.213337,0.212225,0.437269,0.254095
3.28989,0.316717,0.246619,0.210931,0.188944,0.190766,0.162091,0.260907,0.134579,0.222786,0.210772,0.436232,0.258047
3.78989,0.307827,0.245536,0.207598,0.188691,0.187132,0.163986,0.249242,0.130712,0.226815,0.207234,0.423799,0.260302
4.28989,0.30163,0.241285,0.204764,0.187719,0.182731,0.164202,0.238675,0.127158,0.225089,0.203851,0.404836,0.262321
4.78989,0.296676,0.23365,0.2005,0.185389,0.176696,0.161676,0.226929,0.12351,0.220728,0.200511,0.384989,0.262151
5.28989,0.292091,0.223486,0.194298,0.180965,0.169265,0.156093,0.214275,0.119216,0.215241,0.196156,0.364683,0.255327
5.78989,0.286083,0.213043,0.18654,0.17327,0.161788,0.147522,0.200851,0.114654,0.208607,0.189527,0.344016,0.240619
6.28989,0.276509,0.203633,0.176736,0.1628,0.153871,0.13839,0.185358,0.111288,0.199597,0.180326,0.325313,0.220416
6.78989,0.266441,0.196082,0.166049,0.15237,0.146431,0.131632,0.167868,0.109861,0.188954,0.170976,0.309924,0.198249
7.28989,0.259106,0.191046,0.15668,0.144322,0.142025,0.128277,0.150099,0.109522,0.178788,0.163457,0.299692,0.177112
7.78989,0.256656,0.186915,0.149852,0.139848,0.140704,0.128473,0.135518,0.108832,0.170717,0.158247,0.294523,0.159137
8.28989,0.258606,0.181234,0.146412,0.13931,0.140741,0.131343,0.127598,0.107253,0.164989,0.155001,0.291613,0.144559
8.78989,0.262312,0.175018,0.147219,0.141877,0.141053,0.136356,0.127078,0.106635,0.161724,0.153755,0.288574,0.133369
9.28989,0.265288,0.170783,0.151237,0.146723,0.140673,0.142176,0.131568,0.108332,0.160224,0.154637,0.283779,0.126324
9.78989,0.266221,0.172593,0.155934,0.153252,0.141022,0.147842,0.13717,0.11246,0.160567,0.157016,0.279221,0.126423
10.2899,0.267298,0.180278,0.159672,0.159969,0.143516,0.152868,0.140297,0.118438,0.162815,0.160612,0.278556,0.134155
10.7899,0.271166,0.189873,0.163297,0.166531,0.149571,0.158103,0.140605,0.125904,0.166297,0.163948,0.282582,0.147538
11.2899,0.281789,0.198291,0.168084,0.174014,0.159906,0.165108,0.140585,0.136161,0.171243,0.167473,0.290872,0.163742
11.7899,0.298965,0.204925,0.174682,0.183233,0.172312,0.174087,0.144854,0.148183,0.17798,0.172239,0.302274,0.180135
12.2899,0.317203,0.211946,0.182019,0.193266,0.183928,0.184571,0.157789,0.159427,0.18732,0.177796,0.316113,0.195139
12.7899,0.332494,0.22001,0.187867,0.201343,0.192314,0.195247,0.178244,0.167661,0.197007,0.183378,0.333664,0.207366
13.2899,0.342444,0.227561,0.191755,0.206039,0.195604,0.204221,0.200738,0.172293,0.203969,0.186177,0.353771,0.216774
13.7899,0.349699,0.231951,0.194355,0.207669,0.194999,0.209449,0.22011,0.174055,0.207565,0.1855,0.371509,0.222999
14.2899,0.354041,0.231838,0.195878,0.205649,0.192774,0.209089,0.235082,0.171989,0.209182,0.183051,0.380772,0.225404
14.7899,0.352847,0.226613,0.19571,0.199445,0.188944,0.203957,0.243768,0.166322,0.21064,0.178977,0.378984,0.225206
15.2899,0.346122,0.216714,0.192679,0.189172,0.182849,0.19769,0.245792,0.158668,0.210433,0.17261,0.368483,0.223585
15.7899,0.336079,0.203097,0.186168,0.176678,0.171739,0.19276,0.239704,0.151226,0.206404,0.164049,0.352864,0.221141
16.2899,0.325871,0.188718,0.178941,0.166507,0.156027,0.189429,0.227255,0.145269,0.199198,0.154775,0.336844,0.217615
16.7899,0.315917,0.17645,0.174299,0.16041,0.141131,0.186281,0.214619,0.14026,0.19186,0.148396,0.322768,0.212155
17.2899,0.305048,0.168689,0.172026,0.157185,0.131967,0.181912,0.203473,0.136078,0.187006,0.147274,0.311661,0.204972
17.7899,0.295045,0.167683,0.170558,0.156816,0.129384,0.177653,0.195192,0.1345,0.18491,0.151001,0.304622,0.198678
18.2899,0.290067,0.172055,0.168208,0.158623,0.129836,0.174531,0.18934,0.135181,0.183456,0.158057,0.300117,0.19548
18.7899,0.292207,0.179309,0.165915,0.162212,0.129869,0.172498,0.18759,0.136587,0.181429,0.166691,0.298016,0.19588
19.2899,0.302163,0.186421,0.166384,0.167878,0.130199,0.171975,0.192183,0.138587,0.180317,0.175063,0.301004,0.201029
19.7899,0.318931,0.191906,0.17025,0.174523,0.133311,0.172662,0.201618,0.142127,0.182141,0.181327,0.311094,0.211675
20.2899,0.341486,0.197477,0.176827,0.181552,0.13934,0.174913,0.213819,0.148227,0.188198,0.185309,0.328063,0.226952
20.7899,0.367844,0.204236,0.185257,0.18866,0.146526,0.179422,0.226294,0.156365,0.1977,0.188318,0.349002,0.244098
21.2899,0.39382,0.212034,0.194681,0.196005,0.152967,0.186458,0.238863,0.165921,0.208946,0.192265,0.371503,0.259817
21.7899,0.414576,0.218574,0.203519,0.202717,0.157706,0.194554,0.24903,0.175066,0.219874,0.197376,0.392763,0.270819
22.2899,0.428611,0.223573,0.211271,0.209493,0.161687,0.203049,0.257421,0.184361,0.22985,0.203477,0.414008,0.277555
