Arc_length vs Data,RAh13_18months_up_DTI_manualBM_centered,RBf13_18months_up_DTI_manualBM_centered,RHm13_18months_up_DTI_manualBM_centered,RJe13_18months_up_DTI_manualBM_centered,RMe14_18months_up_DTI_manualBM_centered,RNc14_18months_up_DTI_manualBM_centered,RNe14_18months_up_DTI_manualBM_centered,RNn13_18months_up_DTI_manualBM_centered,RSb14_18months_up_DTI_manualBM_centered,RTm13_18months_up_DTI_manualBM_centered,RUf14_18months_up_DTI_manualBM_centered,RVm14_18months_up_DTI_manualBM_centered,RYh13_18months_up_DTI_manualBM_centered,RZh13_18months_up_DTI_manualBM_centered,RZk13_18months_up_DTI_manualBM_centered,,Mean FA 4,MeanFA 0,Average,Rel Beta (4 expos),Exp Betas,Exp Corr Beta (4 exposures)
-21.4606,0.228815,0.118096,0.109045,0.131791,0.172853,0.152194,0.124049,0.23307,0.117548,0.119965,0.153073,0.129399,0.16223,0.218289,0.156018,,0.133,0.1880,0.1551,-0.3356964969,-0.026,-0.052
-20.9606,0.298038,0.153901,0.165401,0.180467,0.158177,0.17888,0.147015,0.224143,0.153469,0.157594,0.18133,0.134725,0.182641,0.264671,0.204818,,0.164,0.2182,0.1857,-0.2598263513,-0.024,-0.048
-20.4606,0.342762,0.1743,0.201025,0.210451,0.159379,0.202516,0.164382,0.231872,0.17456,0.185302,0.200168,0.136502,0.196952,0.295786,0.235035,,0.186,0.2398,0.2074,-0.2241811387,-0.024,-0.046
-19.9606,0.370265,0.18647,0.22236,0.230283,0.167344,0.222095,0.178058,0.248953,0.185048,0.204985,0.21036,0.139742,0.205994,0.321114,0.254422,,0.201,0.2567,0.2232,-0.2115767981,-0.024,-0.047
-19.4606,0.392112,0.197599,0.237858,0.24493,0.178512,0.242093,0.193451,0.26864,0.192279,0.220621,0.217588,0.150179,0.2155,0.344342,0.270278,,0.214,0.2735,0.2377,-0.213129883,-0.026,-0.051
-18.9606,0.414548,0.211166,0.252137,0.257475,0.19442,0.264982,0.212559,0.295224,0.199641,0.236004,0.22627,0.168848,0.228297,0.370823,0.286418,,0.228,0.2940,0.2546,-0.223314993,-0.029,-0.057
-18.4606,0.440474,0.23096,0.267068,0.270249,0.21463,0.291638,0.236468,0.333211,0.209385,0.253191,0.239188,0.195146,0.245212,0.407454,0.303896,,0.246,0.3209,0.2759,-0.2367505577,-0.033,-0.065
-17.9606,0.468646,0.256993,0.282911,0.283135,0.235117,0.316877,0.262234,0.377846,0.222224,0.270745,0.258982,0.224417,0.26375,0.455596,0.319044,,0.265,0.3515,0.2999,-0.250362612,-0.038,-0.075
-17.4606,0.494515,0.285084,0.299697,0.296666,0.2501,0.328984,0.28127,0.422378,0.235377,0.286203,0.283005,0.245576,0.277493,0.510251,0.327851,,0.283,0.3797,0.3216,-0.2643149981,-0.043,-0.085
-16.9606,0.515454,0.310339,0.313854,0.311085,0.258172,0.32281,0.293754,0.459314,0.24593,0.297947,0.305606,0.255224,0.284916,0.566347,0.331623,,0.295,0.4021,0.3382,-0.2785193056,-0.048,-0.094
-16.4606,0.533583,0.328704,0.320618,0.324719,0.262776,0.308915,0.307833,0.485417,0.252918,0.304817,0.322278,0.258867,0.290586,0.614836,0.334211,,0.304,0.4196,0.3501,-0.2912900473,-0.052,-0.102
-15.9606,0.550615,0.339718,0.319391,0.335531,0.268599,0.298014,0.327532,0.499247,0.258093,0.308048,0.332089,0.263123,0.301067,0.650866,0.338476,,0.310,0.4339,0.3594,-0.29977506,-0.055,-0.108
-15.4606,0.5652,0.343298,0.314909,0.341178,0.278169,0.299592,0.35186,0.501582,0.265256,0.309831,0.336867,0.270756,0.318289,0.669879,0.343927,,0.316,0.4449,0.3674,-0.3012211615,-0.056,-0.111
-14.9606,0.575837,0.340331,0.314365,0.33969,0.291971,0.313713,0.372155,0.490663,0.276002,0.311462,0.337885,0.279659,0.338465,0.668017,0.347286,,0.322,0.4500,0.3732,-0.2954830403,-0.056,-0.110
-14.4606,0.582565,0.331991,0.31645,0.330701,0.308782,0.32834,0.3797,0.468616,0.286787,0.313595,0.335428,0.286209,0.356371,0.648398,0.345257,,0.326,0.4479,0.3746,-0.2852499455,-0.054,-0.107
-13.9606,0.581777,0.319659,0.313819,0.316969,0.321759,0.338006,0.374186,0.441842,0.29351,0.314123,0.329995,0.287317,0.365661,0.616494,0.336971,,0.325,0.4383,0.3701,-0.2746173117,-0.052,-0.102
-13.4606,0.570078,0.305807,0.301454,0.301357,0.325463,0.342473,0.361285,0.413027,0.292812,0.309481,0.32063,0.283045,0.365249,0.582097,0.32597,,0.318,0.4232,0.3600,-0.2672990344,-0.049,-0.096
-12.9606,0.547296,0.293306,0.283217,0.286815,0.318272,0.344555,0.346978,0.388287,0.283007,0.298615,0.306954,0.275994,0.355177,0.553523,0.318269,,0.307,0.4064,0.3467,-0.2654495825,-0.047,-0.092
-12.4606,0.518714,0.285168,0.268739,0.276756,0.304448,0.347666,0.336604,0.368982,0.269927,0.286003,0.2924,0.270228,0.339398,0.536447,0.318526,,0.296,0.3920,0.3347,-0.2689421492,-0.046,-0.090
-11.9606,0.497057,0.28341,0.264208,0.274515,0.291219,0.352867,0.333935,0.357938,0.261349,0.278084,0.281791,0.271163,0.324505,0.538394,0.327434,,0.291,0.3861,0.3292,-0.2757297328,-0.046,-0.091
-11.4606,0.493727,0.290228,0.270945,0.283895,0.2844,0.358673,0.339725,0.359559,0.263948,0.277364,0.281138,0.283173,0.315297,0.563877,0.342563,,0.294,0.3930,0.3339,-0.2832607882,-0.048,-0.095
-10.9606,0.508893,0.305674,0.285616,0.305414,0.28651,0.364563,0.352607,0.375413,0.281082,0.283016,0.29235,0.305973,0.315688,0.610123,0.360262,,0.306,0.4127,0.3489,-0.2902938848,-0.051,-0.101
-10.4606,0.534458,0.326632,0.303789,0.334007,0.295268,0.371694,0.368583,0.403848,0.306193,0.292391,0.310257,0.334769,0.325843,0.667229,0.377653,,0.323,0.4406,0.3702,-0.2976867545,-0.056,-0.110
-9.96065,0.562685,0.347251,0.322194,0.363438,0.306601,0.381106,0.381413,0.440468,0.330373,0.304639,0.327889,0.36257,0.342244,0.722453,0.391658,,0.341,0.4703,0.3925,-0.3066427123,-0.061,-0.120
-9.46065,0.585698,0.361459,0.337756,0.389298,0.313574,0.391388,0.38469,0.477379,0.347762,0.319734,0.340742,0.383842,0.358632,0.764016,0.401449,,0.354,0.4952,0.4105,-0.3185314354,-0.066,-0.131
-8.96065,0.601682,0.368821,0.350268,0.410207,0.313042,0.39737,0.377496,0.510503,0.358202,0.33644,0.34799,0.398142,0.370847,0.791177,0.411296,,0.362,0.5139,0.4229,-0.332777139,-0.071,-0.141
-8.46065,0.610821,0.372844,0.360292,0.422313,0.307258,0.396005,0.365078,0.535725,0.364755,0.352183,0.350863,0.407585,0.377829,0.804723,0.425188,,0.366,0.5270,0.4302,-0.3483732195,-0.076,-0.150
-7.96065,0.616472,0.377982,0.36909,0.423354,0.302196,0.390378,0.355344,0.550371,0.370415,0.364912,0.352778,0.413956,0.383019,0.813906,0.444643,,0.367,0.5371,0.4353,-0.3628435363,-0.080,-0.158
-7.46065,0.622927,0.383316,0.376946,0.414015,0.302536,0.386804,0.353999,0.55428,0.376436,0.373401,0.355759,0.418178,0.389429,0.825105,0.466096,,0.369,0.5460,0.4399,-0.3739659372,-0.083,-0.165
