ArcLength, Average, RelBeta4Exp, ExpCorreBetas, ExpBetas
-11.0665,0.19566351724137931,-0.6475705299233047,-0.12670592754665766,-0.0104198953574554
-10.5665,0.19822068965517237,-0.5951994450943704,-0.11798084448898201,-0.00970237207968602
-10.0665,0.1989130344827586,-0.5351149700308198,-0.10644134248598078,-0.00875339987549184
-9.56653,0.19854341379310347,-0.469609583557795,-0.09323788986952229,-0.00766758962742782
-9.06653,0.198719724137931,-0.40656263100159507,-0.0807920138774284,-0.00664408008860431
-8.56653,0.19935399999999998,-0.35437253638144084,-0.07064558261778575,-0.00580966962317317
-8.06653,0.19999582758620693,-0.31270327819891136,-0.06253935091231118,-0.00514303872634138
-7.56653,0.20017724137931037,-0.2763530989138939,-0.05531960098720698,-0.0045493092917111
-7.06653,0.20043858620689653,-0.24360658216821074,-0.04882815892049033,-0.00401547359543506
-6.56653,0.20345541379310345,-0.22151585548731365,-0.045068600039904705,-0.0037062993453869
-6.06653,0.21363986206896549,-0.2245987339149843,-0.047983242534461526,-0.00394599034000506
-5.56653,0.23516972413793108,-0.2633900124460089,-0.06194135656761415,-0.00509386155983669
-5.06653,0.271103,-0.32712237323781074,-0.0886838567518902,-0.00729308032499097
-4.56653,0.3206958965517241,-0.3901748804119273,-0.12512748308566476,-0.0102900890695448
-4.06653,0.38035606896551727,-0.43266129245278084,-0.16456534839087975,-0.0135333345716184
-3.56653,0.44191862068965515,-0.453482863375146,-0.20040252148913984,-0.016480470517199
-3.06653,0.49564906896551725,-0.46428460235788177,-0.2301222308937095,-0.0189245255669169
-2.56653,0.5328476206896552,-0.4784110681388333,-0.2549201993693738,-0.0209638321849814
-2.06653,0.5502333793103449,-0.49882823921768893,-0.2744719477601781,-0.0225717062302778
-1.56653,0.5473973103448275,-0.5176041496562872,-0.2833351193451732,-0.0233005854724649
-1.06653,0.5295128275862069,-0.5207193133393686,-0.27572755598507714,-0.0226749634856149
-0.566528,0.504310172413793,-0.5028790777173555,-0.2536070343869287,-0.0208558416436619
-0.0665279,0.486641896551724,-0.4697360158785928,-0.22859322564580917,-0.0187987850037672
0.433472,0.48651168965517255,-0.4425668246586697,-0.2153139336500139,-0.0177067379646393
0.933472,0.5042470000000001,-0.4361941816695532,-0.21994960752432724,-0.0180879611450927
1.43347,0.5307492413793102,-0.4431869330854137,-0.23522112852430643,-0.0193438428062752
1.93347,0.5515164827586206,-0.4489147931716716,-0.24758390778835399,-0.0203605187325949
2.43347,0.5565464827586207,-0.4442991019634977,-0.24727310249059845,-0.0203349590863979
2.93347,0.5411384482758621,-0.429598262636367,-0.23247213722504992,-0.0191177744428495
3.43347,0.5048998965517242,-0.4105046563033406,-0.20726375850155776,-0.017044716982036
3.93347,0.4513540689655172,-0.3926734933563444,-0.17723477900129003,-0.0145752285362903
4.43347,0.3881103448275862,-0.3776234649120346,-0.14655957318199764,-0.0120525964787827
4.93347,0.3257364827586207,-0.36252009230941806,-0.11808601979820034,-0.00971102136498358
5.43347,0.27259965517241386,-0.3451106800657643,-0.09407705238224459,-0.00773659970248722
5.93347,0.23426072413793103,-0.3255167759672884,-0.07625579565714165,-0.00627103582706757
6.43347,0.21141693103448278,-0.31125973421734565,-0.06580557776284,-0.00541164290812829
6.93347,0.20043586206896552,-0.3137330412196985,-0.06288335257638857,-0.00517132833687406
7.43347,0.1964101379310345,-0.3373434900175775,-0.06625768140448897,-0.00544882248392179
7.93347,0.1953367586206897,-0.3752440973241426,-0.07329896566284463,-0.00602787546569446
8.43347,0.19496851724137934,-0.41412206791758427,-0.0807407655388252,-0.00663986558707444
8.93347,0.19452306896551724,-0.44266045756544,-0.0861076707153095,-0.0070812229206669
9.43347,0.19408131034482753,-0.4572249318289048,-0.08873881389167829,-0.00729759982661828
9.93347,0.19328762068965522,-0.46230805053260965,-0.089358423113121,-0.00734855453232903
10.4335,0.19143879310344827,-0.4676422794096923,-0.08952487357433703,-0.0073622428926264
10.9335,0.18572096551724138,-0.4885865155338053,-0.09074075940364297,-0.00746223350358906
