ArcLength, Average, RelBeta4Exp, ExpCorreBetas, ExpBetas
-18.9593,0.15653786842105263,-0.17873101578002346,-0.027978172230934392,-0.00822887418556894
-18.4593,0.16291039473684216,-0.18308863857671273,-0.029827042382363295,-0.0087726595242245
-17.9593,0.16797818421052632,-0.178683673111469,-0.030014958957331805,-0.00882792910509759
-17.4593,0.17033173684210526,-0.1643253677922007,-0.027989825303263285,-0.00823230155978332
-16.9593,0.17123207894736842,-0.14370377858789796,-0.024606696760198093,-0.00723726375299944
-16.4593,0.17215347368421052,-0.13063022611883118,-0.022488447194510673,-0.00661424917485608
-15.9593,0.17769328947368426,-0.13297865297587672,-0.023629414277063065,-0.00694982772854796
-15.4593,0.1852607894736842,-0.14499221104959137,-0.02686137148658234,-0.00790040337840657
-14.9593,0.19154955263157894,-0.15595400550126493,-0.0298729199848701,-0.0087861529367265
-14.4593,0.1973472631578947,-0.16073386950741841,-0.031720389244067206,-0.00932952624825506
-13.9593,0.20304955263157895,-0.1597054002500401,-0.0324281100736179,-0.00953767943341703
-13.4593,0.2090182631578948,-0.1533142573966051,-0.03204547979838082,-0.00942514111717083
-12.9593,0.21647210526315788,-0.14130920507222555,-0.030589501115047976,-0.00899691209266117
-12.4593,0.2264001052631578,-0.12593720637629757,-0.028512196780141795,-0.00838594022945347
-11.9593,0.24018315789473685,-0.11247966086469037,-0.02701572014541038,-0.00794580004276776
-11.4593,0.2586877368421052,-0.1063885658254411,-0.027521417319260694,-0.00809453450566491
-10.9593,0.2806709736842105,-0.10905976774668323,-0.03060991120323544,-0.00900291505977513
-10.4593,0.30375155263157894,-0.11643806984003448,-0.0353682444993347,-0.0104024248527455
-9.95928,0.32477005263157893,-0.1223935694915081,-0.0397497660055239,-0.0116911076486835
-9.45928,0.34034784210526314,-0.1231211829712696,-0.04190402894171888,-0.0123247143946232
-8.95928,0.34964534210526327,-0.11843856510739893,-0.041411492615433,-0.012179850769245
-8.45928,0.3536533157894737,-0.1113867581737981,-0.03939229636320396,-0.0115859695185894
-7.95928,0.35510863157894734,-0.10613726826847449,-0.037690260094345604,-0.011085370615984
-7.45928,0.3578180263157894,-0.10598731495156845,-0.03792417185048018,-0.0111541681913177
-6.95928,0.3661139210526317,-0.11143610059202957,-0.04079830773456344,-0.0119995022748716
-6.45928,0.3818416315789474,-0.11997964126224658,-0.045813221975833034,-0.0134744770517156
-5.95928,0.4039926842105263,-0.1278863276194078,-0.05166514076879132,-0.0151956296378798
-5.45928,0.4307918157894736,-0.13263933152498064,-0.057139938472748376,-0.0168058642566907
-4.95928,0.4618109473684211,-0.13404282586445318,-0.06190244440040342,-0.0182066012942363
