ArcLength, Average, RelBeta4Exp, ExpCorreBetas, ExpBetas
-31.4028,0.146061275862069,-1.107696143176062,-0.16179151193978866,-0.0133052230213642
-30.9028,0.15189896551724144,-1.094587030309202,-0.1662666375725572,-0.0136732432214274
-30.4028,0.15968113793103447,-1.076741717579144,-0.17193534272085428,-0.0141394196316492
-29.9028,0.1684345172413793,-1.061281431762718,-0.17875642561619323,-0.0147003639487001
-29.4028,0.17792620689655178,-1.0399259325793704,-0.1850300766372066,-0.0152162891971387
-28.9028,0.18510844827586204,-1.0109868676501468,-0.18714221029799297,-0.015389984399506
-28.4028,0.18773658620689657,-0.9677151868739781,-0.1816755456042896,-0.0149404231582475
-27.9028,0.18683010344827589,-0.9015101412150427,-0.16842923294287623,-0.0138510882354339
-27.4028,0.18610586206896548,-0.8090739620960938,-0.15057340719344706,-0.012382681512619
-26.9028,0.18761658620689653,-0.7044999105260976,-0.1321758681959705,-0.0108697260029581
-26.4028,0.19217755172413792,-0.6057204009500954,-0.11640586368395252,-0.00957285063190399
-25.9028,0.1990183448275862,-0.5268763937807959,-0.10485806781898152,-0.00862319636669256
-25.4028,0.20727010344827582,-0.47135871010785296,-0.09769856860530053,-0.00803442176030432
-24.9028,0.2165884827586207,-0.4354667033120893,-0.09431707256226385,-0.00775633820413354
-24.4028,0.22649889655172412,-0.4134711484103891,-0.09365075887092729,-0.00770154267030652
-23.9028,0.23639000000000002,-0.39975545649435507,-0.0944981923607006,-0.00777123292439972
-23.4028,0.24532748275862068,-0.3920402300356309,-0.09617824277475191,-0.00790939496502894
-22.9028,0.25283120689655175,-0.3894019541094779,-0.09845296602537497,-0.0080964610218236
-22.4028,0.25872231034482757,-0.39037900745775667,-0.10099975871959148,-0.00830590121049272
-21.9028,0.2633021379310345,-0.3917297233736428,-0.1031432736554129,-0.00848217710982014
-21.4028,0.2671419310344828,-0.3890855172553657,-0.10394105641714897,-0.00854778424483133
-20.9028,0.27042931034482764,-0.37970527209409216,-0.10268343486670047,-0.00844436141995892
-20.4028,0.2732931724137931,-0.362237977482271,-0.09899716603488598,-0.00814121431207944
-19.9028,0.2758648965517241,-0.3357360431648289,-0.0926177888163507,-0.00761659447502884
-19.4028,0.2783486551724138,-0.30039183305050216,-0.08361366275438352,-0.00687612358177496
-18.9028,0.281876551724138,-0.2578837728189609,-0.0726913886278197,-0.00597791024899833
-18.4028,0.28751472413793105,-0.211728740459493,-0.06087513040528273,-0.00500617848727654
-17.9028,0.2958211379310345,-0.1651536387811686,-0.04885593735769632,-0.0040177580063895
-17.4028,0.3069609310344828,-0.12007421756450011,-0.036858093616836,-0.00303109322506875
-16.9028,0.3203856551724138,-0.07844736299035113,-0.02513340978821181,-0.00206689225232005
-16.4028,0.33551634482758613,-0.043478400795780504,-0.014587714113949088,-0.00119964754226555
-15.9028,0.3519841034482759,-0.019988205384494525,-0.007035530551801307,-5.78579815115239E-4
-15.4028,0.3699039655172415,-0.01309109207805049,-0.004842446872622221,-3.98227538866959E-4
-14.9028,0.38944648275862076,-0.02599171457413262,-0.01012238182176193,-8.32432715605422E-4
-14.4028,0.40987641379310347,-0.05716416182272455,-0.023430241645386977,-0.00192682908267985
-13.9028,0.4297313793103448,-0.09915297171362451,-0.04260914329721546,-0.00350404138957364
-13.4028,0.44664165517241383,-0.14144748257971237,-0.06317633773937391,-0.00519542251146167
-12.9028,0.4593013793103449,-0.17505265533982275,-0.08040192604951901,-0.00661200049749334
