ArcLength, Average, RelBeta4Exp, ExpCorreBetas, ExpBetas
-28.5681,0.20517471052631575,-0.1405229166430884,-0.028831748744559266,-0.00847992610134096
-28.0681,0.2162315789473684,-0.15158119669028625,-0.03277664149907221,-0.00964018867619771
-27.5681,0.2247651315789474,-0.15994266872427382,-0.0359495349808994,-0.010573392641441
-27.0681,0.23322192105263156,-0.16612198367097405,-0.03874328816081846,-0.0113950847531819
-26.5681,0.24350428947368422,-0.1713681502305001,-0.0417288796602975,-0.0122731999000875
-26.0681,0.25583157894736847,-0.1759721028996164,-0.04501922093549766,-0.0132409473339699
-25.5681,0.2712364736842106,-0.1769167691741513,-0.047986280606400256,-0.0141136119430589
-25.0681,0.28921489473684214,-0.17030159904785092,-0.0492537590421401,-0.0144863997182765
-24.5681,0.3067914736842105,-0.1543226759001051,-0.04734488116228404,-0.0139249650477306
-24.0681,0.32429152631578945,-0.12977187584085978,-0.04208391968929554,-0.0123776234380281
-23.5681,0.3448216842105262,-0.10256592810387152,-0.03536695607139272,-0.0104020459033508
-23.0681,0.371830947368421,-0.08172605227575419,-0.03038827544237478,-0.0089377280712867
-22.5681,0.40699992105263155,-0.07314816814896921,-0.029771298661775084,-0.00875626431228679
-22.0681,0.4474240789473684,-0.07546448260933326,-0.033764626624720635,-0.00993077253668254
-21.5681,0.4882619736842106,-0.08185057050769126,-0.03996452110326398,-0.0117542709127247
-21.0681,0.5254397105263159,-0.08588792300101958,-0.04512892539936224,-0.0132732133527536
-20.5681,0.5573747105263158,-0.08529104781291187,-0.04753907308520792,-0.0139820803191788
-20.0681,0.5844150526315788,-0.08165263398170897,-0.04771902838592748,-0.0140350083488022
-19.5681,0.6075414736842106,-0.07767102611382244,-0.0471883696677565,-0.0138789322552225
-19.0681,0.6281594473684209,-0.07455455191910337,-0.046832146132304214,-0.0137741606271483
-18.5681,0.6464886578947366,-0.07191535568604072,-0.04649246177949108,-0.0136742534645562
-18.0681,0.6609776315789473,-0.06927103891609966,-0.04578660723977664,-0.0134666491881696
-17.5681,0.6678478421052633,-0.06696269150018846,-0.04472088901996132,-0.0131532026529298
-17.0681,0.6621901578947371,-0.06548820149660065,-0.04336564248927634,-0.0127546007321401
-16.5681,0.6387495,-0.06485676096047215,-0.0414272236351211,-0.0121844775397415
-16.0681,0.5935628157894737,-0.06472456869338147,-0.03841809724440272,-0.0112994403660008
-15.5681,0.5261657894736842,-0.06514352321134668,-0.0342762933195955,-0.0100812627410575
-15.0681,0.44641639473684214,-0.06630631003546436,-0.029600223874335294,-0.00870594819833391
-14.5681,0.3770742894736842,-0.0665887103791264,-0.02510889065317803,-0.00738496783917001
-14.0681,0.34112363157894743,-0.06135613982107105,-0.020930029235429425,-0.00615589095159689
-13.5681,0.3461258947368421,-0.047955149647783926,-0.016598519079078368,-0.00488191737619952
-13.0681,0.37737086842105266,-0.03209007690481201,-0.012109860189267274,-0.00356172358507861
-12.5681,0.41123831578947373,-0.020649727217831544,-0.0084919590425731,-0.0024976350125215
-12.0681,0.43686426315789484,-0.016321630120529604,-0.007130336916140868,-0.00209715791651202
-11.5681,0.4594069736842104,-0.018754064781419975,-0.008615748145509784,-0.00253404357220876
-11.0681,0.4885609736842104,-0.02476225963863265,-0.012097873679671592,-0.00355819814107988
-10.5681,0.5271841578947367,-0.030357513594206666,-0.016004000239939864,-0.00470705889409996
-10.0681,0.5681938421052631,-0.03369330949630346,-0.01914433097594641,-0.00563068558116071
-9.56807,0.6025596052631579,-0.03495189835690146,-0.021060602077132562,-0.0061942947285684
-9.06807,0.6240348684210527,-0.034834330214192626,-0.021737836671749194,-0.00639348137404388
-8.56807,0.6310485,-0.03387537168446211,-0.02137700248842229,-0.00628735367306538
-8.06807,0.6271944473684209,-0.03277180392642912,-0.02055429345290296,-0.0060453804273244
-7.56807,0.6197341315789472,-0.0330071578403108,-0.020455662300054255,-0.00601637126472184
-7.06807,0.6166746315789474,-0.036652671107664105,-0.022602772451703092,-0.00664787425050091
-6.56807,0.6227813684210526,-0.044771195678517284,-0.02788266651051371,-0.00820078426779815
-6.06807,0.6369016052631579,-0.056180630929969354,-0.0357815340239945,-0.0105239805952925
-5.56807,0.6533597368421052,-0.06822870874742949,-0.04457789119229718,-0.0131111444683227
-5.06807,0.6658119473684211,-0.0784485191501978,-0.05223196130356208,-0.0153623415598712
-4.56807,0.6704908157894739,-0.08540356908926039,-0.0572623087099909,-0.0168418555029385
-4.06807,0.6669503684210527,-0.08822750807127613,-0.05884336901300902,-0.0173068732391203
-3.56807,0.6562863421052633,-0.08627364685274488,-0.0566202161130692,-0.016653004739138
-3.06807,0.6398477894736843,-0.07982815359155918,-0.05107786761332488,-0.0150229022392132
-2.56807,0.6190306315789474,-0.07113892831845599,-0.04403717572682328,-0.0129521105078892
-2.06807,0.5958220789473682,-0.06423490044715463,-0.0382725719254009,-0.0112566388015885
-1.56807,0.5740681842105262,-0.06248320832164897,-0.035869621944857065,-0.0105498888073109
-1.06807,0.5579485,-0.066444255320025,-0.03707247258942496,-0.0109036684086544
-0.568071,0.5498212105263159,-0.07440240843206418,-0.0409080222701909,-0.0120317712559385
-0.0680714,0.5545091052631579,-0.08311514752944227,-0.0460881060903664,-0.013555325320696
0.431929,0.5665277105263158,-0.09018841333924568,-0.0510942353250839,-0.0150277162720835
0.931929,0.5759853421052631,-0.09422067457629871,-0.05426972747921808,-0.0159616845527112
1.43193,0.5767103421052632,-0.09472553659317462,-0.05462919661475436,-0.0160674107690454
1.93193,0.5674121315789474,-0.09319223937347383,-0.0528784071895183,-0.0155524727027995
2.43193,0.5506292105263159,-0.0934111220609035,-0.05143489239477262,-0.0151279095278743
2.93193,0.5305744999999998,-0.09908684170554431,-0.0525729514944983,-0.0154626327924995
3.43193,0.5092675,-0.1098138782157974,-0.0559246392242636,-0.016448423301254
3.93193,0.48539773684210535,-0.12082471853447878,-0.05864804493122038,-0.0172494249797707
4.43193,0.45729723684210527,-0.12725575275735396,-0.05819370410820008,-0.0171157953259412
4.93193,0.4253279210526314,-0.12816846326065318,-0.05451362602316418,-0.0160334194185777
5.43193,0.3934019736842104,-0.12596428058932485,-0.04955459659755208,-0.0145748813522212
5.93193,0.3676033421052632,-0.12302182418318632,-0.04522323372162538,-0.0133009510945957
6.43193,0.35213255263157894,-0.11856926356738012,-0.04175209744362804,-0.0122800286598906
6.93193,0.34706115789473685,-0.10974014415498853,-0.038086541497965656,-0.0112019239699899
7.43193,0.35114521052631575,-0.09573184325865745,-0.03361577825513353,-0.00988699360445104
7.93193,0.36159705263157893,-0.07901300214127131,-0.028570868693856343,-0.00840319667466363
8.43193,0.37925197368421054,-0.06462440426232302,-0.024508932864652312,-0.00720850966607421
8.93193,0.40504247368421065,-0.058578699590458576,-0.0237268613873236,-0.00697848864333047
9.43193,0.4380646578947368,-0.06094096604515613,-0.026696083442346093,-0.00785178924774885
9.93193,0.47481818421052635,-0.06634205706779983,-0.03150041507372383,-0.00926482796285995
10.4319,0.508062342105263,-0.06984563254443203,-0.03548593565634772,-0.0104370398989258
10.9319,0.5315171842105262,-0.06942172277426686,-0.03689883861202208,-0.0108525995917712
11.4319,0.5429513947368421,-0.06679730959593685,-0.03626769240978256,-0.0106669683558184
11.9319,0.5440795526315789,-0.06525584683708532,-0.03550437195371622,-0.0104424623393283
12.4319,0.5387166315789474,-0.06588151221648345,-0.03549146634459124,-0.0104386665719386
12.9319,0.5304462368421052,-0.06701829483154156,-0.035549602292965936,-0.0104557653802841
13.4319,0.5214136052631579,-0.06604260913828008,-0.0344355149317762,-0.010128092626993
13.9319,0.5134633157894737,-0.061927342768905276,-0.03179741875615339,-0.00935218198710394
14.4319,0.507739105263158,-0.057161314711028165,-0.029023034787043232,-0.00853618670207154
14.9319,0.5036496578947368,-0.05583390974687605,-0.028120729542939732,-0.00827080280674698
15.4319,0.4987465263157895,-0.059891034569485024,-0.029870445448989518,-0.00878542513205574
15.9319,0.4896371052631579,-0.06804929696475785,-0.03331946078101703,-0.00979984140618148
16.4319,0.473677342105263,-0.07821159993779563,-0.037047062780335184,-0.0108961949353927
16.9319,0.44976363157894744,-0.09025824541053534,-0.04059487623578624,-0.0119396694811136
17.4319,0.41793118421052633,-0.10582260417723426,-0.044226566280033304,-0.0130078136117745
17.9319,0.3788697631578948,-0.12570622819844957,-0.04762628890501886,-0.0140077320308879
18.4319,0.33509528947368417,-0.14652269781223617,-0.049099065837856434,-0.0144409017170166
18.9319,0.2911267894736842,-0.1600173308890028,-0.04658533180186358,-0.0137015681770187
19.4319,0.251574,-0.159512503484614,-0.04012919855163828,-0.0118027054563642
19.9319,0.2220631842105263,-0.14856171560492573,-0.03299008761900844,-0.00970296694676719
20.4319,0.21023007894736842,-0.14018967360064644,-0.02947208614866971,-0.00866826063196168
20.9319,0.22342673684210526,-0.14135144693531632,-0.031581692536667726,-0.00928873309901992
21.4319,0.26238005263157893,-0.14386036609338976,-0.03774609042718182,-0.0111017913021123
21.9319,0.3172818421052631,-0.14105556888239348,-0.04475437073421164,-0.0131630502159446
22.4319,0.37247344736842103,-0.13639719790634172,-0.05080433451556788,-0.0149424513281082
