ArcLength, AverageFA, Beta, RelBeta, HighExposureBeta
-30.7621,0.2384678275862069,-0.0132833934241396,-0.05965187021066851,-0.09339066299777958
-30.2621,0.24083572413793103,-0.0138840563470447,-0.061884632379892196,-0.09688626403365233
-29.7621,0.24213834482758625,-0.0141009658945852,-0.06246977632548965,-0.09780236240299917
-29.2621,0.24033206896551726,-0.0137329135064262,-0.060610717854438424,-0.09489182996621295
-28.7621,0.2372475517241379,-0.0128137773242719,-0.05617583089628989,-0.0879485936204123
-28.2621,0.23825420689655177,-0.01177884549487,-0.0506626402098804,-0.0793171704710861
-27.7621,0.24571496551724142,-0.0111106240276288,-0.046139696655775005,-0.0722360731688947
-27.2621,0.256594551724138,-0.0109633233082527,-0.04340281012404903,-0.06795121760871027
-26.7621,0.27112479310344834,-0.0112190585050059,-0.04197929974077596,-0.06572257703116273
-26.2621,0.2881725172413793,-0.0116157383799813,-0.04089704020276711,-0.06402819703212223
-25.7621,0.3058090344827586,-0.0118347798628293,-0.03918836231448304,-0.061353099666810185
-25.2621,0.3241228275862069,-0.0116396263838928,-0.03631997765759701,-0.05686237131423398
-24.7621,0.3407639655172415,-0.0109437458181624,-0.032246294231589395,-0.05048463337149508
-24.2621,0.3579357241379311,-0.0098670949173708,-0.027395843003151454,-0.04289079172893751
-23.7621,0.3793417931034483,-0.00872414753391439,-0.022648578017721025,-0.03545849794083427
-23.2621,0.4076628275862069,-0.00791372531992195,-0.01903014589635547,-0.029793499112912295
-22.7621,0.44294982758620693,-0.00780839268093406,-0.017300527941491825,-0.027085618086431243
-22.2621,0.4822710344827586,-0.00857503022223913,-0.017542669862495766,-0.02746471423986701
-21.7621,0.5209187931034484,-0.00998984442262325,-0.01903600314601295,-0.029802669193027532
-21.2621,0.5558493103448277,-0.0115013158026283,-0.020654363901453424,-0.03233636651695724
-20.7621,0.5856621724137931,-0.0126021275936089,-0.021569384647423608,-0.03376891831828526
-20.2621,0.6115260689655172,-0.0131789750741489,-0.021687811079884434,-0.033954326135423575
-19.7621,0.6354538620689655,-0.01352718701094,-0.021532722685573245,-0.03371152053826742
-19.2621,0.6579655517241378,-0.0140236616890476,-0.021679954964882314,-0.0339420266419451
-18.7621,0.6789649310344827,-0.0147636749572238,-0.022234023013824614,-0.0348094727463818
-18.2621,0.6967643448275861,-0.0155124691599372,-0.022845890909852735,-0.03576740999588153
-17.7621,0.7086948965517241,-0.0159277357186441,-0.02310945473749765,-0.03618004417682275
-17.2621,0.710372724137931,-0.0157914997496311,-0.022883979971373918,-0.03582704203584715
-16.7621,0.6961193448275862,-0.015096496192603,-0.022337810382405458,-0.034971961719960136
-16.2621,0.6604967586206897,-0.0139717717521744,-0.021771260847904362,-0.03408497466555128
-15.7621,0.6003196551724138,-0.0125352387540432,-0.0213488836008708,-0.03342370300723893
-15.2621,0.520752827586207,-0.0108249198781603,-0.020846955977928787,-0.03263788768715077
-14.7621,0.44127424137931043,-0.0088558902973131,-0.019525377326803314,-0.03056883090826967
-14.2621,0.3848646896551724,-0.00673390794582273,-0.016541668605736443,-0.025897551790471676
-13.7621,0.36373196551724135,-0.00476591655273395,-0.012266740275218702,-0.019204745854210514
-13.2621,0.37135410344827596,-0.00340481176756454,-0.008640320271134361,-0.013527241237946585
-12.7621,0.39172541379310344,-0.00294582236480694,-0.007128210820391917,-0.01115989041338201
-12.2621,0.4164857586206896,-0.00325123603912366,-0.0074120601640988715,-0.011604283494548742
-11.7621,0.44680341379310345,-0.00374829349291998,-0.007986859633001482,-0.012504186604074145
-11.2621,0.48739465517241376,-0.00372871948863711,-0.007351753850724596,-0.011509868238680233
-10.7621,0.5364346206896551,-0.00283358018447235,-0.005138856902644867,-0.008045368091458229
-10.2621,0.5861708620689655,-0.00132343197304308,-0.0022178986076563907,-0.0034723307198814015
-9.76212,0.6285834137931035,1.30281091562181E-4,2.048386196278004E-4,3.2069429553558125E-4
-9.26212,0.6579929310344828,9.29175318963705E-4,0.001400460999229291,0.00219255457974166
-8.76212,0.6717569999999999,8.98388145055758E-4,0.0013285924433330252,0.0020800375360992486
-8.26212,0.6702061034482758,2.39457822638835E-4,3.5468472043645417E-4,5.55292584788371E-4
-7.76212,0.658127551724138,-8.70701177122642E-4,-0.0013092059056844985,-0.002049686071881392
-7.26212,0.644245551724138,-0.00256432916938991,-0.003926463550621837,-0.006147251258580103
-6.76212,0.6375494137931035,-0.00508675412454784,-0.007876426173123046,-0.01233129254394221
-6.26212,0.642801172413793,-0.00835373348339519,-0.012921670775540952,-0.020230101696811126
-5.76212,0.6575674482758621,-0.0117359880144468,-0.01795040933599653,-0.028103069074780326
-5.26212,0.6744086206896551,-0.0143404083696651,-0.021618555396117196,-0.03384589979102658
-4.76212,0.6862458275862068,-0.0156248095150083,-0.023314201564028338,-0.03650059476155483
-4.26212,0.6891163793103448,-0.0157549964955701,-0.023490416329081838,-0.03677647569672459
-3.76212,0.6822451724137931,-0.0153685881584869,-0.023177381340871144,-0.036286389719750976
-3.26212,0.6667681034482761,-0.0150396989386378,-0.023229060229868384,-0.036367297924127406
-2.76212,0.6448392068965517,-0.0149758025831824,-0.0239308970485922,-0.03746609005898233
-2.26212,0.619634275862069,-0.015123544974843,-0.02513901373992061,-0.03935751137374381
-1.76212,0.5951151724137931,-0.0153775662370086,-0.026562557204920928,-0.04158620374387439
-1.26212,0.5755651034482758,-0.0156282899996484,-0.027842865553011624,-0.04359064794734209
-0.762117,0.5620535862068965,-0.0157183676033631,-0.028501149929203478,-0.04462125460085556
-0.262117,0.5591185862068965,-0.0154948171894322,-0.028108389012919354,-0.04400635011853424
0.237883,0.5666077241379311,-0.0150500407876206,-0.026942998152726515,-0.04218182014653855
0.737883,0.576358655172414,-0.0147817107546381,-0.026072401453710054,-0.04081881840597812
1.23788,0.5804349310344827,-0.0150358785580889,-0.026416717590754698,-0.04135787798962354
1.73788,0.5746577931034483,-0.0158059331685474,-0.02814801949506562,-0.0440683953987491
2.23788,0.5599180689655172,-0.0168279081795434,-0.030916928606654088,-0.048403385346232626
2.73788,0.5394830344827587,-0.0178056119296131,-0.034212695417735146,-0.05356322101418273
3.23788,0.5164321379310344,-0.0184788425243933,-0.03742359697774113,-0.05859019207897146
3.73788,0.4931858965517242,-0.0186895355012059,-0.039987701230170106,-0.06260454058613597
4.23788,0.47067824137931025,-0.018510585061137,-0.041850411983841776,-0.06552079101791838
4.73788,0.44747034482758613,-0.0181042658294448,-0.0433693204135473,-0.06789878628918393
5.23788,0.4215109655172413,-0.0174825156757046,-0.04467717099102274,-0.0699463504661511
5.73788,0.39283248275862076,-0.0164231818226471,-0.04505876204778626,-0.0705437674735192
6.23788,0.3640459310344828,-0.0145459440338794,-0.042713575821868306,-0.0668721559093177
6.73788,0.34014593103448276,-0.0118517869207842,-0.03660490291680101,-0.05730844884320166
7.23788,0.3254421379310344,-0.00910674480465278,-0.028802955929523942,-0.04509376053180281
7.73788,0.3207654827586207,-0.0074043831593043,-0.0233716174493706,-0.036590484778075374
8.23788,0.3260566206896552,-0.00744541518474518,-0.022989190660648393,-0.0359917593530259
8.73788,0.33999844827586206,-0.00915647892054088,-0.027205970173517082,-0.04259352779769455
9.23788,0.3622120689655172,-0.0117678689934532,-0.03316221108602689,-0.05191858811565765
9.73788,0.3910466551724138,-0.0143232084830847,-0.0379262579796031,-0.05937715557334689
10.2379,0.42174779310344823,-0.0162986662487049,-0.04054011989477138,-0.06346940442288176
10.7379,0.44964662068965516,-0.0176846793640588,-0.041642533968087425,-0.06519533825934772
11.2379,0.47119886206896544,-0.0187382773396411,-0.04224275292718135,-0.06613503799274506
11.7379,0.4863036551724137,-0.0197898005260329,-0.04316991867982023,-0.06758660395441536
12.2379,0.4966476206896552,-0.0210306291285815,-0.04477931010004391,-0.07010625893299048
12.7379,0.5038838620689654,-0.0224120101404991,-0.04688209993651682,-0.07339837594926595
13.2379,0.5093244482758622,-0.0236808565875314,-0.04886996116974037,-0.07651056133193193
13.7379,0.5135051379310346,-0.0244698109826164,-0.04992201341848043,-0.07815764895334514
14.2379,0.5166104482758619,-0.0245801050590784,-0.04962804662031097,-0.07769741603720313
14.7379,0.5187086206896552,-0.0242046294299165,-0.04846775818085791,-0.0758808743890286
15.2379,0.5188336896551724,-0.023779821748381,-0.0474661300983042,-0.07431273058437458
15.7379,0.5155305862068965,-0.0236013056197968,-0.047364537679100024,-0.07415367801231744
16.2379,0.5074059655172414,-0.0236215264530694,-0.048202516647197616,-0.07546561360012793
16.7379,0.493802275862069,-0.0235555339158138,-0.04949324859615426,-0.07748637693981478
17.2379,0.4752461034482759,-0.0231536699149841,-0.050730752871490044,-0.07942380730583751
17.7379,0.45151786206896555,-0.0224061081034318,-0.051880767159389454,-0.08122426379487208
18.2379,0.42198324137931026,-0.0215187448353047,-0.05349240841008569,-0.0837474410965315
18.7379,0.38634910344827583,-0.020669507344444,-0.056239250313421404,-0.08804788273560563
19.2379,0.34594889655172417,-0.0197193481398591,-0.05993806062401052,-0.09383872124559689
19.7379,0.304706724137931,-0.0182320660202059,-0.06279307529688961,-0.09830851761957347
20.2379,0.26678972413793106,-0.0158862408428156,-0.061969300140629374,-0.09701881944695048
20.7379,0.23593241379310342,-0.0129840384127317,-0.05626887803805028,-0.08809426774979603
21.2379,0.2178477931034483,-0.0105198183233493,-0.048748921558832994,-0.07632106233597905
21.7379,0.21882641379310344,-0.00952539691914293,-0.0446347579189368,-0.06987994877735425
22.2379,0.2422960344827586,-0.0102892036249785,-0.04577030175288035,-0.07165775039766392
22.7379,0.2832270689655173,-0.0123938843860523,-0.049978210966884304,-0.07824563154778437
23.2379,0.3287430344827586,-0.0153698144688121,-0.05556644970306463,-0.08699454954010603
23.7379,0.36711006896551723,-0.0190093886884746,-0.06268315976606756,-0.098136434426524
24.2379,0.3925782413793103,-0.023172544476073,-0.07140556817418503,-0.11179219243200915
