ArcLength, AverageFA, Beta, RelBeta, HighExposureBeta
-14.9789,0.42692268965517255,-0.0241596844781812,-0.057279290271276616,-0.08967616397582916
-14.4789,0.4204058965517242,-0.0232682775058132,-0.05636487759780972,-0.08824456416970317
-13.9789,0.4167694482758621,-0.0222391237882277,-0.05491480792174841,-0.08597434249916583
-13.4789,0.3977762500000001,-0.0218230493423238,-0.0550532755915114,-0.0861911267749522
-12.9789,0.3782666785714285,-0.0234772773990991,-0.060459839881701984,-0.09465561618354605
-12.4789,0.3674653928571428,-0.0280032238717156,-0.07219190594084494,-0.11302327881889378
-11.9789,0.37935010714285705,-0.0343782375299717,-0.08521479644322598,-0.13341184960250244
-11.4789,0.4184989642857143,-0.0401942954840293,-0.0919295631034475,-0.1439244539526896
-10.9789,0.4704290357142858,-0.0434710678469489,-0.09038520282885977,-0.1415066114032135
-10.4789,0.5079036206896552,-0.0443231832765147,-0.08520912137921845,-0.13340296475130922
-9.97891,0.5268186206896551,-0.0441879684675286,-0.08092257025992224,-0.12669196223636459
-9.47891,0.5336501034482759,-0.0440981185817772,-0.0789333065431649,-0.1235775811326491
-8.97891,0.534995448275862,-0.043764061461848,-0.07788190386892602,-0.12193151048175363
-8.47891,0.5293759310344828,-0.0420798212986633,-0.07537604680211143,-0.11800835347056522
-7.97891,0.5154364137931035,-0.0385822723760331,-0.0703888285105237,-0.11020039001323956
-7.47891,0.495942275862069,-0.0340461378645542,-0.06386219021665401,-0.0999823184714998
-6.97891,0.47868813793103443,-0.0298554920814868,-0.057646095676893355,-0.09025043264336191
-6.47891,0.47187537931034484,-0.0269809169225917,-0.052994156094614484,-0.08296737981902752
-5.97891,0.48015475862068974,-0.0254985791573221,-0.049808955579711184,-0.07798064617904037
-5.47891,0.5010539655172415,-0.024828406204793,-0.04715244540199803,-0.0738216274277287
-4.97891,0.5277339999999999,-0.0242634660043712,-0.044245638481761586,-0.06927074537610671
-4.47891,0.5534423103448276,-0.0233394809040546,-0.04092041658503603,-0.06406479497667741
-3.97891,0.571767344827586,-0.0219008257515069,-0.037385997362592405,-0.058531326313743984
-3.47891,0.5794354482758619,-0.0200620164793708,-0.03396821278868,-0.053180460260190195
-2.97891,0.5756463103448276,-0.0180696108114732,-0.03093979600473004,-0.048439186427737785
-2.47891,0.5618926896551725,-0.0162076595273625,-0.028543719734438207,-0.04468790167026876
-1.97891,0.5416290344827588,-0.0147637032819487,-0.02708091856528296,-0.04239774763924052
-1.47891,0.5193071379310343,-0.013866459356221,-0.02668095088578694,-0.041771560285283324
-0.978906,0.4982138620689655,-0.0133959727206633,-0.02710564826051634,-0.0424364643236533
-0.478906,0.47718851724137934,-0.0130328346569291,-0.027743959641196542,-0.043435801357517005
0.021094,0.4548956206896552,-0.012481386477647,-0.027946331327151866,-0.043752633434308554
0.521094,0.43259672413793104,-0.011787363022064,-0.02772474020047804,-0.043405711499398425
1.02109,0.4132289655172413,-0.0112340520164443,-0.027699640421294015,-0.04336641541344477
1.52109,0.3943915517241379,-0.0110451808730179,-0.028483643162338205,-0.04459384609616457
2.02109,0.376954,-0.0112927616408813,-0.030322603317035023,-0.047472912711630386
2.52109,0.36287848275862067,-0.0118301452331293,-0.032840129159523335,-0.051414338298350334
3.02109,0.3509771724137931,-0.0123973707418069,-0.03539417154690455,-0.055412934001043065
3.52109,0.3393379655172413,-0.01287961783788,-0.03785012598721157,-0.05925796371532673
4.02109,0.326682827586207,-0.0134434840236055,-0.04090421873374307,-0.06403943570351388
4.52109,0.3141419655172414,-0.0144053755812757,-0.04555584887235956,-0.07132200406443265
5.02109,0.3066919999999999,-0.0159369967023915,-0.051973051810285754,-0.08136874417245767
5.52109,0.30990324137931036,-0.0177030741188879,-0.05812993172901052,-0.09100792389267012
6.02109,0.32497258620689656,-0.018916777553901,-0.06061936152032343,-0.09490536244532685
6.52109,0.34742593103448277,-0.0189221184708235,-0.057930947631844414,-0.09069639540756598
7.02109,0.36800155172413784,-0.0176606613488024,-0.05169468940304592,-0.08093294141096878
7.52109,0.37782420689655166,-0.0156681713075624,-0.04480324240928574,-0.07014372723397197
8.02109,0.3729344137931035,-0.0136517545728733,-0.03942321193184256,-0.06172077902694629
8.52109,0.3537228275862068,-0.0120450433875895,-0.03643522347138336,-0.05704279957103825
9.02109,0.32331727586206904,-0.0108551256179025,-0.03562413210425623,-0.055772959073828995
9.52109,0.28570462068965524,-0.00983534360855967,-0.03609731471614602,-0.056513771351588984
10.0211,0.2462152413793104,-0.00876789538497011,-0.03670719876154721,-0.05746860269469075
10.5211,0.21276662068965516,-0.00762965527470894,-0.03653404425430533,-0.057197512883503554
11.0211,0.18762644827586208,-0.00654095443532322,-0.0353571009768777,-0.055354896506153356
11.5211,0.17008165517241383,-0.00564937543069323,-0.033823615891630625,-0.0529540800975034
12.0211,0.15799379310344833,-0.00503588315748692,-0.03292232609012734,-0.0515430253926255
