ArcLength, Average, RelBeta4Exp, ExpCorreBetas, ExpBetas
-21.4606,0.1550956666666667,-0.3356964969360527,-0.05206507198996172,-0.02640216632351
-20.9606,0.18568466666666664,-0.2598263513039633,-0.04824576943309265,-0.0244654003210409
-20.4606,0.2073994666666667,-0.2241811386508544,-0.046495048592913264,-0.0235776108483333
-19.9606,0.2231662,-0.21157679813113583,-0.047216790047092685,-0.0239436055005541
-19.4606,0.2377321333333334,-0.21312988304290897,-0.05066782177287459,-0.0256936215886788
-18.9606,0.2545874666666667,-0.22331499304613434,-0.05685319834829963,-0.028830222286156
-18.4606,0.275878,-0.23675055769390244,-0.06531427035547842,-0.033120826752271
-17.9606,0.29990113333333335,-0.2503626120276888,-0.0750840310913975,-0.0380750664763679
-17.4606,0.32163,-0.2643149981354842,-0.0850116328503158,-0.0431093472871784
-16.9606,0.3381583333333334,-0.278519305597564,-0.0941836241820296,-0.047760458510157
-16.4606,0.35007186666666673,-0.29129004725463054,-0.10197245058385007,-0.0517101676388692
-15.9606,0.3593606,-0.2997750600235309,-0.10772734543509206,-0.0546284713159696
-15.4606,0.36737286666666663,-0.30122116148867206,-0.11066048159675637,-0.0561158628786797
-14.9606,0.3731667333333333,-0.29548304026898603,-0.11026444089257928,-0.0559150308785899
-14.4606,0.37461266666666665,-0.2852499454892824,-0.10685824274626138,-0.0541877498713293
-13.9606,0.3701392,-0.2746173117073602,-0.10164663206151295,-0.0515449452644589
-13.4606,0.36001520000000004,-0.26729903443270536,-0.09623171534109731,-0.0487990442906173
-12.9606,0.34668433333333337,-0.2654495825485926,-0.09202721155947047,-0.0466669429814759
-12.4606,0.3346670666666666,-0.2689421491893433,-0.09000608017222654,-0.0456420284849019
-11.9606,0.3291912666666667,-0.27572973281657254,-0.09076782000354909,-0.0460283062898322
-11.4606,0.3339008,-0.2832607882013982,-0.09458100378907743,-0.0479619694670778
-10.9606,0.34887893333333325,-0.29029388482254637,-0.10127742089007948,-0.0513577185040971
-10.4606,0.3701742666666667,-0.2976867545420607,-0.11019597605898734,-0.0558803124031376
-9.96065,0.3924654666666666,-0.3066427122993359,-0.12034667518249123,-0.0610277257517704
-9.46065,0.4104946,-0.3185314353644567,-0.13075543414735852,-0.0663060010889242
-8.96065,0.4228988666666667,-0.33277713900126765,-0.1407310749362119,-0.0713646424625821
-8.46065,0.4302308000000001,-0.3483732194791806,-0.14988088891510348,-0.0760045075634399
-7.96065,0.4352544,-0.3628435362844355,-0.1579292456793602,-0.0800858243810143
-7.46065,0.43994846666666665,-0.37396593717787335,-0.16452574064696837,-0.0834309029649941
-6.96065,0.4441912666666667,-0.380791840849631,-0.16914441012332937,-0.0857730274459074
-6.46065,0.44717306666666673,-0.3826688837882829,-0.17111921828151677,-0.0867744514612154
-5.96065,0.44759306666666665,-0.3795247460995025,-0.16987264498256435,-0.0861423148998805
-5.46065,0.4439475333333333,-0.37241241038758366,-0.1653315709742888,-0.083839539033615
-4.96065,0.4351616,-0.36383076875413006,-0.15832517946027724,-0.080286602160384
-4.46065,0.4213953333333334,-0.3574993334855066,-0.15064855080056958,-0.0763937884384227
-3.96065,0.40486600000000006,-0.357139306374265,-0.1445935624145232,-0.0733233075124357
-3.46065,0.39076946666666673,-0.36348805707210263,-0.14204003420176847,-0.0720284149096189
-2.96065,0.38537659999999996,-0.3724054666242726,-0.14351635254907563,-0.0727770550451702
-2.46065,0.39001499999999995,-0.3788855099960723,-0.14777103218111812,-0.0749346004975244
-1.96065,0.40283446666666656,-0.3778904546104792,-0.15222729974143656,-0.0771943710656372
-1.46065,0.4149426666666667,-0.3715142827758657,-0.1541571271997718,-0.0781729853954218
-0.960648,0.4158950666666667,-0.36511489253860874,-0.15184948257333752,-0.0770027802096032
-0.460648,0.4043705333333334,-0.35882978700776486,-0.1451001923482163,-0.0735802192435174
0.0393522,0.38109793333333336,-0.3541963434168509,-0.1349834944703855,-0.068450047905875
0.539352,0.3541254,-0.34827627772075714,-0.1233334761583742,-0.0625423307091147
1.03935,0.33190586666666666,-0.3380394518311861,-0.11219727722755475,-0.0568951710078878
1.53935,0.31606733333333337,-0.32667618862101455,-0.1032516718009411,-0.0523588599396253
2.03935,0.30746453333333335,-0.3165266386324391,-0.09732071523469152,-0.0493512754739815
2.53935,0.3042923333333334,-0.30972959775497677,-0.09424834200325666,-0.0477932768779192
3.03935,0.30316613333333325,-0.30730407783433694,-0.09316418903460161,-0.0472435035672422
3.53935,0.2998773333333334,-0.3098363384971497,-0.09291289495828928,-0.0471160724940615
4.03935,0.29226226666666666,-0.31609697350075877,-0.09238321796180503,-0.046847473611463
4.53935,0.28129686666666665,-0.32253417602954065,-0.09072785311002489,-0.0460080391024467
5.03935,0.2701906,-0.32423253812502856,-0.08760458401552434,-0.0444242312451949
5.53935,0.26234080000000004,-0.31767855353904384,-0.0833400458782756,-0.0422616865508497
6.03935,0.2599988666666667,-0.3029989300679696,-0.07877937841888469,-0.0399489748574466
6.53935,0.26294233333333333,-0.28454562446309606,-0.0748190904361169,-0.0379407152312966
7.03935,0.26853906666666666,-0.26784871036205127,-0.07192784268849557,-0.0364745652578578
7.53935,0.2748802,-0.25465811139908545,-0.07000047259300289,-0.0354971970552753
8.03935,0.28091940000000004,-0.2442421586836522,-0.06861236067211637,-0.0347932863448866
8.53935,0.28592846666666666,-0.23585027332203276,-0.06743630701388306,-0.0341969102504478
9.03935,0.2897864,-0.2294677049270369,-0.06649662012706828,-0.0337203956019616
9.53935,0.29217546666666666,-0.22612924406972254,-0.06606941741305175,-0.0335037613656449
10.0394,0.2933155333333334,-0.22615900024696045,-0.06633594777557068,-0.0336389187502894
10.5394,0.29290479999999997,-0.22911827389279366,-0.06710984219091394,-0.0340313601373803
11.0394,0.29144133333333333,-0.23284677622664185,-0.0678611749258608,-0.0344123605100714
11.5394,0.28802733333333336,-0.23604504795300493,-0.06798742570844281,-0.0344763822050927
12.0394,0.2818137333333333,-0.23814281139508556,-0.06711191474574493,-0.0340324111286739
12.5394,0.2746603333333333,-0.23754918072042677,-0.06524533715973264,-0.0330858707706555
13.0394,0.2680142,-0.23431303127607744,-0.06279921962703287,-0.0318454460583331
13.5394,0.26393700000000003,-0.22910211981596929,-0.060468526197867495,-0.0306635528386752
14.0394,0.2629388,-0.2243591338610241,-0.05899272142645704,-0.0299151731371486
14.5394,0.26446680000000006,-0.22271812199555605,-0.05890154902617433,-0.0298689396684454
15.0394,0.2676554,-0.22553433598135317,-0.06036548291082347,-0.030611299650519
15.5394,0.2722088,-0.23199214040466404,-0.06315030214898511,-0.0320234797915746
16.0394,0.27825046666666664,-0.2394521469644577,-0.0666276716371956,-0.0337868517429998
16.5394,0.28309086666666666,-0.2467933214322225,-0.0698649352517931,-0.0354284661520249
17.0394,0.28304046666666666,-0.25396121337314675,-0.07188130034836836,-0.0364509636655012
17.5394,0.2758124666666667,-0.26128019775721706,-0.07206433583457252,-0.0365437808491747
18.0394,0.26182246666666664,-0.2693037467542831,-0.07050977125778173,-0.0357554620982666
18.5394,0.24426266666666668,-0.278356618577009,-0.06799212993793642,-0.0344787677170063
19.0394,0.22761053333333334,-0.2880326294077821,-0.06555926039690764,-0.0332450610531986
19.5394,0.21389106666666666,-0.29949902035349674,-0.06406016492903112,-0.0324848706536669
20.0394,0.20339926666666666,-0.3143075823652176,-0.06392993176085819,-0.0324188294933358
20.5394,0.19722653333333337,-0.3309636357324277,-0.06527481053490286,-0.0331008167012692
21.0394,0.1928962666666667,-0.3523925990762832,-0.06797521676277848,-0.0344701910561757
21.5394,0.19080466666666662,-0.37482883003778134,-0.0715190899724155,-0.0362672870042675
22.0394,0.19347026666666667,-0.387078137420032,-0.07488811046749023,-0.037975715247206
22.5394,0.18933573333333337,-0.40754046956692896,-0.07716197366846553,-0.039128789892731
23.0394,0.1889682,-0.4143309742349118,-0.07829537840541766,-0.0397035387451408
23.5394,0.18788793333333334,-0.41998323916842983,-0.07890978284199533,-0.0400151028610524
24.0394,0.18500586666666666,-0.42982631131804105,-0.07952038924153065,-0.040324740994691
24.5394,0.18112653333333334,-0.44302268315148896,-0.08024316278726094,-0.0406912590199092
25.0394,0.1768659333333333,-0.4578032418368277,-0.08096979765049624,-0.0410597351168845
25.5394,0.17059706666666669,-0.478116345788108,-0.08156524611683692,-0.041361686671824
