Arc_length vs Data,RAh13_18months_up_DTI_manualBM_centered,RBf13_18months_up_DTI_manualBM_centered,RHm13_18months_up_DTI_manualBM_centered,RJe13_18months_up_DTI_manualBM_centered,RMe14_18months_up_DTI_manualBM_centered,RNc14_18months_up_DTI_manualBM_centered,RNe14_18months_up_DTI_manualBM_centered,RNn13_18months_up_DTI_manualBM_centered,RSb14_18months_up_DTI_manualBM_centered,RTm13_18months_up_DTI_manualBM_centered,RUf14_18months_up_DTI_manualBM_centered,RVm14_18months_up_DTI_manualBM_centered,RYh13_18months_up_DTI_manualBM_centered,RZh13_18months_up_DTI_manualBM_centered,RZk13_18months_up_DTI_manualBM_centered
-30.0979,0.291637,0.169542,0.139051,0.146921,0.187024,0.160311,0.199034,0.267029,0.149934,0.16103,0.13259,0.171318,0.210721,0.362624,0.201321
-29.5979,0.198041,0.11451,0.109118,0.101724,0.133438,0.11093,0.1434,0.186797,0.110712,0.117952,0.0939769,0.118617,0.167052,0.282239,0.137753
-29.0979,0.144723,0.0831303,0.091391,0.0773753,0.0952116,0.0844468,0.107311,0.135754,0.0832975,0.0818886,0.0697534,0.0873398,0.124085,0.213775,0.0990433
-28.5979,0.149554,0.0854522,0.0950555,0.0795889,0.0948564,0.085251,0.109182,0.135046,0.0813345,0.0768132,0.0699442,0.083398,0.117813,0.207028,0.100509
-28.0979,0.175313,0.0960195,0.10169,0.0891719,0.105398,0.0940476,0.12008,0.148244,0.0871676,0.0834683,0.0770182,0.0897847,0.126084,0.222181,0.112658
-27.5979,0.210783,0.110872,0.111194,0.104623,0.120511,0.109851,0.131574,0.168854,0.098019,0.0960998,0.0881934,0.101189,0.139862,0.243251,0.128383
-27.0979,0.249421,0.12682,0.123504,0.122903,0.136295,0.12798,0.143065,0.190768,0.110975,0.111814,0.101172,0.114305,0.153905,0.264777,0.146138
-26.5979,0.282694,0.140101,0.136249,0.140743,0.149943,0.145444,0.153234,0.209825,0.123975,0.125141,0.114887,0.127088,0.165953,0.285647,0.161986
-26.0979,0.306198,0.151847,0.150146,0.157098,0.160897,0.160621,0.163103,0.224849,0.136284,0.134869,0.129139,0.137961,0.176373,0.306104,0.176628
-25.5979,0.323608,0.164247,0.166043,0.173582,0.171709,0.174259,0.175735,0.239111,0.149703,0.14356,0.144842,0.148763,0.189521,0.332529,0.194093
-25.0979,0.341006,0.179937,0.185706,0.193719,0.185909,0.190295,0.192435,0.257921,0.167045,0.154661,0.163305,0.163416,0.210443,0.369362,0.21763
-24.5979,0.361002,0.198084,0.208706,0.217487,0.203679,0.209513,0.211959,0.281666,0.187824,0.170176,0.182549,0.183082,0.237422,0.41211,0.245384
-24.0979,0.391157,0.220666,0.23666,0.246542,0.228385,0.233704,0.235934,0.313612,0.214166,0.194187,0.204527,0.210332,0.269273,0.460294,0.276735
-23.5979,0.432997,0.247684,0.268185,0.277198,0.258921,0.260329,0.263064,0.350713,0.244635,0.226748,0.229486,0.241455,0.302316,0.508007,0.309218
-23.0979,0.481312,0.278529,0.300598,0.306993,0.292343,0.286947,0.292846,0.389843,0.277258,0.26537,0.257359,0.272704,0.335384,0.550873,0.342746
-22.5979,0.533038,0.313696,0.33458,0.338018,0.327761,0.313949,0.325801,0.430678,0.312188,0.308241,0.288545,0.303358,0.371145,0.589451,0.380032
-22.0979,0.590286,0.352715,0.373929,0.373316,0.366722,0.345064,0.364366,0.47557,0.351271,0.355047,0.324808,0.335905,0.414387,0.632293,0.425869
-21.5979,0.648651,0.391556,0.417856,0.411552,0.405998,0.380289,0.404535,0.523441,0.390847,0.401774,0.363205,0.368382,0.463572,0.679191,0.47662
-21.0979,0.699943,0.425395,0.462449,0.448773,0.440837,0.41676,0.441512,0.570277,0.42664,0.443915,0.399114,0.397556,0.511947,0.726784,0.525302
-20.5979,0.739361,0.453091,0.502728,0.48089,0.469274,0.450396,0.471273,0.613385,0.456546,0.479687,0.429,0.42314,0.55302,0.768367,0.566055
-20.0979,0.764985,0.476327,0.53311,0.506005,0.490701,0.477438,0.491467,0.650611,0.478818,0.507755,0.449494,0.445053,0.582086,0.796978,0.594431
-19.5979,0.776215,0.494868,0.549682,0.521045,0.503799,0.494436,0.50032,0.678688,0.491315,0.526192,0.459039,0.46242,0.597703,0.812262,0.609049
-19.0979,0.776182,0.50473,0.552617,0.523934,0.506333,0.499832,0.495828,0.694628,0.492286,0.53258,0.456919,0.474218,0.599763,0.815622,0.609225
-18.5979,0.76679,0.502515,0.54242,0.51301,0.49604,0.495524,0.478929,0.693338,0.481422,0.527082,0.444876,0.479562,0.589583,0.80803,0.59571
-18.0979,0.751905,0.4896,0.521699,0.490839,0.474042,0.486027,0.452891,0.672596,0.462649,0.513786,0.427845,0.480068,0.569511,0.792394,0.570136
-17.5979,0.738244,0.47197,0.496468,0.465497,0.445812,0.476581,0.424334,0.637885,0.442687,0.49909,0.412125,0.480071,0.544542,0.776694,0.538221
-17.0979,0.732015,0.456953,0.472211,0.445208,0.417159,0.470776,0.400928,0.602484,0.426715,0.487308,0.402827,0.483182,0.522162,0.769242,0.506862
-16.5979,0.732025,0.445325,0.451258,0.432861,0.39117,0.466247,0.387256,0.576942,0.415564,0.476668,0.399618,0.487919,0.504892,0.770264,0.48035
-16.0979,0.730684,0.433308,0.43222,0.424031,0.368146,0.457683,0.382864,0.562334,0.405664,0.462501,0.397481,0.485623,0.490602,0.770776,0.459012
-15.5979,0.717492,0.416293,0.411796,0.411697,0.346446,0.441509,0.382979,0.551037,0.392348,0.441319,0.390009,0.467282,0.474375,0.758733,0.439492
-15.0979,0.687476,0.39323,0.390173,0.393435,0.325096,0.418003,0.381229,0.535232,0.374713,0.414717,0.375192,0.433197,0.453925,0.728076,0.420176
-14.5979,0.647009,0.368082,0.37061,0.373449,0.306244,0.393217,0.376199,0.515317,0.356653,0.389007,0.35761,0.395283,0.433546,0.684685,0.403932
-14.0979,0.612981,0.34789,0.356916,0.359834,0.296126,0.375537,0.372001,0.499546,0.344738,0.372914,0.345872,0.369737,0.421772,0.644876,0.396017
-13.5979,0.602532,0.338217,0.350664,0.358564,0.299299,0.369878,0.373245,0.495672,0.343206,0.371362,0.346691,0.36377,0.424004,0.620793,0.399284
-13.0979,0.619212,0.340429,0.351218,0.370244,0.31514,0.376458,0.382963,0.505401,0.351771,0.383859,0.360763,0.373057,0.439005,0.616349,0.411987
-12.5979,0.652284,0.350347,0.355831,0.389195,0.335856,0.38997,0.397042,0.521603,0.365883,0.404316,0.382026,0.387575,0.458356,0.62387,0.428539
-12.0979,0.683078,0.360211,0.359871,0.405211,0.349965,0.40295,0.408224,0.532289,0.377673,0.422708,0.399883,0.396847,0.470475,0.629428,0.441621
-11.5979,0.69689,0.363317,0.359194,0.410242,0.351398,0.409342,0.409704,0.530033,0.380483,0.431436,0.405806,0.394971,0.467329,0.62556,0.446541
-11.0979,0.692334,0.357953,0.353419,0.403216,0.340995,0.406198,0.399336,0.515483,0.371641,0.428733,0.39774,0.381842,0.449326,0.611047,0.444329
-10.5979,0.677318,0.348245,0.347604,0.389355,0.326041,0.395441,0.381716,0.49793,0.353894,0.419274,0.38079,0.363745,0.42464,0.590682,0.440532
-10.0979,0.666066,0.345113,0.349354,0.379655,0.31789,0.384516,0.367616,0.490008,0.337144,0.413122,0.366634,0.352687,0.410477,0.577616,0.442775
-9.59786,0.669403,0.359448,0.363711,0.383391,0.325548,0.384804,0.372991,0.501771,0.334145,0.420362,0.366659,0.362474,0.422756,0.593035,0.457217
-9.09786,0.691064,0.390528,0.390109,0.404159,0.35075,0.402551,0.401601,0.535153,0.351716,0.443857,0.383036,0.39754,0.464698,0.642961,0.486457
-8.59786,0.724629,0.429432,0.42196,0.437412,0.386975,0.434624,0.444643,0.580643,0.384832,0.478235,0.409925,0.448355,0.526533,0.711631,0.526469
-8.09786,0.757184,0.461764,0.451708,0.471441,0.422332,0.469276,0.484152,0.624424,0.420392,0.514597,0.435894,0.498373,0.586195,0.774728,0.56799
-7.59786,0.77968,0.479515,0.47483,0.496276,0.448795,0.495524,0.50582,0.654838,0.445636,0.543167,0.452525,0.532234,0.62719,0.811756,0.601032
-7.09786,0.790259,0.485722,0.490468,0.509708,0.465286,0.509547,0.510102,0.669118,0.457532,0.557583,0.459284,0.547345,0.646443,0.827403,0.620765
-6.59786,0.792366,0.484883,0.50047,0.516216,0.474242,0.515151,0.504955,0.671596,0.461246,0.557379,0.459246,0.549395,0.650937,0.834336,0.629433
-6.09786,0.791981,0.481507,0.508137,0.522325,0.479437,0.519102,0.498253,0.666719,0.462388,0.547786,0.455905,0.545295,0.649966,0.837665,0.63309
