ArcLength, Average, RelBeta4Exp, ExpCorreBetas, ExpBetas
-16.083,0.33694897368421056,-0.12426003216008186,-0.04186929030630658,-0.0123144971489137
-15.583,0.3399276842105263,-0.12025696594278859,-0.04087867194311626,-0.0120231388067989
-15.083,0.3384493684210527,-0.11435271362990053,-0.03870260370527334,-0.0113831187368451
-14.583,0.32890078947368423,-0.10788606285381047,-0.03548381124582578,-0.0104364150723017
-14.083,0.3065084736842106,-0.10574532257126787,-0.03241183742056382,-0.00953289335898936
-13.583,0.27406239473684213,-0.11372325399777379,-0.031167267327896042,-0.00916684333173413
-13.083,0.24824386842105264,-0.12940303481757232,-0.03212350994853832,-0.0094480911613348
-12.583,0.24085134210526316,-0.1396588460982562,-0.033637020519637406,-0.00989324132930512
-12.083,0.24713902631578955,-0.13625664480911867,-0.033674334527181965,-0.00990421603740646
-11.583,0.25064471052631576,-0.1273432515412417,-0.03191791242003434,-0.0093876213000101
-11.083,0.23627234210526316,-0.12675635863452556,-0.029949021731314047,-0.00880853580332766
-10.583,0.2080343684210526,-0.13971477632286894,-0.029065475251416676,-0.00854866919159314
-10.083,0.18155786842105268,-0.1579882427125565,-0.028684008582479666,-0.00843647311249402
-9.58302,0.16767502631578948,-0.1624550745895159,-0.027239658906930624,-0.00801166438439136
-9.08302,0.16634873684210524,-0.14435872647314468,-0.024013891800942596,-0.00706290935321841
-8.58302,0.17037750000000002,-0.11706460374125519,-0.019945174523925708,-0.00586622780115462
-8.08302,0.17262607894736842,-0.09660049916381787,-0.01667576539500842,-0.00490463688088483
-7.58302,0.1719658157894737,-0.09004353354140504,-0.015484409702014557,-0.00455423814765134
-7.08302,0.17008476315789478,-0.09870687875676734,-0.01678853609539981,-0.00493780473394112
-6.58302,0.16888692105263156,-0.11796306963206976,-0.019922419628077444,-0.00585953518472866
-6.08302,0.16957663157894734,-0.13941216752655647,-0.02364104577027335,-0.00695324875596275
-5.58302,0.17259455263157894,-0.15474293256435534,-0.0267077872188435,-0.00785523153495397
-5.08302,0.17772913157894735,-0.15896660043085714,-0.02825299584463376,-0.0083097046601864
-4.58302,0.18452407894736844,-0.15158187785515925,-0.027970506396335765,-0.00822661952833405
-4.08302,0.19302315789473679,-0.13531962311089443,-0.02611982097799045,-0.00768230028764425
-3.58302,0.20296013157894738,-0.11505619900578261,-0.023351821289187193,-0.00686818273211388
-3.08302,0.21399110526315782,-0.09585881516975078,-0.02051293380739173,-0.00603321582570345
-2.58302,0.22581584210526315,-0.08182173085640991,-0.018476643055850398,-0.00543430678113247
-2.08302,0.23789439473684215,-0.07543983286454062,-0.017946713378358424,-0.00527844511128189
-1.58302,0.24985218421052635,-0.07632735723977879,-0.019070556921375863,-0.00560898732981643
