Arc_length vs Data,001_12months_DTI_antsBM,002_12months_DTI_antsBM,007_12months_DTI_antsBM,010_10months_DTI_antsBM,010_14months_DTI_antsBM,012_10months_DTI_antsBM,012_14months_DTI_antsBM,014_13months_DTI_antsBM,016_12months_DTI_antsBM,017_11months_DTI_antsBM,018_11months_DTI_antsBM,019_12months_DTI_antsBM,020_11months_DTI_antsBM,020_14months_DTI_antsBM,021_14months_DTI_antsBM,022_11months_DTI_antsBM,022_14months_DTI_antsBM,023_11months_DTI_antsBM,023_14months_DTI_antsBM,025_13months_DTI_antsBM,026_11months_DTI_antsBM,028_10months_DTI_antsBM,029_12months_DTI_antsBM,030_12months_DTI_antsBM,031_10months_DTI_antsBM,031_13months_DTI_antsBM,032_12months_DTI_antsBM,033_10months_DTI_antsBM,033_13months_DTI_antsBM,034_12months_DTI_antsBM,036_12months_DTI_antsBM
-14.3111,0.311421,0.31145,0.247323,0.185156,0.20364,0.439187,0.410907,0.352755,0.43524,0.389224,0.460352,0.417552,0.218975,0.23815,0.320323,0.31672,0.346976,0.291279,0.377573,0.349204,0.417654,0.276667,0.347007,0.265399,0.381832,0.461908,0.331429,0.324839,0.279071,0.324354,0.361013
-13.8111,0.339099,0.319315,0.259382,0.204614,0.221394,0.449814,0.452525,0.341268,0.422329,0.361633,0.391764,0.396591,0.243968,0.293642,0.316782,0.330625,0.36118,0.335562,0.368998,0.355854,0.427923,0.27345,0.342933,0.300442,0.402632,0.45649,0.352664,0.330813,0.309813,0.313432,0.383205
-13.3111,0.338899,0.310674,0.259223,0.196594,0.222621,0.414375,0.441022,0.316829,0.390405,0.307148,0.331417,0.364428,0.263927,0.312143,0.293846,0.316575,0.331661,0.334784,0.352098,0.345241,0.394795,0.261002,0.325235,0.304396,0.370206,0.423875,0.345012,0.323944,0.310557,0.2818,0.353434
-12.8111,0.332523,0.303968,0.256848,0.188864,0.22682,0.376502,0.415362,0.293068,0.352431,0.256905,0.288659,0.336854,0.279392,0.311034,0.273063,0.296452,0.297585,0.319289,0.338989,0.334779,0.346404,0.253855,0.305137,0.304193,0.324843,0.381012,0.331648,0.319148,0.305834,0.255619,0.3186
-12.3111,0.32693,0.30178,0.260135,0.189261,0.238204,0.345719,0.389074,0.274644,0.3179,0.218961,0.253141,0.314907,0.295636,0.307136,0.257986,0.276894,0.271112,0.301321,0.329374,0.327627,0.303029,0.251984,0.288259,0.316215,0.282506,0.34301,0.319082,0.320888,0.307201,0.240616,0.288968
-11.8111,0.323917,0.304908,0.270975,0.201773,0.259736,0.322086,0.361784,0.263014,0.289304,0.195194,0.228258,0.299288,0.314104,0.301658,0.249866,0.263175,0.251686,0.279411,0.322401,0.31842,0.265701,0.255698,0.274946,0.332036,0.246962,0.308872,0.307205,0.331265,0.317716,0.238058,0.267132
-11.3111,0.330404,0.319918,0.291849,0.235857,0.293457,0.326355,0.353837,0.270792,0.286463,0.208171,0.231778,0.303455,0.331527,0.303282,0.260983,0.277657,0.25906,0.269087,0.325364,0.314559,0.258498,0.271727,0.274765,0.346116,0.245238,0.300084,0.308611,0.358742,0.341992,0.259168,0.274183
-10.8111,0.349381,0.344991,0.319654,0.284943,0.332244,0.355286,0.368283,0.29619,0.310386,0.245334,0.256523,0.324564,0.354305,0.317248,0.286245,0.318762,0.289868,0.279078,0.336594,0.314098,0.284529,0.296281,0.286455,0.357573,0.277691,0.319024,0.325818,0.389074,0.36693,0.294736,0.305167
-10.3111,0.374386,0.373595,0.34197,0.332956,0.36527,0.388822,0.390758,0.326903,0.345287,0.281059,0.292227,0.353422,0.378703,0.33496,0.315232,0.366265,0.3264,0.301664,0.352807,0.313205,0.320481,0.325169,0.303785,0.357351,0.321943,0.348049,0.350971,0.405087,0.380029,0.328196,0.34127
-9.81114,0.39561,0.396164,0.350701,0.366957,0.385179,0.412044,0.408043,0.351032,0.37298,0.298375,0.324146,0.379922,0.400542,0.348234,0.339387,0.394718,0.351952,0.323998,0.366979,0.311075,0.347114,0.352213,0.318956,0.352189,0.356063,0.371574,0.372593,0.403317,0.377935,0.34925,0.36497
