Arc_length vs Data,001_12months_DTI_antsBM,002_12months_DTI_antsBM,007_12months_DTI_antsBM,008_12months_DTI_antsBM,010_10months_DTI_antsBM,012_10months_DTI_antsBM,012_14months_DTI_antsBM,016_12months_DTI_antsBM,017_11months_DTI_antsBM,018_11months_DTI_antsBM,019_12months_DTI_antsBM,020_11months_DTI_antsBM,020_14months_DTI_antsBM,021_11months_DTI_antsBM,021_14months_DTI_antsBM,022_11months_DTI_antsBM,022_14months_DTI_antsBM,023_11months_DTI_antsBM,023_14months_DTI_antsBM,025_10months_DTI_antsBM,025_13months_DTI_antsBM,027_11months_DTI_antsBM,028_10months_DTI_antsBM,028_13months_DTI_antsBM,029_12months_DTI_antsBM,030_12months_DTI_antsBM,031_10months_DTI_antsBM,031_13months_DTI_antsBM,032_12months_DTI_antsBM,033_10months_DTI_antsBM,033_13months_DTI_antsBM,034_12months_DTI_antsBM,035_12months_DTI_antsBM,036_12months_DTI_antsBM
-20.3041,0.157602,0.175135,0.208412,0.141844,0.187402,0.174773,0.162665,0.221109,0.221033,0.16718,0.171699,0.174783,0.197882,0.112984,0.153533,0.179138,0.159656,0.152241,0.146621,0.176441,0.204497,0.203046,0.195332,0.222022,0.178216,0.146967,0.165668,0.162823,0.150738,0.137933,0.152795,0.166168,0.200536,0.161891
-19.8041,0.129276,0.179751,0.206376,0.143226,0.183852,0.178851,0.170665,0.224829,0.214488,0.165122,0.165429,0.175147,0.198868,0.116086,0.149038,0.178646,0.158667,0.148563,0.14867,0.173548,0.19476,0.198071,0.191022,0.212307,0.177656,0.152793,0.16423,0.167006,0.149165,0.137449,0.154553,0.159956,0.194272,0.162609
-19.3041,0.117047,0.183188,0.206648,0.148305,0.183412,0.183234,0.182318,0.226591,0.21235,0.167107,0.16383,0.177683,0.198482,0.120812,0.147335,0.178196,0.15995,0.146734,0.149606,0.173403,0.190672,0.194678,0.189971,0.207877,0.178867,0.157664,0.165461,0.169956,0.148507,0.139241,0.161134,0.155561,0.191861,0.165352
-18.8041,0.116951,0.184181,0.205132,0.156288,0.186134,0.186176,0.19472,0.226621,0.209398,0.169823,0.164873,0.179105,0.195477,0.125271,0.145327,0.175886,0.16076,0.144297,0.148873,0.172679,0.186267,0.190371,0.189155,0.203922,0.178977,0.16106,0.165686,0.170164,0.148163,0.141948,0.168584,0.150386,0.190487,0.168965
-18.3041,0.125858,0.183038,0.201995,0.164779,0.192204,0.18776,0.207768,0.224625,0.207922,0.173135,0.168436,0.180998,0.191671,0.128937,0.143641,0.172861,0.161764,0.141304,0.145053,0.172975,0.183306,0.185335,0.190461,0.20226,0.178031,0.16257,0.164727,0.168366,0.148625,0.1465,0.176459,0.147431,0.19118,0.173997
-17.8041,0.145188,0.180802,0.199367,0.172107,0.202719,0.187742,0.220704,0.222315,0.209897,0.176701,0.17467,0.184912,0.189683,0.131515,0.143077,0.170182,0.164253,0.137879,0.139352,0.176477,0.183413,0.180263,0.1948,0.204995,0.176846,0.163328,0.163383,0.166943,0.150269,0.153747,0.184302,0.148759,0.194447,0.18255
-17.3041,0.171197,0.178552,0.197993,0.17611,0.21777,0.185313,0.230248,0.22014,0.214687,0.179868,0.182232,0.192243,0.192243,0.133257,0.143457,0.168348,0.168057,0.134647,0.133912,0.182967,0.186653,0.175163,0.201409,0.211786,0.17581,0.163862,0.162085,0.167822,0.152813,0.162836,0.189638,0.155725,0.199184,0.194568
-16.8041,0.200041,0.17806,0.199354,0.1769,0.235154,0.182237,0.235037,0.218487,0.22175,0.184048,0.190664,0.203693,0.201185,0.137066,0.145836,0.168029,0.17375,0.133346,0.131826,0.192556,0.193343,0.171231,0.20973,0.222381,0.177166,0.165402,0.162614,0.172949,0.155923,0.172625,0.193008,0.168089,0.204951,0.20884
-16.3041,0.229689,0.18131,0.203294,0.178659,0.250584,0.181072,0.235978,0.217317,0.229557,0.189911,0.20026,0.217337,0.215224,0.144758,0.150576,0.168991,0.181043,0.136073,0.136462,0.204043,0.202061,0.169883,0.217961,0.234567,0.182674,0.169324,0.166113,0.181763,0.16009,0.181678,0.196094,0.182582,0.210888,0.223001
-15.8041,0.256667,0.189039,0.208135,0.184941,0.260638,0.183942,0.234989,0.21653,0.23785,0.196519,0.21117,0.230446,0.231199,0.155876,0.157863,0.171302,0.188814,0.143888,0.147903,0.21563,0.211842,0.171709,0.224828,0.246487,0.192262,0.175982,0.172425,0.192062,0.166151,0.188991,0.200262,0.196586,0.216894,0.234457
